FullQualifiedName,name,Maintainability,CBO,CYC_Classes,DAC,DIT,ILCOM,LCOM,LD,LEN,LOC,LOD_Class,MPC,NAM,NOC,NOM,RFC,TCC,WMC
com.alibaba.dubbo.governance.web.home.module.screen.Lookup.java.Lookup,Lookup,0.068318936,3,1,3,1,0,1,0.5,6,58,0.5,1,2,0,1,2,0,8
com.alibaba.dubbo.registry.common.domain.Route.java.Route,Route,0.117407103,1,1,1,1,3,388,1,5,193,0.96,1,49,0,24,24,0.126811594,27
com.alibaba.dubbo.governance.web.home.module.screen.Unregisterall.java.Unregisterall,Unregisterall,0.068318936,5,1,3,1,1,0,1,13,36,0.5,7,3,0,1,8,0,7
com.alibaba.dubbo.governance.web.governance.module.screen.Weights.java.Weights,Weights,0,9,1,8,1,2,1,1,7,198,0.5,40,14,0,9,34,0.444444444,36
com.alibaba.com.caucho.hessian.io.BasicDeserializer.java.BasicDeserializer,BasicDeserializer,0.136637872,3,60,3,2,1,0,0.020408163,17,554,0.8,30,29,0,4,18,1,52
com.alibaba.dubbo.governance.web.home.module.screen.Servicestatus.java.Servicestatus,Servicestatus,0.068318936,1,1,1,0,1,0,1,13,41,0.5,0,4,0,1,1,0,3
com.alibaba.dubbo.registry.common.domain.Entity.java.Entity,Entity,0.158919512,0,1,0,0,8,192,1,6,100,0.941176471,0,25,24,16,16,0.066666667,17
com.alibaba.com.caucho.hessian.io.BeanSerializer.java.BeanSerializer,BeanSerializer,0.068318936,3,1,3,2,1,17,1,14,257,0.333333333,9,11,0,5,13,0,24
com.alibaba.dubbo.governance.web.home.module.screen.Unregister.java.Unregister,Unregister,0.068318936,5,1,3,1,1,0,1,10,37,0.5,4,3,0,1,5,0,7
com.alibaba.dubbo.registry.common.domain.Agreement.java.Agreement,Agreement,0.185726039,1,1,1,1,7,140,0,9,88,0.933333333,1,22,0,14,14,0.076923077,14
com.alibaba.com.caucho.hessian.io.MapSerializer.java.MapSerializer,MapSerializer,0.068318936,2,60,2,2,1,0,1,13,49,0.25,4,4,0,3,7,1,6
com.alibaba.dubbo.registry.common.domain.Registry.java.Registry,Registry,0.185726039,1,1,1,1,5,60,0,8,75,0.909090909,1,16,0,10,10,0.111111111,10
com.alibaba.dubbo.governance.web.home.module.screen.Status.java.Status,Status,0.068318936,1,1,1,0,2,5,1,6,38,0.75,3,5,0,3,4,0,5
com.alibaba.dubbo.governance.web.common.module.screen.Restful.java.Restful,Restful,0.109831345,4,1,4,0,2,21,0.857142857,7,212,0.833333333,4,13,22,5,8,0,44
com.alibaba.dubbo.registry.common.domain.Access.java.Access,Access,0.117407103,1,1,1,1,4,32,1,6,56,0.888888889,1,13,0,8,8,0.142857143,8
com.alibaba.com.caucho.hessian.io.LocaleHandle.java.LocaleHandle,LocaleHandle,0.068318936,1,1,1,1,1,0,1,12,67,0.5,0,2,0,1,1,0,9
com.alibaba.com.caucho.hessian.io.HessianRemoteResolver.java.HessianRemoteResolver,HessianRemoteResolver,0.136637872,0,1,0,0,0,1,0,21,10,0,0,1,1,1,1,0,1
com.alibaba.dubbo.governance.web.common.module.screen.Error_404.java.Error_404,Error_404,0.185726039,1,1,1,0,0,1,0,9,8,1,1,1,0,1,1,0,1
com.alibaba.dubbo.registry.common.domain.ApprovalRequisition.java.ApprovalRequisition,ApprovalRequisition,0.117407103,1,1,1,1,7,140,1,19,82,0.933333333,0,22,0,14,14,0.076923077,14
com.alibaba.com.caucho.hessian.io.HessianDebugOutputStream.java.HessianDebugOutputStream.LogWriter,LogWriter,0.049088167,0,1,0,0,1,8,1,9,43,1,0,7,0,4,4,0.166666667,7
com.alibaba.dubbo.governance.web.home.module.screen.Shell.java.Shell,Shell,0.117407103,2,1,2,0,3,10,0.875,5,52,1,2,11,4,4,6,0,7
com.alibaba.com.caucho.hessian.io.HessianDebugOutputStream.java.HessianDebugOutputStream,HessianDebugOutputStream,0,2,1,2,0,1,0,1,24,110,0.4,5,6,0,4,7,0.833333333,5
com.alibaba.dubbo.registry.common.domain.LoadBalance.java.LoadBalance,LoadBalance,0.185726039,1,1,1,1,4,32,0,11,60,0.888888889,1,14,0,8,8,0.142857143,8
