FullQualifiedName,name,Maintainability,CBO,CYC_Classes,DAC,DIT,ILCOM,LCOM,LD,LEN,LOC,LOD_Class,MPC,NAM,NOC,NOM,RFC,TCC,WMC
com.alibaba.dubbo.common.extensionloader.activate.impl.ValueActivateExtImpl.java.ValueActivateExtImpl,ValueActivateExtImpl,0.136637872,2,1,2,1,0,1,0,20,10,0.5,0,1,0,1,1,0,1
com.alibaba.dubbo.common.status.support.AnimalEnum.java.Media.java.Image.java.PersonStatus.java.SerializationCompareTest.java.BuilderTest.java.MyEnum.java.JavaBeanAccessor.java.Level.java.Status.java.StatusUtils.java.StatusUtils,StatusUtils,0.136637872,2,1,2,0,0,1,0,11,34,0.5,2,1,0,1,2,0,7
com.alibaba.dubbo.common.extensionloader.activate.impl.OrderActivateExtImpl2.java.OrderActivateExtImpl2,OrderActivateExtImpl2,0.136637872,2,1,2,1,0,1,0,21,10,0.5,0,1,0,1,1,0,1
com.alibaba.dubbo.common.extensionloader.activate.impl.OrderActivateExtImpl1.java.OrderActivateExtImpl1,OrderActivateExtImpl1,0.136637872,2,1,2,1,0,1,0,21,10,0.5,0,1,0,1,1,0,1
com.alibaba.dubbo.common.serialize.AnimalEnum.java.Media.java.Image.java.PersonStatus.java.SerializationCompareTest.java.SerializationCompareTest,SerializationCompareTest,0.136637872,5,1,5,0,0,25,0,24,195,0.833333333,4,5,0,5,6,0,13
com.alibaba.dubbo.common.extensionloader.activate.impl.GroupActivateExtImpl.java.GroupActivateExtImpl,GroupActivateExtImpl,0.136637872,2,1,2,1,0,1,0,20,10,0.5,0,1,0,1,1,0,1
com.alibaba.dubbo.common.json.AnimalEnum.java.Media.java.Image.java.PersonStatus.java.SerializationCompareTest.java.BuilderTest.java.MyEnum.java.JavaBeanAccessor.java.J2oVisitor.java.J2oVisitor,J2oVisitor,0.140180081,6,25,6,1,2,0,0.375,10,375,0.923076923,14,27,0,12,17,0.8,71
com.alibaba.dubbo.common.status.support.AnimalEnum.java.Media.java.Image.java.PersonStatus.java.SerializationCompareTest.java.BuilderTest.java.MyEnum.java.JavaBeanAccessor.java.Level.java.Status.java.LoadStatusChecker.java.LoadStatusChecker,LoadStatusChecker,0.136637872,4,1,4,1,0,1,0,17,22,0.5,1,1,0,1,1,0,1
com.alibaba.dubbo.common.extensionloader.activate.impl.ActivateExt1Impl1.java.ActivateExt1Impl1,ActivateExt1Impl1,0.136637872,2,1,2,1,0,1,0,17,9,0.5,0,1,0,1,1,0,1
com.alibaba.dubbo.common.utils.AnimalEnum.java.Media.java.Image.java.PersonStatus.java.SerializationCompareTest.java.BuilderTest.java.MyEnum.java.JavaBeanAccessor.java.Level.java.Status.java.Holder.java.Holder,Holder,0.068318936,0,1,0,0,1,0,0,6,18,0.666666667,0,3,0,2,2,1,2
com.alibaba.dubbo.common.AnimalEnum.java.Media.java.Image.java.PersonStatus.java.SerializationCompareTest.java.BuilderTest.java.MyEnum.java.URL.java.URL,URL,0.495943599,4,25,4,0,7,13518,0.857142857,3,1351,0.888,6,139,0,124,127,0.060553383,295
com.alibaba.dubbo.common.extensionloader.activate.ActivateExt1.java.ActivateExt1,ActivateExt1,0.136637872,1,1,1,0,0,1,0,12,7,0.5,0,1,5,1,1,0,1
com.alibaba.dubbo.common.serialize.serialization.AnimalEnum.java.Media.java.Image.java.PersonStatus.java.SerializationCompareTest.java.BuilderTest.java.FastJsonSerializationTest.java.FastJsonSerializationTest,FastJsonSerializationTest,0.185726039,8,1,5,2,0,2025,0,25,236,0.97826087,9,45,0,45,50,0,49
com.alibaba.dubbo.common.utils.AnimalEnum.java.Media.java.Image.java.PersonStatus.java.SerializationCompareTest.java.BuilderTest.java.MyEnum.java.JavaBeanAccessor.java.Level.java.Status.java.Assert.java.Assert,Assert,0.136637872,0,1,0,0,0,1,0,6,14,0.5,0,1,0,1,1,0,2
