FullQualifiedName,name,Maintainability,CBO,CYC_Classes,DAC,DIT,ILCOM,LCOM,LD,LEN,LOC,LOD_Class,MPC,NAM,NOC,NOM,RFC,TCC,WMC
com.alibaba.dubbo.config.cache.CacheServiceImpl.java.CacheServiceImpl,CacheServiceImpl,0.068318936,1,1,1,1,1,0,1,16,14,0.5,0,2,0,1,1,0,1
com.alibaba.dubbo.config.validation.ValidationService.java.ValidationService,ValidationService,0.136637872,1,2,1,0,0,9,0,17,16,0.75,0,3,1,3,3,0,3
com.alibaba.dubbo.config.api.Box.java.Box,Box,0.136637872,0,1,0,0,0,1,0,3,8,0.5,0,1,1,1,1,0,1
com.alibaba.dubbo.config.api.DemoService.java.DemoService,DemoService,0.136637872,3,1,3,0,0,25,0,11,18,0.833333333,0,5,3,5,5,0,5
com.alibaba.dubbo.config.url.test.UrlTestBase.java.UrlTestBase,UrlTestBase,0.08539867,11,1,9,0,2,20,1,11,184,0.714285714,12,37,2,6,14,0,10
com.alibaba.dubbo.config.ProviderConfig.java.ProviderConfig,ProviderConfig,0.293517757,7,7,4,4,23,3400,1,14,364,0.950819672,15,85,0,60,70,0.014689266,60
com.alibaba.dubbo.config.api.DemoException.java.DemoException,DemoException,0.136637872,0,1,0,0,0,0,0,13,26,0,0,1,0,0,0,0,0
com.alibaba.dubbo.config.MethodConfig.java.MethodConfig,MethodConfig,0.117407103,4,1,3,2,15,780,1,12,192,0.967741935,1,46,0,30,31,0.034482759,31
com.alibaba.dubbo.config.api.User.java.User,User,0,0,1,0,0,1,0,1,4,47,0.8,0,6,0,4,4,1,7
com.alibaba.dubbo.config.AbstractConfig.java.AbstractConfig,AbstractConfig,0.059466269,1,1,1,0,5,517,1.2,14,461,0.961538462,0,38,6,25,25,0.333333333,96
com.alibaba.dubbo.config.ModuleConfig.java.ModuleConfig,ModuleConfig,0.134486837,4,7,4,1,7,199,1,12,118,0.944444444,4,25,0,17,18,0.102941176,18
com.alibaba.dubbo.config.RpcConfigGetSetProxy.java.RpcConfigGetSetProxy,RpcConfigGetSetProxy,0.049088167,1,1,1,0,3,63,1,20,144,0.9,0,14,0,9,9,0.166666667,18
com.alibaba.dubbo.config.url.test.InvokerSideConfigUrlTest.java.InvokerSideConfigUrlTest,InvokerSideConfigUrlTest,0.117407103,9,1,8,1,1,51,1,24,202,0.9,12,24,0,9,19,0,9
com.alibaba.dubbo.config.ReferenceConfigTest.java.ReferenceConfigTest,ReferenceConfigTest,0.136637872,10,1,7,0,0,1,0,19,41,0.5,10,1,0,1,8,0,1
com.alibaba.dubbo.config.ApplicationConfig.java.ApplicationConfig,ApplicationConfig,0.134486837,4,7,4,1,11,503,1,17,171,0.961538462,6,37,0,25,27,0.06,28
com.alibaba.dubbo.config.ReferenceConfig.java.ReferenceConfig,ReferenceConfig,0.166495269,9,3,5,4,3,409,1,15,480,0.923076923,35,42,0,25,53,0.076023392,92
com.alibaba.dubbo.config.validation.ValidationTest.java.ValidationTest,ValidationTest,0.153717606,12,1,8,0,0,9,0,14,241,0.75,36,3,0,3,15,0,3
com.alibaba.dubbo.config.url.test.ExporterSideConfigUrlTest.java.ExporterSideConfigUrlTest,ExporterSideConfigUrlTest,0.117407103,1,1,1,1,0,64,1,25,80,0.888888889,3,9,0,8,11,0,8
com.alibaba.dubbo.config.ProtocolConfig.java.ProtocolConfig,ProtocolConfig,0.227349856,2,1,2,1,24,3538,1,14,411,0.952380952,13,91,0,62,66,0.025383395,70
com.alibaba.dubbo.config.GenericServiceTest.java.GenericServiceTest.GenericParameter,GenericParameter,0.185726039,0,1,0,0,0,0,0,16,8,1,0,3,0,0,0,0,0
com.alibaba.dubbo.config.support.MockRegistry.java.MockRegistry,MockRegistry,0.117407103,0,1,0,0,1,73,1,12,77,0.9,0,10,0,9,9,0.027777778,9
com.alibaba.dubbo.config.AbstractServiceConfig.java.AbstractServiceConfig,AbstractServiceConfig,0.134486837,5,7,4,3,13,961,1,21,200,0.970588235,9,47,2,33,40,0.034090909,36
com.alibaba.dubbo.config.support.MockProtocol.java.MockProtocol,MockProtocol,0.136637872,0,1,0,0,0,16,0,12,57,0.8,0,4,0,4,4,0,4
com.alibaba.dubbo.config.ServiceConfig.java.ServiceConfig,ServiceConfig,0.254550596,12,7,7,4,2,991,1,13,677,0.894736842,85,52,0,37,106,0.065217391,137
com.alibaba.dubbo.config.utils.ReferenceConfigCache.java.ReferenceConfigCache.KeyGenerator,KeyGenerator,0.185726039,1,1,1,0,0,1,0,12,3,1,0,1,1,1,1,0,1
com.alibaba.dubbo.config.support.MockRegistryFactory.java.MockRegistryFactory,MockRegistryFactory,0.136637872,1,1,1,0,0,1,0,19,16,0.5,0,1,0,1,1,0,1
