FullQualifiedName,name,Maintainability,CBO,CYC_Classes,DAC,DIT,ILCOM,LCOM,LD,LEN,LOC,LOD_Class,MPC,NAM,NOC,NOM,RFC,TCC,WMC
com.alibaba.dubbo.config.spring.action.DemoInterceptor.java.DemoInterceptor,DemoInterceptor,0.136637872,0,1,0,0,0,1,0,15,12,0.5,0,1,0,1,1,0,1
com.alibaba.dubbo.config.spring.registry.MockRegistry.java.MockRegistry,MockRegistry,0.13107089,0,1,0,0,3,62,1,12,58,0.909090909,0,13,0,10,10,0.133333333,10
com.alibaba.dubbo.config.spring.extension.SpringExtensionFactory.java.SpringExtensionFactory,SpringExtensionFactory,0,0,1,0,0,1,0,1,22,31,0.75,0,4,0,3,3,1,6
com.alibaba.dubbo.config.spring.registry.MockRegistryFactory.java.MockRegistryFactory,MockRegistryFactory,0,1,1,1,0,1,0,1,19,21,0.75,1,4,0,3,3,1,3
com.alibaba.dubbo.config.spring.AnnotationBean.java.AnnotationBean,AnnotationBean,0.049088167,2,1,2,0,2,23,1,14,265,0.9,0,16,0,9,9,0.285714286,55
com.alibaba.dubbo.config.spring.ServiceBean.java.ServiceBean,ServiceBean,0.049088167,1,1,1,0,1,23,1,11,215,0.875,1,12,0,7,8,0.2,55
com.alibaba.dubbo.config.spring.impl.DemoServiceImpl.java.DemoServiceImpl,DemoServiceImpl,0,2,1,2,1,1,0,1,15,26,0.8,0,5,0,4,4,0.5,4
com.alibaba.dubbo.config.spring.impl.HelloServiceImpl.java.HelloServiceImpl,HelloServiceImpl,0.136637872,1,1,1,1,0,1,0,16,9,0.5,0,1,0,1,1,0,1
com.alibaba.dubbo.config.spring.AbstractRegistryService.java.AbstractRegistryService,AbstractRegistryService,0.062751954,0,1,0,0,3,324,1,23,209,0.956521739,0,27,1,22,22,0.158333333,50
com.alibaba.dubbo.config.spring.impl.DemoServiceSonImpl.java.DemoServiceSonImpl,DemoServiceSonImpl,0.009817633,2,1,2,2,1,0,1,18,24,0.8,0,5,0,4,4,0.5,4
com.alibaba.dubbo.config.spring.impl.DemoServiceImpl_LongWaiting.java.DemoServiceImpl_LongWaiting,DemoServiceImpl_LongWaiting,0.136637872,2,1,2,1,0,4,0,27,19,0.666666667,0,2,0,2,2,0,2
com.alibaba.dubbo.config.spring.SimpleRegistryExporter.java.SimpleRegistryExporter,SimpleRegistryExporter,0.068318936,1,1,1,0,1,7,1,22,37,0.75,0,5,0,3,3,0,3
com.alibaba.dubbo.config.spring.impl.UnserializableBox.java.UnserializableBox,UnserializableBox,0.009817633,1,1,1,1,1,0,1,17,30,0.833333333,0,8,0,5,5,0.6,5
com.alibaba.dubbo.config.spring.SimpleRegistryService.java.SimpleRegistryService,SimpleRegistryService,0.049088167,1,1,1,1,1,0,1,21,122,0.875,14,11,0,7,14,0.428571429,22
com.alibaba.dubbo.config.spring.impl.UnserializableBoxDemoServiceImpl.java.UnserializableBoxDemoServiceImpl,UnserializableBoxDemoServiceImpl,0.163965446,3,1,3,1,0,4,0,32,16,0.666666667,0,2,0,2,2,0,2
com.alibaba.dubbo.config.spring.filter.MockDaoImpl.java.MockDaoImpl,MockDaoImpl,0.136637872,1,1,1,1,0,0,0,11,8,0,0,0,0,0,0,0,0
com.alibaba.dubbo.config.spring.GenericDemoService.java.GenericDemoService,GenericDemoService,0.136637872,0,1,0,0,0,1,0,18,9,0.5,0,1,0,1,1,0,1
com.alibaba.dubbo.config.spring.schema.DubboBeanDefinitionParser.java.DubboBeanDefinitionParser,DubboBeanDefinitionParser,0.140888523,2,1,2,0,3,94,1,25,389,0.909090909,0,14,0,10,10,0,89
com.alibaba.dubbo.config.spring.filter.MockFilter.java.MockFilter,MockFilter,0.199389826,1,1,1,0,3,25,0,10,42,0.875,0,10,0,7,7,0.142857143,7
