FullQualifiedName,name,Maintainability,CBO,CYC_Classes,DAC,DIT,ILCOM,LCOM,LD,LEN,LOC,LOD_Class,MPC,NAM,NOC,NOM,RFC,TCC,WMC
com.alibaba.dubbo.container.page.MenuComparator.java.MenuComparator,MenuComparator,0.136637872,2,1,2,0,0,1,0,14,24,0.5,0,2,0,1,1,0,4
com.alibaba.dubbo.container.page.pages.HomePageHandler.java.HomePageHandler,HomePageHandler,0.167592212,4,1,4,1,0,1,0,15,22,0.5,3,1,0,1,3,0,2
com.alibaba.dubbo.container.page.PageHandler.java.PageHandler,PageHandler,0.143556607,1,1,1,0,0,1,0,11,17,0,0,1,4,1,1,0,1
com.alibaba.dubbo.container.page.pages.StatusPageHandler.java.StatusPageHandler,StatusPageHandler,0.164387084,3,1,3,1,0,9,0,17,53,0.75,2,3,0,3,3,0,9
com.alibaba.dubbo.container.page.PageServlet.java.PageServlet,PageServlet,0.13554093,4,1,4,0,3,21,1,11,246,0.875,5,13,0,7,12,0.666666667,33
com.alibaba.dubbo.container.page.pages.LogPageHandler.java.LogPageHandler,LogPageHandler,0.076500297,3,1,3,1,1,0,1,14,69,0.5,1,3,0,1,1,0,3
com.alibaba.dubbo.container.page.pages.SystemPageHandler.java.SystemPageHandler,SystemPageHandler,0.087886786,3,1,3,1,1,2,1,17,110,0.666666667,1,6,0,2,2,0,11
com.alibaba.dubbo.container.page.Page.java.Page,Page,0.175773573,0,1,0,0,4,17,0,4,62,0.833333333,0,9,0,5,5,0,5
com.alibaba.dubbo.container.Main.java.Main,Main,0.068318936,1,1,1,0,1,0,0.6,4,70,0.5,1,6,0,1,2,0,6
com.alibaba.dubbo.container.page.ResourceFilter.java.ResourceFilter,ResourceFilter,0.128793592,0,1,0,0,1,18,3,14,115,0.857142857,0,9,0,6,6,0,24
com.alibaba.dubbo.container.Container.java.Container,Container,0.136637872,0,1,0,0,0,4,0,9,19,0,0,2,0,2,2,0,2
