FullQualifiedName,name,Maintainability,CBO,CYC_Classes,DAC,DIT,ILCOM,LCOM,LD,LEN,LOC,LOD_Class,MPC,NAM,NOC,NOM,RFC,TCC,WMC
com.alibaba.com.caucho.hessian.io.CalendarHandle.java.CalendarHandle,CalendarHandle,0.068318936,1,1,1,1,1,0,1,14,39,0.5,0,3,0,1,1,0,2
com.alibaba.com.caucho.hessian.io.Deserializer.java.Deserializer,Deserializer,0.254044975,1,60,1,0,0,36,0,12,21,0.857142857,0,6,1,6,6,0,6
com.alibaba.com.caucho.hessian.io.HessianDebugState.java.HessianDebugState.ListState,ListState,0.117407103,2,25,1,1,1,0,0.636363636,9,104,1,8,12,0,4,8,0,14
com.alibaba.com.caucho.hessian.security.X509Encryption.java.X509Encryption.EncryptOutputStream,EncryptOutputStream,0.049088167,2,3,2,0,1,0,1,19,97,1,8,7,0,3,6,1,4
com.alibaba.com.caucho.hessian.io.Hessian2Output.java.Hessian2Output,Hessian2Output,0.068318936,6,2,5,1,2,744,0.137931034,14,1549,0.145454545,15,63,0,54,62,0.359215686,147
com.alibaba.com.caucho.hessian.io.Hessian2Constants.java.Hessian2Constants,Hessian2Constants,0.185726039,0,1,0,0,0,0,0,17,96,1,0,66,3,0,0,0,0
com.alibaba.com.caucho.hessian.io.Serializer.java.Serializer,Serializer,0.204956808,1,60,1,0,0,1,0,10,7,0.5,0,1,1,1,1,0,1
com.alibaba.com.caucho.hessian.io.EnumerationSerializer.java.EnumerationSerializer,EnumerationSerializer,0.136637872,2,60,2,2,1,2,1,21,31,0.666666667,3,3,0,2,5,0,5
com.alibaba.com.caucho.hessian.io.HessianDebugState.java.HessianDebugState.ObjectState,ObjectState,0.117407103,3,25,2,1,1,0,0.636363636,11,96,1,14,11,0,4,12,0,10
com.alibaba.com.caucho.hessian.security.X509Encryption.java.X509Encryption,X509Encryption,0,5,3,5,1,3,31,1,14,321,0.333333333,8,15,0,11,15,0.309090909,18
com.alibaba.com.caucho.hessian.io.EnumerationDeserializer.java.EnumerationDeserializer,EnumerationDeserializer,0.136637872,2,60,2,3,1,2,1,23,29,0.666666667,4,3,0,2,6,0,4
com.alibaba.com.caucho.hessian.io.HessianSerializerOutput.java.HessianSerializerOutput,HessianSerializerOutput,0.136637872,2,1,2,2,0,1,0,23,90,0,6,1,0,1,5,0,4
com.alibaba.com.caucho.hessian.io.JavaDeserializer.java.JavaDeserializer,JavaDeserializer,0.068318936,18,60,18,3,3,79,1,16,619,0.666666667,29,17,2,11,17,0.4,50
com.alibaba.com.caucho.hessian.io.AbstractSerializer.java.AbstractSerializer,AbstractSerializer,0.204956808,2,60,2,1,0,1,0,18,10,0.5,0,2,16,1,1,0,1
com.alibaba.com.caucho.hessian.io.CalendarSerializer.java.CalendarSerializer,CalendarSerializer,0.136637872,3,60,3,2,1,2,1,18,24,0.666666667,3,3,0,2,4,0,3
