FullQualifiedName,name,Maintainability,CBO,CYC_Classes,DAC,DIT,ILCOM,LCOM,LD,LEN,LOC,LOD_Class,MPC,NAM,NOC,NOM,RFC,TCC,WMC
com.alibaba.dubbo.monitor.simple.pages.ApplicationsPageHandler.java.ApplicationsPageHandler,ApplicationsPageHandler,0.227729787,1,1,1,0,0,1,0,23,56,0.5,10,1,0,1,6,0,4
com.alibaba.dubbo.monitor.simple.pages.ConsumersPageHandler.java.ConsumersPageHandler,ConsumersPageHandler,0.136637872,1,1,1,0,0,1,0,20,63,0.5,6,1,0,1,5,0,10
com.alibaba.dubbo.monitor.simple.pages.UnsubscribePageHandler.java.UnsubscribePageHandler.NotifyListenerAdapter,NotifyListenerAdapter,0.185726039,0,1,0,0,0,1,0,21,9,1,0,2,0,1,1,0,1
com.alibaba.dubbo.monitor.simple.SimpleMonitorService.java.SimpleMonitorService,SimpleMonitorService,0.344011381,1,1,1,0,2,191,1,20,377,0.944444444,1,28,0,17,18,0.083333333,53
com.alibaba.dubbo.monitor.simple.pages.ChartsPageHandler.java.ChartsPageHandler,ChartsPageHandler,0.136637872,1,1,1,0,0,4,0,17,67,0.666666667,2,2,0,2,4,0,8
com.alibaba.dubbo.monitor.simple.pages.UnsubscribePageHandler.java.UnsubscribePageHandler,UnsubscribePageHandler,0.159410851,2,1,2,0,0,1,0,22,38,0.5,2,1,0,1,3,0,5
com.alibaba.dubbo.monitor.simple.CountUtils.java.CountUtils,CountUtils,0,0,1,0,0,2,0,1,10,67,0.8,0,9,0,4,4,1,10
com.alibaba.dubbo.monitor.simple.pages.DependenciesPageHandler.java.DependenciesPageHandler,DependenciesPageHandler,0.178388333,1,1,1,0,0,4,0,23,62,0.666666667,4,2,0,2,4,0,10
com.alibaba.dubbo.monitor.simple.pages.HostsPageHandler.java.HostsPageHandler,HostsPageHandler,0.136637872,1,1,1,0,0,1,0,16,47,0.5,6,1,0,1,5,0,4
com.alibaba.dubbo.monitor.simple.RegistryContainer.java.RegistryContainer,RegistryContainer,0.143131923,0,1,0,0,6,142,0.5,17,267,0.941176471,0,27,0,16,16,0.175,45
com.alibaba.dubbo.monitor.simple.pages.ProvidersPageHandler.java.ProvidersPageHandler,ProvidersPageHandler,0.136637872,1,1,1,0,0,1,0,20,63,0.5,6,1,0,1,5,0,10
com.alibaba.dubbo.monitor.simple.pages.StatisticsPageHandler.java.StatisticsPageHandler,StatisticsPageHandler,0.151819858,2,1,2,0,0,16,0,21,136,0.8,4,4,0,4,8,0,19
com.alibaba.dubbo.monitor.simple.SimpleMonitorServiceTest.java.SimpleMonitorServiceTest,SimpleMonitorServiceTest,0.185979326,1,1,1,0,0,1,0,24,13,0.5,2,1,0,1,2,0,1
com.alibaba.dubbo.monitor.simple.pages.UnregisterPageHandler.java.UnregisterPageHandler,UnregisterPageHandler,0.136637872,1,1,1,0,0,1,0,21,28,0.5,2,1,0,1,3,0,5
com.alibaba.dubbo.monitor.simple.pages.ServicesPageHandler.java.ServicesPageHandler,ServicesPageHandler,0.136637872,1,1,1,0,0,1,0,19,45,0.5,6,1,0,1,5,0,5
com.alibaba.dubbo.monitor.simple.SimpleMonitor.java.SimpleMonitor,SimpleMonitor,0.185726039,0,1,0,0,0,1,0,13,7,1,0,1,0,1,1,0,1
