FullQualifiedName,name,Maintainability,CBO,CYC_Classes,DAC,DIT,ILCOM,LCOM,LD,LEN,LOC,LOD_Class,MPC,NAM,NOC,NOM,RFC,TCC,WMC
com.alibaba.dubbo.registry.integration.RegistryDirectory.java.RegistryDirectory,RegistryDirectory,0.221762757,5,1,4,1,4,233,1,17,622,0.5,2,39,0,21,23,0.106060606,108
com.alibaba.dubbo.registry.pages.RegistriesPageHandler.java.RegistriesPageHandler,RegistriesPageHandler,0.136637872,3,1,3,0,0,1,0,21,41,0.5,3,1,0,1,4,0,5
com.alibaba.dubbo.registry.RegistryFactory.java.RegistryFactory,RegistryFactory,0.194169607,2,7,2,0,0,1,0,15,27,0,0,1,1,1,1,0,1
com.alibaba.dubbo.registry.support.AbstractRegistryFactory.java.AbstractRegistryFactory,AbstractRegistryFactory,0.057531736,3,7,3,1,1,0,1,23,77,0.4,0,7,1,4,4,1,8
com.alibaba.dubbo.registry.support.FailbackRegistryTest.java.FailbackRegistryTest,FailbackRegistryTest,0,3,2,2,0,1,0,1,20,226,0.5,14,12,0,5,10,1,13
com.alibaba.dubbo.registry.Registry.java.Registry,Registry,0.194169607,3,7,3,1,0,0,0,8,9,0,0,0,2,0,0,0,0
com.alibaba.dubbo.registry.support.SkipFailbackWrapperException.java.SkipFailbackWrapperException,SkipFailbackWrapperException,0.194169607,1,2,1,0,0,1,0,28,19,0.5,0,1,0,1,1,0,1
com.alibaba.dubbo.registry.NotifyListener.java.NotifyListener,NotifyListener,0.229127426,1,7,1,0,0,1,0,14,23,0,0,1,6,1,1,0,1
com.alibaba.dubbo.registry.pages.SubscribedPageHandler.java.SubscribedPageHandler,SubscribedPageHandler,0.136637872,3,1,3,0,0,1,0,21,50,0.5,2,1,0,1,3,0,8
com.alibaba.dubbo.registry.support.FailbackRegistry.java.FailbackRegistry,FailbackRegistry,0.290428096,3,2,3,3,2,291,1,16,418,0.954545455,19,28,1,21,32,0.127272727,74
com.alibaba.dubbo.registry.RegistryService.java.RegistryService,RegistryService,0.194169607,3,7,3,0,0,25,0,15,73,0,0,5,1,5,5,0,5
com.alibaba.dubbo.registry.PerformanceRegistryTest.java.PerformanceRegistryTest,PerformanceRegistryTest,0.068318936,3,1,3,0,1,0,1,23,42,0.5,6,2,0,1,4,0,4
com.alibaba.dubbo.registry.integration.RegistryProtocol.java.RegistryProtocol.ExporterChangeableWrapper,ExporterChangeableWrapper,0.050340269,1,3,0,0,1,0,0.666666667,25,36,0.8,1,6,0,4,5,0.666666667,4
com.alibaba.dubbo.registry.RegistryTestSupport.java.RegistryTestSupport,RegistryTestSupport,0.136637872,0,1,0,0,0,1,0,19,197,0.5,0,1,0,1,1,0,1
com.alibaba.dubbo.registry.support.AbstractRegistry.java.AbstractRegistry.SaveProperties,SaveProperties,0.174938838,1,7,0,0,1,0,1,14,9,1,1,2,0,1,2,0,1
com.alibaba.dubbo.registry.integration.RegistryProtocol.java.RegistryProtocol.InvokerDelegete,InvokerDelegete,0.185726039,0,1,0,0,1,0,0,15,18,1,0,2,0,1,1,0,2
com.alibaba.dubbo.registry.status.RegistryStatusChecker.java.RegistryStatusChecker,RegistryStatusChecker,0.136637872,2,1,2,0,0,1,0,21,31,0.5,1,1,0,1,2,0,5
com.alibaba.dubbo.registry.integration.RegistryProtocol.java.RegistryProtocol,RegistryProtocol,0.259105703,8,3,8,0,4,318,1,16,387,0.714285714,6,28,0,20,23,0.088888889,34
com.alibaba.dubbo.registry.support.AbstractRegistryFactoryTest.java.AbstractRegistryFactoryTest,AbstractRegistryFactoryTest,0.050340269,3,1,3,0,1,0,1,27,67,0.75,6,4,0,3,4,1,3
com.alibaba.dubbo.registry.integration.RegistryProtocol.java.RegistryProtocol.OverrideListener,OverrideListener,0.117407103,5,3,5,1,1,0,0.5,16,66,1,1,4,0,2,3,0,12
com.alibaba.dubbo.registry.support.AbstractRegistry.java.AbstractRegistry,AbstractRegistry,0.220297762,3,7,3,2,2,193,1.1,16,474,0.958333333,3,35,1,23,24,0.2,95
com.alibaba.dubbo.registry.integration.RegistryDirectory.java.RegistryDirectory.InvokerDelegete,InvokerDelegete,0.136637872,0,1,0,0,1,0,0,15,17,0.5,0,2,0,1,1,0,1
com.alibaba.dubbo.registry.support.FailbackRegistryTest.java.FailbackRegistryTest.MockRegistry,MockRegistry,0.166495269,3,2,2,4,1,0,0.666666667,12,74,0.875,3,9,0,7,9,0,12
com.alibaba.dubbo.registry.pages.RegisteredPageHandler.java.RegisteredPageHandler,RegisteredPageHandler,0.136637872,3,1,3,0,0,1,0,21,50,0.5,2,1,0,1,3,0,8
com.alibaba.dubbo.registry.integration.RegistryDirectory.java.RegistryDirectory.InvokerComparator,InvokerComparator,0.185726039,0,1,0,0,1,2,0,17,15,1,0,3,0,2,2,0,2
com.alibaba.dubbo.registry.PerformanceUtils.java.PerformanceUtils,PerformanceUtils,0.049088167,0,1,0,0,1,49,1,16,102,0.9,0,10,0,9,9,0.166666667,21
