FullQualifiedName,name,Maintainability,CBO,CYC_Classes,DAC,DIT,ILCOM,LCOM,LD,LEN,LOC,LOD_Class,MPC,NAM,NOC,NOM,RFC,TCC,WMC
com.alibaba.dubbo.registry.dubbo.RegistryDirectoryTest.java.RegistryDirectoryTest.MockRegistry,MockRegistry,0.117407103,0,1,0,0,2,60,1,12,47,1,0,10,0,8,8,0,10
com.alibaba.dubbo.registry.dubbo.RegistryDirectoryTest.java.RegistryDirectoryTest.DemoService,DemoService,0.185726039,0,1,0,0,0,0,0,11,2,1,0,0,0,0,0,0,0
com.alibaba.dubbo.registry.dubbo.MockedClient.java.MockedClient,MockedClient,0.344529,0,1,0,0,7,2056,1,12,233,0.914893617,0,53,0,46,46,0.007729469,46
com.alibaba.dubbo.registry.dubbo.RegistryDirectoryTest.java.DubboRegistryFactory.java.DubboRegistryFactory,DubboRegistryFactory,0,1,1,1,0,1,5,1,20,65,0.833333333,1,8,0,5,5,0.5,7
com.alibaba.dubbo.registry.dubbo.RegistryDirectoryTest.java.DemoService.java.DemoService,DemoService,0.136637872,0,1,0,0,0,4,0,11,10,0.666666667,0,2,0,2,2,0,2
com.alibaba.dubbo.registry.dubbo.RegistryDirectoryTest.java.RegistryDirectoryTest,RegistryDirectoryTest,0.157082134,3,1,3,0,2,0,0.9,21,1020,0.56097561,2,50,0,40,40,0.617424242,42
com.alibaba.dubbo.registry.dubbo.RegistryDirectoryTest.java.RegistryProtocolTest.java.RegistryProtocolTest,RegistryProtocolTest,0.006831894,4,1,4,0,1,14,1,20,145,0.666666667,3,12,0,8,8,0.666666667,8
com.alibaba.dubbo.registry.dubbo.RegistryStatusCheckerTest.java.RegistryStatusCheckerTest,RegistryStatusCheckerTest,0.119558138,1,1,1,0,1,7,1,25,34,0.75,1,5,0,3,3,0,3
com.alibaba.dubbo.registry.dubbo.RegistryDirectoryTest.java.MockChannel.java.MockChannel,MockChannel,0.185726039,0,1,0,0,3,318,0,11,85,1,0,21,0,18,18,0,18
com.alibaba.dubbo.registry.dubbo.RegistryDirectoryTest.java.SimpleRegistryService.java.SimpleRegistryService,SimpleRegistryService,0.052504114,1,1,1,1,1,0,1,21,122,0.875,14,11,0,7,14,0.428571429,22
com.alibaba.dubbo.registry.dubbo.RegistryDirectoryTest.java.DubboRegistry.java.DubboRegistry,DubboRegistry,0.046633758,0,1,0,0,2,0,1,13,113,0.888888889,0,15,0,8,8,0.333333333,15
com.alibaba.dubbo.registry.dubbo.RegistryDirectoryTest.java.SimpleRegistryExporter.java.SimpleRegistryExporter,SimpleRegistryExporter,0.068318936,1,1,1,0,1,7,1,22,37,0.75,0,5,0,3,3,0,3
com.alibaba.dubbo.registry.dubbo.AbstractRegistryService.java.AbstractRegistryService,AbstractRegistryService,0.057034142,0,1,0,0,3,324,1,23,209,0.956521739,0,27,1,22,22,0.158333333,50
com.alibaba.dubbo.registry.dubbo.RegistryDirectoryTest.java.RegistryProtocolTest.java.RegistryProtocolTest.MockRegistry,MockRegistry,0.185726039,0,1,0,0,0,1,0,12,10,1,0,1,0,1,1,0,1
com.alibaba.dubbo.registry.dubbo.RegistryDirectoryTest.java.RegistryProtocolTest.java.RegistryProtocolTest.MockInvoker,MockInvoker,0.185726039,0,1,0,0,0,1,0,11,11,1,0,1,0,1,1,0,1
