FullQualifiedName,name,Maintainability,CBO,CYC_Classes,DAC,DIT,ILCOM,LCOM,LD,LEN,LOC,LOD_Class,MPC,NAM,NOC,NOM,RFC,TCC,WMC
com.alibaba.dubbo.remoting.Codec2.java.Codec2,Codec2,0.136637872,2,1,2,0,0,4,0,6,18,0.666666667,0,2,2,2,2,0,2
com.alibaba.dubbo.remoting.handler.WrappedChannelHandlerTest.java.WrappedChannelHandlerTest,WrappedChannelHandlerTest,0.049088167,5,2,5,0,1,14,1,25,108,1,10,10,1,8,12,0.666666667,12
com.alibaba.dubbo.remoting.buffer.Codec2.java.ChannelBufferInputStream.java.ChannelBufferInputStream,ChannelBufferInputStream,0.049088167,1,11,1,0,1,0,1,24,90,0.9,12,12,0,9,16,0.535714286,12
com.alibaba.dubbo.remoting.transport.Codec2.java.AbstractEndpoint.java.AbstractEndpoint,AbstractEndpoint,0.117407103,6,1,5,2,1,16,1,16,84,0.857142857,5,10,2,6,9,0,13
com.alibaba.dubbo.remoting.telnet.support.command.Codec2.java.HelpTelnetHandler.java.HelpTelnetHandler,HelpTelnetHandler,0.068318936,5,1,4,1,1,0,1,17,45,0.5,2,2,0,1,3,0,5
com.alibaba.dubbo.remoting.handler.HeaderExchangeHandlerTest.java.HeaderExchangeHandlerTest.Person,Person,0.117407103,0,1,0,0,1,0,1,6,11,1,0,2,0,1,1,0,1
com.alibaba.dubbo.remoting.handler.HeaderExchangeHandlerTest.java.HeaderExchangeHandlerTest.MockedExchangeHandler,MockedExchangeHandler,0.185726039,5,1,5,2,0,4,0,21,10,1,0,2,4,2,2,0,2
com.alibaba.dubbo.remoting.handler.HeaderExchangeHandlerTest.java.HeaderExchangeHandlerTest.BizException,BizException,0.185726039,0,1,0,0,0,0,0,12,3,1,0,1,0,0,0,0,0
com.alibaba.dubbo.remoting.TimeoutException.java.TimeoutException,TimeoutException,0,3,1,3,1,1,0,1,16,42,0.75,2,7,0,3,3,1,3
com.alibaba.dubbo.remoting.transport.Codec2.java.AbstractCodec.java.AbstractCodec,AbstractCodec,0.068318936,4,1,3,1,1,14,1,13,49,0.8,7,5,1,4,9,0,8
com.alibaba.dubbo.remoting.codec.ExchangeCodecTest.java.ExchangeCodecTest,ExchangeCodecTest,0.163863979,12,1,11,1,2,162,0.625,17,399,0.962962963,122,30,1,26,58,0.519480519,28
com.alibaba.dubbo.remoting.ExecutionException.java.ExecutionException,ExecutionException,0.136637872,2,1,2,1,1,0,0,18,49,0.5,6,3,0,1,1,0,1
com.alibaba.dubbo.remoting.buffer.AbstractChannelBufferTest.java.AbstractChannelBufferTest,AbstractChannelBufferTest,0.29608803,2,1,1,0,1,0,1,25,842,0.981818182,208,59,4,54,101,1,115
com.alibaba.dubbo.remoting.DemoService.java.DemoService,DemoService,0.136637872,0,1,0,0,0,4,0,11,10,0.666666667,0,2,1,2,2,0,2
com.alibaba.dubbo.remoting.transport.Codec2.java.AbstractChannelHandlerDelegate.java.AbstractChannelHandlerDelegate,AbstractChannelHandlerDelegate,0.10920883,4,1,4,2,1,0,1,30,39,0.857142857,6,7,3,6,12,1,7
com.alibaba.dubbo.remoting.PerformanceClientTest.java.PerformanceClientTest.PeformanceTestHandler,PeformanceTestHandler,0.234814205,3,1,3,4,0,4,0,21,10,1,0,2,0,2,2,0,2
