FullQualifiedName,name,Maintainability,CBO,CYC_Classes,DAC,DIT,ILCOM,LCOM,LD,LEN,LOC,LOD_Class,MPC,NAM,NOC,NOM,RFC,TCC,WMC
com.alibaba.dubbo.remoting.transport.mina.MinaServer.java.MinaServer,MinaServer,0.004879924,3,1,3,0,1,0,1,10,69,0.833333333,4,7,0,5,6,1,10
com.alibaba.dubbo.remoting.transport.mina.MinaCodecAdapter.java.MinaCodecAdapter.InternalDecoder,InternalDecoder,0.185726039,2,3,1,0,1,7,0.2,15,67,1,2,4,0,3,5,0,11
com.alibaba.remoting.transport.mina.WorldHandler.java.WorldHandler,WorldHandler,0.136637872,2,1,2,0,0,4,0,12,16,0.666666667,2,2,0,2,3,0,2
com.alibaba.dubbo.remoting.transport.mina.MinaTransporter.java.MinaTransporter,MinaTransporter,0.136637872,2,1,2,0,0,4,0,15,16,0.666666667,2,3,0,2,2,0,2
com.alibaba.dubbo.remoting.transport.mina.MinaHandler.java.MinaHandler,MinaHandler,0.007319886,1,1,1,0,1,0,1,11,73,0.833333333,10,7,0,5,7,1,5
com.alibaba.dubbo.remoting.transport.mina.MinaCodecAdapter.java.MinaCodecAdapter.InternalEncoder,InternalEncoder,0.193045925,2,3,1,0,0,4,0,15,17,1,2,2,0,2,4,0,2
com.alibaba.remoting.transport.mina.ClientToServerTest.java.ClientToServerTest,ClientToServerTest,0.074681446,3,1,3,0,1,7,1,18,65,0.833333333,2,9,1,5,6,0,7
com.alibaba.remoting.transport.mina.Hello.java.Hello,Hello,0.068318936,0,1,0,0,1,0,0,5,27,0.666666667,0,4,0,2,2,1,2
com.alibaba.dubbo.remoting.transport.mina.MinaChannel.java.MinaChannel,MinaChannel,0.076072212,0,1,0,0,2,0,1,11,142,0.933333333,0,17,0,14,14,1,28
com.alibaba.dubbo.remoting.transport.mina.MinaCodecAdapter.java.MinaCodecAdapter,MinaCodecAdapter,0.14639772,2,3,2,0,2,0,0,16,121,0.666666667,0,8,0,2,2,0,2
com.alibaba.dubbo.remoting.transport.mina.MinaClient.java.MinaClient,MinaClient,0.080898268,3,1,3,0,2,9,1,10,129,0.833333333,4,10,0,5,7,0,8
com.alibaba.remoting.transport.mina.MinaClientToServerTest.java.MinaClientToServerTest,MinaClientToServerTest,0.145710907,1,1,1,1,0,4,0,22,18,0.666666667,0,2,0,2,2,0,2
com.alibaba.remoting.transport.mina.ClientsTest.java.ClientsTest,ClientsTest,0.139077834,1,1,1,0,0,16,0,11,33,0.8,0,4,0,4,4,0,4
com.alibaba.remoting.transport.mina.World.java.World,World,0.068318936,0,1,0,0,1,0,0,5,27,0.666666667,0,4,0,2,2,1,2
