FullQualifiedName,name,Maintainability,CBO,CYC_Classes,DAC,DIT,ILCOM,LCOM,LD,LEN,LOC,LOD_Class,MPC,NAM,NOC,NOM,RFC,TCC,WMC
com.alibaba.dubbo.remoting.transport.netty.ClientToServerTest.java.ClientToServerTest,ClientToServerTest,0.080605162,3,1,3,0,1,7,1,18,65,0.833333333,2,9,1,5,6,0,7
com.alibaba.dubbo.remoting.transport.netty.ThreadNameTest.java.ThreadNameTest.ThreadNameVerifyHandler,ThreadNameVerifyHandler,0.122118753,0,1,0,0,2,54,1,23,51,1,0,11,0,8,8,0,9
com.alibaba.dubbo.remoting.transport.netty.NettyBackedChannelBufferFactory.java.NettyBackedChannelBufferFactory,NettyBackedChannelBufferFactory,0.197889332,1,2,1,0,1,14,0,31,30,0.8,3,5,0,4,4,0,4
com.alibaba.dubbo.remoting.transport.netty.ClientsTest.java.ClientsTest,ClientsTest,0.136637872,1,1,1,0,0,16,0,11,33,0.8,0,4,0,4,4,0,4
com.alibaba.dubbo.remoting.transport.netty.NettyCodecAdapter.java.NettyCodecAdapter.InternalDecoder,InternalDecoder,0.185726039,2,3,1,0,1,2,0.2,15,79,1,2,3,0,2,4,0,11
com.alibaba.dubbo.remoting.transport.netty.TelnetClientHandler.java.TelnetClientHandler,TelnetClientHandler,0.136637872,0,1,0,0,0,4,0,19,15,0.666666667,0,2,0,2,2,0,2
com.alibaba.dubbo.remoting.transport.netty.ThreadNameTest.java.ThreadNameTest,ThreadNameTest,0.009423302,3,1,3,0,1,0,1,14,102,0.75,4,9,0,3,4,1,6
com.alibaba.dubbo.remoting.transport.netty.NettyCodecAdapter.java.NettyCodecAdapter.InternalEncoder,InternalEncoder,0.19514934,2,3,1,0,0,1,0,15,16,1,2,1,0,1,3,0,1
com.alibaba.dubbo.remoting.transport.netty.NettyClientToServerTest.java.NettyClientToServerTest,NettyClientToServerTest,0.140023263,1,1,1,1,0,4,0,23,16,0.666666667,0,2,0,2,2,0,2
com.alibaba.dubbo.remoting.transport.netty.NettyHelper.java.NettyHelper.DubboLogger,DubboLogger,0.049088167,0,1,0,0,1,0,1,11,61,1,0,14,0,13,13,1,13
com.alibaba.dubbo.remoting.transport.netty.NettyServer.java.NettyServer,NettyServer,0,2,1,2,0,1,0,1,11,113,0.833333333,3,9,0,5,7,0.333333333,12
com.alibaba.dubbo.remoting.transport.netty.NettyHelper.java.NettyHelper.DubboLoggerFactory,DubboLoggerFactory,0.185726039,1,1,1,0,0,1,0,18,7,1,1,1,0,1,1,0,1
com.alibaba.dubbo.remoting.transport.netty.NettyHelper.java.NettyHelper,NettyHelper,0.136637872,1,1,1,0,0,1,0,11,83,0.5,0,1,0,1,1,0,2
com.alibaba.dubbo.remoting.transport.netty.NettyCodecAdapter.java.NettyCodecAdapter,NettyCodecAdapter,0.150772824,2,3,2,0,2,0,0,17,132,0.666666667,0,8,0,2,2,0,2
com.alibaba.dubbo.remoting.transport.netty.NettyStringTest.java.NettyStringTest,NettyStringTest,0,2,1,2,0,1,1,1,15,38,0.75,0,5,0,3,3,0.333333333,5
com.alibaba.dubbo.remoting.transport.netty.ClientReconnectTest.java.ClientReconnectTest.HandlerAdapter,HandlerAdapter,0.185726039,0,1,0,0,0,9,0,14,8,1,0,3,0,3,3,0,3
com.alibaba.dubbo.remoting.transport.netty.NettyTransporter.java.NettyTransporter,NettyTransporter,0.136637872,2,1,2,0,0,4,0,16,16,0.666666667,2,3,0,2,2,0,2
com.alibaba.dubbo.remoting.transport.netty.WorldHandler.java.WorldHandler,WorldHandler,0.136637872,2,1,2,0,0,4,0,12,16,0.666666667,2,2,0,2,3,0,2
com.alibaba.dubbo.remoting.transport.dispatcher.FakeChannelHandlers.java.FakeChannelHandlers,FakeChannelHandlers,0.136637872,0,1,0,0,0,9,0,19,23,0.75,0,3,0,3,3,0,3
com.alibaba.dubbo.remoting.transport.netty.NettyBackedChannelBuffer.java.NettyBackedChannelBuffer,NettyBackedChannelBuffer,0.155727977,1,2,1,0,1,0,1,24,364,0.984126984,1,63,0,62,63,0.67424643,67
com.alibaba.dubbo.remoting.exchange.support.header.HeartbeatHandlerTest.java.HeartbeatHandlerTest.TestHeartbeatHandler,TestHeartbeatHandler,0.190437689,1,2,0,0,2,45,0,20,33,1,0,9,0,7,7,0,7
com.alibaba.dubbo.remoting.transport.netty.World.java.World,World,0.068318936,0,1,0,0,1,0,0,5,27,0.666666667,0,4,0,2,2,1,2
com.alibaba.dubbo.remoting.transport.netty.NettyHandler.java.NettyHandler,NettyHandler,0.055126077,1,1,1,0,1,0,1,12,85,0.857142857,10,9,0,6,8,0.8,7
com.alibaba.dubbo.remoting.transport.netty.ClientReconnectTest.java.ClientReconnectTest,ClientReconnectTest,0.146061173,1,1,1,0,0,64,0,19,147,0.444444444,0,8,0,8,8,0,12
com.alibaba.dubbo.remoting.transport.netty.NettyClient.java.NettyClient,NettyClient,0.077742237,3,1,3,0,1,1,1,11,125,0.833333333,5,9,0,5,8,0,13
com.alibaba.dubbo.remoting.transport.netty.NettyClientTest.java.NettyClientTest,NettyClientTest,0.068318936,1,1,1,0,1,17,1,15,49,0.833333333,0,6,0,5,5,0.1,9
com.alibaba.dubbo.remoting.exchange.support.header.HeartbeatHandlerTest.java.HeartbeatHandlerTest,HeartbeatHandlerTest,0,2,2,2,0,1,0,0.5,20,106,0.8,3,7,0,4,6,1,6
com.alibaba.dubbo.remoting.transport.netty.TelnetServerHandler.java.TelnetServerHandler,TelnetServerHandler,0.136637872,0,1,0,0,0,4,0,19,25,0.666666667,0,2,0,2,2,0,3
com.alibaba.dubbo.remoting.transport.netty.NettyChannel.java.NettyChannel,NettyChannel,0.053799817,0,1,0,0,2,12,1,12,156,0.933333333,0,18,0,14,14,0.575757576,30
com.alibaba.dubbo.remoting.transport.netty.Hello.java.Hello,Hello,0.068318936,0,1,0,0,1,0,0,5,27,0.666666667,0,4,0,2,2,1,2
