FullQualifiedName,name,Maintainability,CBO,CYC_Classes,DAC,DIT,ILCOM,LCOM,LD,LEN,LOC,LOD_Class,MPC,NAM,NOC,NOM,RFC,TCC,WMC
com.alibaba.dubbo.remoting.p2p.exchange.ExchangeNetworker.java.ExchangeNetworker,ExchangeNetworker,0.143556607,1,1,1,0,0,1,0,17,16,0,0,1,2,1,1,0,1
com.alibaba.dubbo.remoting.p2p.support.FileNetworker.java.FileNetworker,FileNetworker,0.136637872,3,1,3,1,0,1,0,13,12,0.5,1,1,0,1,1,0,1
com.alibaba.dubbo.remoting.p2p.exchange.ExchangeGroup.java.ExchangeGroup,ExchangeGroup,0.136637872,2,1,2,1,0,1,0,13,15,0,0,1,1,1,1,0,1
com.alibaba.dubbo.remoting.p2p.exchange.support.FileExchangeNetworker.java.FileExchangeNetworker,FileExchangeNetworker,0.136637872,3,1,3,1,0,1,0,21,12,0.5,1,1,0,1,1,0,1
com.alibaba.dubbo.remoting.p2p.support.AbstractGroup.java.AbstractGroup,AbstractGroup,0.057643174,3,1,3,1,2,0,1,13,83,0.857142857,1,11,2,6,6,0.5,13
com.alibaba.dubbo.remoting.p2p.Networkers.java.Networkers,Networkers,0.138274144,3,1,3,0,0,16,0,10,26,0.8,2,4,0,4,6,0,4
com.alibaba.dubbo.remoting.p2p.exchange.support.FileExchangeGroup.java.FileExchangeGroup,FileExchangeGroup,0.015367476,2,1,2,3,2,0,1,17,103,0.833333333,8,9,0,5,10,0.333333333,12
com.alibaba.dubbo.remoting.p2p.Group.java.Group,Group,0.143556607,1,1,1,0,0,16,0,5,37,0,0,4,2,4,4,0,4
com.alibaba.dubbo.remoting.p2p.support.MulticastGroup.java.MulticastGroup,MulticastGroup,0.073227753,2,1,2,2,2,9,1,14,91,0.833333333,5,9,0,5,9,0,9
com.alibaba.dubbo.remoting.p2p.exchange.support.ExchangeServerPeer.java.ExchangeServerPeer,ExchangeServerPeer,0.136974953,3,1,2,2,3,42,1,18,101,0.888888889,1,11,0,8,9,0.107142857,16
com.alibaba.dubbo.remoting.p2p.Peer.java.Peer,Peer,0.143556607,0,1,0,0,0,1,0,4,17,0,0,1,2,1,1,0,1
com.alibaba.dubbo.remoting.p2p.exchange.support.MulticastExchangeNetworker.java.MulticastExchangeNetworker,MulticastExchangeNetworker,0.13891517,3,1,3,1,0,1,0,26,12,0.5,1,1,0,1,1,0,1
com.alibaba.dubbo.remoting.p2p.Networker.java.Networker,Networker,0.143556607,1,1,1,0,0,1,0,9,19,0,0,1,2,1,1,0,1
com.alibaba.dubbo.remoting.p2p.support.MulticastNetworker.java.MulticastNetworker,MulticastNetworker,0.136637872,3,1,3,1,0,1,0,18,12,0.5,1,1,0,1,1,0,1
com.alibaba.dubbo.remoting.p2p.exchange.support.AbstractExchangeGroup.java.AbstractExchangeGroup,AbstractExchangeGroup,0.083688697,4,1,4,2,2,1,1,21,87,0.875,1,12,2,7,7,0.3,14
com.alibaba.dubbo.remoting.p2p.exchange.ExchangePeer.java.ExchangePeer,ExchangePeer,0.136637872,1,1,1,1,0,0,0,12,7,0,0,0,1,0,0,0,0
com.alibaba.dubbo.remoting.p2p.support.FileGroup.java.FileGroup,FileGroup,0.007186115,2,1,2,2,2,0,1,9,100,0.833333333,8,9,0,5,10,0.333333333,12
com.alibaba.dubbo.remoting.p2p.support.ServerPeer.java.ServerPeer,ServerPeer,0.063747201,2,1,2,1,3,14,1,10,90,0.857142857,1,9,0,6,7,0.2,14
com.alibaba.dubbo.remoting.p2p.PeerMain.java.PeerMain,PeerMain,0.136637872,2,1,2,0,0,1,0,8,35,0.5,2,1,0,1,3,0,4
com.alibaba.dubbo.remoting.p2p.exchange.ExchangeNetworkers.java.ExchangeNetworkers,ExchangeNetworkers,0.138274144,3,1,3,0,0,16,0,18,24,0.8,2,4,0,4,6,0,4
com.alibaba.dubbo.remoting.p2p.exchange.support.MulticastExchangeGroup.java.MulticastExchangeGroup,MulticastExchangeGroup,0.081409114,2,1,2,3,2,9,1,22,91,0.833333333,5,9,0,5,9,0,9
