FullQualifiedName,name,Maintainability,CBO,CYC_Classes,DAC,DIT,ILCOM,LCOM,LD,LEN,LOC,LOD_Class,MPC,NAM,NOC,NOM,RFC,TCC,WMC
com.alibaba.dubbo.rpc.proxy.wrapper.Type.java.Type.java.StubProxyFactoryWrapper.java.StubProxyFactoryWrapper,StubProxyFactoryWrapper,0.002134967,6,1,6,1,1,0,1,23,75,0.8,0,7,0,4,4,0.333333333,10
com.alibaba.dubbo.rpc.support.Type.java.Type.java.DelegateInvoker.java.DelegateInvoker,DelegateInvoker,0,4,1,4,0,1,0,1,15,34,0.833333333,0,6,0,5,5,1,5
com.alibaba.dubbo.rpc.support.Type.java.Type.java.DemoServiceImpl.java.DemoServiceImpl,DemoServiceImpl,0.185726039,5,1,5,1,0,169,0,15,77,0.928571429,2,13,0,13,15,0,16
com.alibaba.dubbo.rpc.Type.java.Type.java.Invocation.java.Invocation,Invocation,0.198551908,2,16,2,0,0,49,0,10,68,0,0,7,2,7,7,0,7
com.alibaba.dubbo.rpc.Type.java.Type.java.RpcConstants.java.RpcConstants,RpcConstants,0.136637872,0,1,0,0,0,0,0,12,12,0,0,0,0,0,0,0,0
com.alibaba.dubbo.rpc.filter.Type.java.Type.java.ExceptionFilter.java.ExceptionFilter,ExceptionFilter,0.068318936,8,1,8,1,1,0,1,15,91,0.5,8,2,0,1,7,0,8
com.alibaba.dubbo.rpc.Type.java.Type.java.RpcInvocation.java.RpcInvocation,RpcInvocation,0.111002202,2,16,2,1,2,105,1,13,181,0.944444444,10,23,0,17,17,0.279411765,27
com.alibaba.dubbo.rpc.protocol.Type.java.Type.java.AbstractInvoker.java.AbstractInvoker,AbstractInvoker,0.179321138,8,16,8,0,4,70,0.75,15,131,0.909090909,11,16,0,10,19,0.142857143,21
com.alibaba.dubbo.rpc.support.Type.java.Type.java.MockInvocation.java.MockInvocation,MockInvocation,0.185726039,2,1,2,1,0,49,0,14,43,0.875,0,7,0,7,7,0,7
com.alibaba.dubbo.rpc.proxy.jdk.Type.java.Type.java.JdkProxyFactory.java.JdkProxyFactory,JdkProxyFactory,0.139705882,4,1,4,2,0,4,0,15,25,0.666666667,1,2,0,2,2,0,2
com.alibaba.dubbo.rpc.proxy.javassist.Type.java.Type.java.JavassistProxyFactory.java.JavassistProxyFactory,JavassistProxyFactory,0.139705882,4,1,4,2,0,4,0,21,26,0.666666667,1,2,0,2,2,0,2
com.alibaba.dubbo.rpc.filter.Type.java.Type.java.ActiveLimitFilter.java.ActiveLimitFilter,ActiveLimitFilter,0.136637872,6,3,6,1,0,1,0,17,59,0.5,10,1,0,1,6,0,6
com.alibaba.dubbo.rpc.Type.java.Type.java.RpcResult.java.RpcResult,RpcResult,0.061914036,1,16,1,1,2,72,1,9,103,0.8,0,18,0,14,14,0.274725275,17
com.alibaba.dubbo.rpc.support.Type.java.Type.java.RpcUtilsTest.java.RpcUtilsTest,RpcUtilsTest,0.136637872,3,1,3,0,0,25,0,12,69,0.166666667,16,5,0,5,7,0,5
com.alibaba.dubbo.rpc.filter.Type.java.Type.java.GenericImplFilter.java.GenericImplFilter,GenericImplFilter,0.09820847,9,1,9,1,1,2,1,17,147,0.666666667,25,4,0,2,19,0,22
com.alibaba.dubbo.rpc.protocol.Type.java.Type.java.ProtocolFilterWrapper.java.ProtocolFilterWrapper,ProtocolFilterWrapper,0,5,1,5,1,1,0,1,21,78,0.833333333,2,6,0,5,7,1,9
com.alibaba.dubbo.rpc.proxy.Type.java.Type.java.InvokerInvocationHandler.java.InvokerInvocationHandler,InvokerInvocationHandler,0.070453903,3,1,2,0,1,0,1,24,32,0.5,2,2,0,1,2,0,5
