FullQualifiedName,name,Maintainability,CBO,CYC_Classes,DAC,DIT,ILCOM,LCOM,LD,LEN,LOC,LOD_Class,MPC,NAM,NOC,NOM,RFC,TCC,WMC
com.alibaba.dubbo.rpc.protocol.dubbo.telnet.Type.java.ListTelnetHandlerTest.java.ListTelnetHandlerTest,ListTelnetHandlerTest,0.049088167,4,1,4,0,1,0,1,21,131,0.888888889,7,13,0,8,10,0.642857143,11
com.alibaba.dubbo.rpc.protocol.dubbo.support.Person.java.Person,Person,0.068318936,0,1,0,0,2,0,0,6,27,0.8,0,7,0,4,4,0.333333333,4
com.alibaba.dubbo.rpc.protocol.dubbo.ExplicitCallbackTest.java.ExplicitCallbackTest.DemoServiceImpl,DemoServiceImpl,0.050575687,2,1,2,1,1,4,1,15,75,1,1,9,0,6,7,0.3,9
com.alibaba.dubbo.rpc.protocol.dubbo.ExplicitCallbackTest.java.ExplicitCallbackTest.HelloServiceImpl,HelloServiceImpl,0.187213559,1,1,1,1,0,1,0,16,6,1,0,1,0,1,1,0,1
com.alibaba.dubbo.rpc.protocol.dubbo.support.RemoteServiceImpl.java.RemoteServiceImpl,RemoteServiceImpl,0.187213559,1,1,1,1,0,4,0,17,13,1,0,2,0,2,2,0,2
com.alibaba.dubbo.rpc.protocol.dubbo.ExplicitCallbackTest.java.ExplicitCallbackTest.IDemoService,IDemoService,0.185726039,1,1,1,0,0,25,0,12,7,1,0,5,1,5,5,0,5
com.alibaba.dubbo.rpc.protocol.dubbo.ExplicitCallbackTest.java.ExplicitCallbackTest.IHelloService,IHelloService,0.185726039,0,1,0,0,0,1,0,13,3,1,0,1,1,1,1,0,1
com.alibaba.dubbo.rpc.protocol.dubbo.ExplicitCallbackTest.java.ExplicitCallbackTest.IDemoCallback,IDemoCallback,0.18698399,0,1,0,0,0,1,0,13,3,1,0,1,7,1,1,0,1
com.alibaba.dubbo.rpc.protocol.dubbo.Type.java.DubboInvoker.java.DubboInvoker,DubboInvoker,0,1,1,1,0,1,0,1,12,109,0.75,0,8,0,3,3,1,13
com.alibaba.dubbo.rpc.protocol.dubbo.ExplicitCallbackTest.java.ExplicitCallbackTest,ExplicitCallbackTest,0.053228708,6,1,6,0,1,73,1,20,300,1,6,19,0,13,17,0.254545455,18
com.alibaba.dubbo.rpc.protocol.dubbo.ImplicitCallBackTest.java.ImplicitCallBackTest.Person,Person,0.049088167,0,1,0,0,2,7,1,6,33,1,0,11,0,7,7,0.333333333,7
com.alibaba.dubbo.rpc.protocol.dubbo.filter.Type.java.FutureFilter.java.FutureFilter,FutureFilter,0.117407103,1,1,1,0,1,34,1,12,168,0.857142857,0,7,0,6,6,0,23
com.alibaba.dubbo.rpc.protocol.dubbo.telnet.Type.java.InvokeTelnetHandler.java.InvokeTelnetHandler,InvokeTelnetHandler,0.136637872,2,1,2,0,0,9,0,19,133,0.75,2,3,0,3,5,0,27
com.alibaba.dubbo.rpc.protocol.dubbo.ImplicitCallBackTest.java.ImplicitCallBackTest.ExceptionDemoExService,ExceptionDemoExService,0.187213559,2,1,2,1,0,1,0,22,5,1,0,1,0,1,1,0,1
com.alibaba.dubbo.rpc.protocol.dubbo.ImplicitCallBackTest.java.ImplicitCallBackTest.NormalDemoService,NormalDemoService,0.187213559,2,1,2,1,0,1,0,17,5,1,1,1,0,1,1,0,1
com.alibaba.dubbo.rpc.protocol.dubbo.ImplicitCallBackTest.java.ImplicitCallBackTest.IDemoService,IDemoService,0.185726039,1,1,1,0,0,1,0,12,3,1,0,1,2,1,1,0,1
com.alibaba.dubbo.rpc.protocol.dubbo.telnet.Type.java.LogTelnetHandler.java.LogTelnetHandler,LogTelnetHandler,0.136637872,0,1,0,0,0,1,0,16,61,0.5,0,2,0,1,1,0,5
com.alibaba.dubbo.rpc.protocol.dubbo.Type.java.DecodeableRpcInvocation.java.DecodeableRpcInvocation,DecodeableRpcInvocation,0.002070271,2,7,1,0,1,1,0.75,23,101,0.75,1,9,0,3,4,0.333333333,11
com.alibaba.dubbo.rpc.protocol.dubbo.telnet.Type.java.ChangeTelnetHandlerTest.java.ChangeTelnetHandlerTest,ChangeTelnetHandlerTest,0.049088167,4,1,4,0,1,0,1,23,87,0.909090909,4,13,0,10,12,0.8,10
com.alibaba.dubbo.rpc.protocol.dubbo.ImplicitCallBackTest.java.ImplicitCallBackTest.NofifyImpl,NofifyImpl,0.187213559,2,1,2,1,3,3,0,10,17,1,0,7,0,3,3,0,3
com.alibaba.dubbo.rpc.protocol.dubbo.ImplicitCallBackTest.java.ImplicitCallBackTest.Nofify,Nofify,0.185726039,1,1,1,0,0,9,0,6,5,1,0,3,1,3,3,0,3
com.alibaba.dubbo.rpc.protocol.dubbo.telnet.Type.java.CurrentTelnetHandler.java.CurrentTelnetHandler,CurrentTelnetHandler,0.136637872,1,1,1,0,0,1,0,20,24,0.5,0,1,0,1,1,0,3
com.alibaba.dubbo.rpc.protocol.dubbo.Type.java.DubboProtocol.java.DubboProtocol,DubboProtocol,0.075434518,5,7,5,0,5,212,0.714285714,13,381,0.823529412,4,27,0,16,18,0.071428571,44
com.alibaba.dubbo.rpc.protocol.dubbo.telnet.Type.java.LogTelnetHandlerTest.java.LogTelnetHandlerTest,LogTelnetHandlerTest,0,1,1,1,0,1,0,1,20,31,0.666666667,0,4,0,2,2,1,2
com.alibaba.dubbo.rpc.protocol.dubbo.support.EnumBak.java.EnumBak,EnumBak,0.049088167,3,1,3,0,1,0,0.666666667,7,150,1,8,10,0,8,10,1,8
com.alibaba.dubbo.rpc.protocol.dubbo.ImplicitCallBackTest.java.ImplicitCallBackTest,ImplicitCallBackTest,0.059178789,7,1,7,0,1,19,0.75,20,331,1,19,30,0,21,24,0.426315789,31
com.alibaba.dubbo.rpc.protocol.dubbo.telnet.Type.java.PortTelnetHandler.java.PortTelnetHandler,PortTelnetHandler,0.136637872,1,1,1,0,0,1,0,17,66,0.5,2,1,0,1,3,0,15
com.alibaba.dubbo.rpc.protocol.dubbo.filter.Type.java.TraceFilter.java.TraceFilter,TraceFilter,0,0,1,0,0,1,0,1,11,91,0.75,0,7,0,3,3,1,14
com.alibaba.dubbo.rpc.protocol.dubbo.telnet.Type.java.PortTelnetHandlerTest.java.PortTelnetHandlerTest,PortTelnetHandlerTest,0.049088167,4,1,4,0,2,0,1,21,67,0.875,2,9,0,7,9,0.523809524,7
com.alibaba.dubbo.rpc.protocol.dubbo.ReferenceCountExchangeClientTest.java.ReferenceCountExchangeClientTest.HelloServiceImpl,HelloServiceImpl,0.187213559,1,1,1,1,0,1,0,16,5,1,0,1,0,1,1,0,1
com.alibaba.dubbo.rpc.protocol.dubbo.ReferenceCountExchangeClientTest.java.ReferenceCountExchangeClientTest.IHelloService,IHelloService,0.185726039,0,1,0,0,0,1,0,13,3,1,0,1,1,1,1,0,1
com.alibaba.dubbo.rpc.protocol.dubbo.ReferenceCountExchangeClientTest.java.ReferenceCountExchangeClientTest.DemoServiceImpl,DemoServiceImpl,0.187213559,1,1,1,1,0,1,0,15,5,1,0,1,0,1,1,0,1
com.alibaba.dubbo.rpc.protocol.dubbo.ReferenceCountExchangeClientTest.java.ReferenceCountExchangeClientTest.IDemoService,IDemoService,0.185726039,0,1,0,0,0,1,0,12,3,1,0,1,1,1,1,0,1
com.alibaba.dubbo.rpc.protocol.dubbo.support.DemoServiceImpl.java.DemoServiceImpl,DemoServiceImpl,0.18928383,5,1,5,1,0,256,0,15,88,0.941176471,0,16,0,16,16,0,19
com.alibaba.dubbo.rpc.protocol.dubbo.telnet.Type.java.CountTelnetHandler.java.CountTelnetHandler,CountTelnetHandler,0.136637872,2,1,2,0,0,4,0,18,132,0.666666667,2,2,0,2,4,0,16
com.alibaba.dubbo.rpc.protocol.dubbo.ReferenceCountExchangeClientTest.java.ReferenceCountExchangeClientTest,ReferenceCountExchangeClientTest,0.134567601,7,1,7,0,1,136,0.909090909,32,194,0.733333333,7,25,0,14,18,0.083333333,15
com.alibaba.dubbo.rpc.protocol.dubbo.status.Type.java.ThreadPoolStatusChecker.java.ThreadPoolStatusChecker,ThreadPoolStatusChecker,0.136637872,0,1,0,0,0,1,0,23,43,0.5,0,1,0,1,1,0,5
com.alibaba.dubbo.rpc.protocol.dubbo.Type.java.DubboExporter.java.DubboExporter,DubboExporter,0.068318936,0,1,0,0,1,0,1,13,24,0.5,0,3,0,1,1,0,1
com.alibaba.dubbo.rpc.protocol.dubbo.support.DemoRequest.java.DemoRequest,DemoRequest,0.136637872,0,1,0,0,4,8,0,11,45,0.8,0,9,0,4,4,0,4
com.alibaba.dubbo.rpc.protocol.dubbo.DubboInvokerAvilableTest.java.DubboInvokerAvilableTest.DemoServiceImpl,DemoServiceImpl,0.187213559,1,1,1,1,0,1,0,15,5,1,0,1,0,1,1,0,1
com.alibaba.dubbo.rpc.protocol.dubbo.DubboInvokerAvilableTest.java.DubboInvokerAvilableTest.IDemoService,IDemoService,0.185726039,0,1,0,0,0,1,0,12,3,1,0,1,1,1,1,0,1
com.alibaba.dubbo.rpc.protocol.dubbo.Type.java.DubboCodec.java.DubboCodec,DubboCodec,0.136637872,3,7,2,0,3,19,0.2,10,163,0.833333333,5,13,0,5,8,0,22
com.alibaba.dubbo.rpc.protocol.dubbo.status.Type.java.ServerStatusChecker.java.ServerStatusChecker,ServerStatusChecker,0.136637872,1,1,1,0,0,1,0,19,34,0.5,2,1,0,1,3,0,5
com.alibaba.dubbo.rpc.protocol.dubbo.Type.java.LazyConnectExchangeClient.java.LazyConnectExchangeClient,LazyConnectExchangeClient,0.053550727,0,1,0,0,1,0,1,25,185,0.916666667,0,32,0,23,23,0.721052632,37
com.alibaba.dubbo.rpc.protocol.dubbo.Type.java.FutureAdapter.java.FutureAdapter,FutureAdapter,0.049088167,0,1,0,0,1,4,1,13,55,0.857142857,0,7,0,6,6,0.4,6
com.alibaba.dubbo.rpc.protocol.dubbo.FutureFilterTest.java.FutureFilterTest,FutureFilterTest,0,2,1,2,0,1,0,1,16,49,0.75,0,5,0,3,3,1,3
