FullQualifiedName,name,Maintainability,CBO,CYC_Classes,DAC,DIT,ILCOM,LCOM,LD,LEN,LOC,LOD_Class,MPC,NAM,NOC,NOM,RFC,TCC,WMC
com.alibaba.dubbo.rpc.protocol.thrift.$__ClassNameTestDubboStub.java.$__ClassNameTestDubboStub.ClassNameTestThrift.java.ClassNameTestThrift.$__DemoStub.java.$__DemoStub.echoByte_args.echoByte_result.echoI16_args.echoI16_result.echoI32_args.echoI32_result.echoI64_args.echoI64_result.echoDouble_args.echoDouble_result.echoString_args.echoString_result.Demo.java.Demo.echoByte_args.echoByte_result.echoI16_args.echoI16_result.echoI32_args.echoI32_result.echoI64_args.echoI64_result.echoDouble_args.echoDouble_result.echoString_args.echoString_result.DemoImpl.java.DemoImpl,DemoImpl,0.185726039,0,1,0,0,0,49,0,8,41,0.875,0,7,2,7,7,0,7
com.alibaba.dubbo.rpc.gen.thrift.$__ClassNameTestDubboStub.java.$__ClassNameTestDubboStub.ClassNameTestThrift.java.ClassNameTestThrift.$__DemoStub.java.$__DemoStub.echoByte_args.echoByte_result.echoI16_args.echoI16_result.echoI32_args.echoI32_result.echoI64_args.echoI64_result.echoDouble_args.echoDouble_result.echoString_args.echoString_result.Demo.java.Demo.echoBool_args,echoBool_args,0.077313863,1,1,1,0,2,281,0.666666667,13,300,0.909090909,1,27,0,21,22,0.18128655,41
com.alibaba.dubbo.rpc.protocol.thrift.$__ClassNameTestDubboStub.java.$__ClassNameTestDubboStub.ClassNameTestThrift.java.ClassNameTestThrift.$__DemoStub.java.$__DemoStub.echoByte_args.echoByte_result.echoI16_args.echoI16_result.echoI32_args.echoI32_result.echoI64_args.echoI64_result.echoDouble_args.echoDouble_result.echoString_args.echoString_result.Demo.java.Demo.echoByte_args.echoByte_result.echoI16_args.echoI16_result.echoI32_args.echoI32_result.echoI64_args.echoI64_result.echoDouble_args.echoDouble_result.echoString_args.echoString_result.DubboClassNameGenerator.java.DubboClassNameGenerator,DubboClassNameGenerator,0.158411319,2,2,2,1,0,4,0,23,16,0.666666667,2,3,0,2,4,0,2
com.alibaba.dubbo.rpc.gen.thrift.$__ClassNameTestDubboStub.java.$__ClassNameTestDubboStub.ClassNameTestThrift.java.ClassNameTestThrift.$__DemoStub.java.$__DemoStub.echoByte_args.echoByte_result.echoI16_args.echoI16_result.echoI32_args.echoI32_result.echoI64_args.echoI64_result.echoDouble_args.echoDouble_result.echoString_args.echoString_result.Demo.java.Demo.Processor.echoString,echoString,0.185726039,3,1,3,0,0,4,0,10,15,1,3,2,0,2,3,0,2
com.alibaba.dubbo.rpc.protocol.thrift.$__ClassNameTestDubboStub.java.$__ClassNameTestDubboStub.ClassNameTestThrift.java.ClassNameTestThrift.$__DemoStub.java.$__DemoStub.echoByte_args.echoByte_result.echoI16_args.echoI16_result.echoI32_args.echoI32_result.echoI64_args.echoI64_result.echoDouble_args.echoDouble_result.echoString_args.echoString_result.Demo.java.Demo.echoByte_args.echoByte_result.echoI16_args.echoI16_result.echoI32_args.echoI32_result.echoI64_args.echoI64_result.echoDouble_args.echoDouble_result.echoString_args.echoString_result.ClassNameGenerator.java.ClassNameGenerator,ClassNameGenerator,0.148593686,1,2,1,0,0,4,0,18,11,0.666666667,0,2,2,2,2,0,2
com.alibaba.dubbo.rpc.gen.dubbo.$__ClassNameTestDubboStub.java.$__ClassNameTestDubboStub.ClassNameTestThrift.java.ClassNameTestThrift.$__DemoStub.java.$__DemoStub.echoByte_args.echoByte_result.echoI16_args.echoI16_result.echoI32_args.echoI32_result.echoI64_args,echoI64_args,0.077313863,1,1,1,0,2,281,0.666666667,12,300,0.909090909,1,27,0,21,22,0.18128655,41
com.alibaba.dubbo.rpc.gen.thrift.$__ClassNameTestDubboStub.java.$__ClassNameTestDubboStub.ClassNameTestThrift.java.ClassNameTestThrift.$__DemoStub.java.$__DemoStub.echoByte_args.echoByte_result.echoI16_args.echoI16_result.echoI32_args.echoI32_result.echoI64_args.echoI64_result.echoDouble_args.echoDouble_result.echoString_args.echoString_result.Demo.java.Demo.Processor.echoDouble,echoDouble,0.185726039,3,1,3,0,0,4,0,10,16,1,4,2,0,2,4,0,2
com.alibaba.dubbo.rpc.protocol.thrift.$__ClassNameTestDubboStub.java.$__ClassNameTestDubboStub.ClassNameTestThrift.java.ClassNameTestThrift.$__DemoStub.java.$__DemoStub.echoByte_args.echoByte_result.echoI16_args.echoI16_result.echoI32_args.echoI32_result.echoI64_args.echoI64_result.echoDouble_args.echoDouble_result.echoString_args.echoString_result.Demo.java.Demo.echoByte_args.echoByte_result.echoI16_args.echoI16_result.echoI32_args.echoI32_result.echoI64_args.echoI64_result.echoDouble_args.echoDouble_result.echoString_args.echoString_result.ThriftConstants.java.ThriftConstants,ThriftConstants,0.136637872,0,1,0,0,0,0,0,15,13,0,0,4,0,0,0,0,0
com.alibaba.dubbo.rpc.gen.thrift.$__ClassNameTestDubboStub.java.$__ClassNameTestDubboStub.ClassNameTestThrift.java.ClassNameTestThrift.$__DemoStub.java.$__DemoStub.echoByte_args.echoByte_result.echoI16_args.echoI16_result.echoI32_args.echoI32_result.echoI64_args.echoI64_result.echoDouble_args.echoDouble_result.echoString_args.echoString_result.Demo.java.Demo.Processor.echoI64,echoI64,0.185726039,3,1,3,0,0,4,0,7,16,1,4,2,0,2,4,0,2
com.alibaba.dubbo.rpc.gen.thrift.$__ClassNameTestDubboStub.java.$__ClassNameTestDubboStub.ClassNameTestThrift.java.ClassNameTestThrift.$__DemoStub.java.$__DemoStub.echoByte_args.echoByte_result.echoI16_args.echoI16_result.echoI32_args.echoI32_result.echoI64_args.echoI64_result.echoDouble_args.echoDouble_result.echoString_args.echoString_result.Demo.java.Demo.Processor.echoI32,echoI32,0.185726039,3,1,3,0,0,4,0,7,16,1,4,2,0,2,4,0,2
