FullQualifiedName,name,Maintainability,CBO,CYC_Classes,DAC,DIT,ILCOM,LCOM,LD,LEN,LOC,LOD_Class,MPC,NAM,NOC,NOM,RFC,TCC,WMC
io.netty.buffer.PoolArena.java.PoolArena.HeapArena,HeapArena,0.254044975,5,52,5,0,0,36,0,9,40,1,1,6,0,6,7,0,7
io.netty.buffer.PoolArena.java.PooledByteBuf.java.PooledByteBuf,PooledByteBuf,0.185726039,9,52,7,3,2,106,0.692307692,13,146,1,10,23,0,14,21,0.095238095,24
io.netty.buffer.PoolArena.java.SimpleLeakAwareByteBuf.java.SimpleLeakAwareByteBuf,SimpleLeakAwareByteBuf,0.117407103,2,52,2,2,1,0,1,22,67,1,9,10,0,9,17,0.583333333,12
io.netty.buffer.PoolArena.java.PooledLittleEndianDirectByteBufTest.java.PooledLittleEndianDirectByteBufTest,PooledLittleEndianDirectByteBufTest,0.204956808,4,1,3,2,0,1,0,35,12,0.5,3,1,0,1,4,0,1
io.netty.buffer.PoolArena.java.BigEndianUnsafeDirectByteBufTest.java.BigEndianUnsafeDirectByteBufTest,BigEndianUnsafeDirectByteBufTest,0.185726039,4,1,4,2,0,4,0,32,12,1,1,2,0,2,2,0,2
io.netty.buffer.PoolArena.java.BigEndianHeapByteBufTest.java.BigEndianHeapByteBufTest,BigEndianHeapByteBufTest,0.068318936,5,1,5,1,1,8,0.5,24,29,0.8,4,5,0,4,6,0,4
io.netty.buffer.PoolArena.java.AbstractByteBufTest.java.AbstractByteBufTest.TestByteProcessor,TestByteProcessor,0.185726039,0,1,0,0,0,1,0,17,6,1,0,1,0,1,1,0,1
io.netty.buffer.PoolArena.java.AbstractCompositeByteBufTest.java.AbstractCompositeByteBufTest,AbstractCompositeByteBufTest,0.049088167,11,1,7,1,1,1891,0.428571429,28,907,0.965517241,297,60,2,57,138,0.235294118,64
io.netty.buffer.PoolArena.java.AbstractByteBufTest.java.AbstractByteBufTest.TestScatteringByteChannel,TestScatteringByteChannel,0.185726039,0,1,0,0,0,25,0,25,26,1,0,5,0,5,5,0,5
io.netty.buffer.PoolArena.java.AbstractByteBufTest.java.AbstractByteBufTest.DevNullGatheringByteChannel,DevNullGatheringByteChannel,0.185726039,0,1,0,0,0,25,0,27,26,1,0,5,0,5,5,0,5
io.netty.buffer.PoolArena.java.BigEndianDirectByteBufTest.java.BigEndianDirectByteBufTest,BigEndianDirectByteBufTest,0.068318936,4,1,4,1,1,1,0.5,26,24,0.75,3,4,1,3,5,0,3
io.netty.buffer.PoolArena.java.AbstractByteBufTest.java.AbstractByteBufTest.TestGatheringByteChannel,TestGatheringByteChannel,0.049088167,0,1,0,0,1,0,1,24,54,1,0,9,0,6,6,0.466666667,9
io.netty.buffer.PoolArena.java.ConsolidationTest.java.ConsolidationTest,ConsolidationTest,0.136637872,2,1,1,0,0,4,0,17,42,0.666666667,12,2,0,2,6,0,2
io.netty.buffer.PoolArena.java.WrappedByteBuf.java.WrappedByteBuf,WrappedByteBuf,0.117407103,2,52,2,1,1,0,1,14,810,1,143,148,3,147,290,1,147
io.netty.buffer.PoolArena.java.LittleEndianHeapByteBufTest.java.LittleEndianHeapByteBufTest,LittleEndianHeapByteBufTest,0.068318936,3,1,3,1,1,0,1,27,19,0.666666667,3,3,0,2,5,0,2
io.netty.buffer.PoolArena.java.SlicedByteBuf.java.SlicedByteBuf,SlicedByteBuf,0.117407103,6,52,5,3,1,0,0.5,13,279,0.976190476,61,44,1,41,85,0.809195402,47
io.netty.buffer.PoolArena.java.AbstractByteBufTest.java.AbstractByteBufTest,AbstractByteBufTest,0.431166872,6,1,5,0,1,27922,0.833333333,19,2607,0.99086758,560,223,8,218,352,0.21845968,339
io.netty.buffer.PoolArena.java.CompositeByteBuf.java.CompositeByteBuf.CompositeByteBufIterator,CompositeByteBufIterator,0.117407103,3,52,1,0,1,1,0.5,24,29,1,0,5,0,3,3,0.333333333,5
io.netty.buffer.PoolArena.java.EmptyByteBufTest.java.EmptyByteBufTest,EmptyByteBufTest,0.185726039,2,1,2,0,0,25,0,16,49,1,17,5,0,5,17,0,6
io.netty.buffer.PoolArena.java.PooledBigEndianDirectByteBufTest.java.PooledBigEndianDirectByteBufTest,PooledBigEndianDirectByteBufTest,0.136637872,4,1,3,2,0,1,0,32,12,0.5,2,1,0,1,3,0,1
io.netty.buffer.PoolArena.java.PoolArena,PoolArena,0.185726039,11,52,10,1,4,1789,0.575,9,661,1,9,70,0,45,54,0.069264069,86
io.netty.buffer.PoolArena.java.SwappedByteBuf.java.SwappedByteBuf,SwappedByteBuf,0.117407103,3,52,3,1,1,0,1,14,838,0.993243243,146,149,1,147,274,0.723231758,153
io.netty.buffer.FixedCompositeByteBuf.java.FixedCompositeByteBuf.Component,Component,0.254044975,1,52,1,0,0,0,0,9,13,1,1,4,0,0,0,0,0
io.netty.buffer.PoolArena.java.ReadOnlyByteBufTest.java.ReadOnlyByteBufTest,ReadOnlyByteBufTest,0.185726039,3,1,2,0,0,400,0,19,155,0.952380952,64,20,0,20,57,0,20
io.netty.buffer.PoolArena.java.CompositeByteBuf.java.CompositeByteBuf.Component,Component,0.185726039,1,52,1,0,1,0,1,9,16,1,1,5,0,1,1,0,1
io.netty.buffer.PoolArena.java.AbstractPooledByteBufTest.java.AbstractPooledByteBufTest,AbstractPooledByteBufTest,0.117407103,4,1,4,1,1,17,1,25,51,1,11,6,4,5,14,0,6
