FullQualifiedName,name,Maintainability,CBO,CYC_Classes,DAC,DIT,ILCOM,LCOM,LD,LEN,LOC,LOD_Class,MPC,NAM,NOC,NOM,RFC,TCC,WMC
io.netty.handler.codec.dns.DnsSection.java.DnsResponseCode.java.DnsResponseCode,DnsResponseCode,0.136637872,0,1,0,0,3,30,0.15,15,197,0.285714286,0,26,0,6,6,0,9
io.netty.handler.codec.dns.DnsRecord.java.DnsRecord,DnsRecord,0.150475342,1,1,1,0,1,14,0,9,65,0,0,10,3,4,4,0,4
io.netty.handler.codec.dns.DnsSection.java.DefaultDnsRecordDecoder.java.DefaultDnsRecordDecoder,DefaultDnsRecordDecoder,0.204956808,8,6,8,1,0,16,0,23,102,0.4,4,4,0,4,5,0,11
io.netty.handler.codec.dns.DnsSection.java.DnsQuery.java.DnsQuery,DnsQuery,0.185726039,4,4,4,1,0,169,0,8,43,0.928571429,0,13,1,13,13,0,13
io.netty.handler.codec.dns.DnsSection.java.DnsQuestion.java.DnsQuestion,DnsQuestion,0.136637872,1,1,1,1,0,1,0,11,10,0,0,1,1,1,1,0,1
io.netty.handler.codec.dns.AbstractDnsRecord.java.AbstractDnsRecord,AbstractDnsRecord,0.117407103,3,1,3,1,4,29,1,17,118,0.875,7,12,2,7,13,0.095238095,11
io.netty.handler.codec.dns.DnsSection.java.DnsRawRecord.java.DnsRawRecord,DnsRawRecord,0.185726039,1,1,1,1,0,36,0,12,22,0.857142857,0,6,1,6,6,0,6
io.netty.handler.codec.dns.DnsMessage.java.DnsMessage,DnsMessage,0.150475342,6,4,6,0,0,529,0,10,137,0.166666667,0,23,3,23,23,0,23
io.netty.handler.codec.dns.DatagramDnsResponseDecoder.java.DatagramDnsResponseDecoder,DatagramDnsResponseDecoder,0.113864893,6,6,6,0,1,8,0.2,26,82,0.8,11,5,0,4,13,0,8
io.netty.handler.codec.dns.DnsRecordDecoder.java.DnsRecordDecoder,DnsRecordDecoder,0.159410851,4,6,4,0,0,4,0,16,23,0,1,3,1,2,2,0,2
io.netty.handler.codec.dns.DnsSection.java.DnsResponseTest.java.DnsResponseTest,DnsResponseTest,0.117407103,5,1,4,0,2,0,0.285714286,15,73,1,4,5,0,2,4,0,3
io.netty.handler.codec.dns.DnsSection.java.DatagramDnsResponse.java.DatagramDnsResponse,DatagramDnsResponse,0.212041227,7,1,6,3,2,480,1,19,202,0.956521739,20,24,0,22,41,0,33
io.netty.handler.codec.dns.DefaultDnsRawRecord.java.DefaultDnsRawRecord,DefaultDnsRawRecord,0.117407103,5,1,5,2,1,119,0.5,19,121,0.916666667,15,12,0,11,17,0,12
io.netty.handler.codec.dns.DnsRecordType.java.DnsRecordType,DnsRecordType,0.078271402,0,1,0,0,3,36,1,13,380,0.666666667,0,53,0,8,8,0.142857143,11
io.netty.handler.codec.dns.DnsSection.java.DatagramDnsQueryEncoder.java.DatagramDnsQueryEncoder,DatagramDnsQueryEncoder,0.113864893,7,6,5,0,1,17,0.333333333,23,91,0.5,9,6,0,5,12,0,8
io.netty.handler.codec.dns.DnsOpCode.java.DnsOpCode,DnsOpCode,0,0,1,0,0,2,0,0.375,9,99,0.714285714,0,14,0,6,6,0.666666667,10
io.netty.handler.codec.dns.DefaultDnsResponse.java.DefaultDnsResponse,DefaultDnsResponse,0.179315782,7,1,7,2,4,452,1,18,156,0.956521739,15,26,1,22,36,0.017316017,22
io.netty.handler.codec.dns.DnsSection.java.DnsResponse.java.DnsResponse,DnsResponse,0.136637872,5,4,5,1,0,441,0,11,96,0.590909091,0,21,1,21,21,0,21
io.netty.handler.codec.dns.DnsSection.java.DnsQueryTest.java.DnsQueryTest,DnsQueryTest,0.208499017,7,1,6,0,0,1,0,12,38,1,5,1,0,1,3,0,2
io.netty.handler.codec.dns.DefaultDnsRecordEncoder.java.DefaultDnsRecordEncoder,DefaultDnsRecordEncoder,0.159410851,6,6,5,1,0,16,0,23,57,0.8,9,4,0,4,9,0,8
io.netty.handler.codec.dns.DnsSection.java.DnsRecordEncoder.java.DnsRecordEncoder,DnsRecordEncoder,0.159410851,4,6,4,0,0,4,0,16,23,0,1,3,1,2,2,0,2
io.netty.handler.codec.dns.DefaultDnsQuestion.java.DefaultDnsQuestion,DefaultDnsQuestion,0.136637872,5,1,4,2,0,1,0,18,51,0.5,7,1,0,1,6,0,1
io.netty.handler.codec.dns.DnsSection.java.DnsRecordTypeTest.java.DnsRecordTypeTest,DnsRecordTypeTest,0.136637872,1,1,1,0,0,25,0,17,56,0.5,6,5,0,5,10,0,12
io.netty.handler.codec.dns.DnsSection.java.DefaultDnsQuery.java.DefaultDnsQuery,DefaultDnsQuery,0.185726039,6,1,6,2,0,196,0,15,94,0.933333333,16,14,1,14,28,0,14
io.netty.handler.codec.dns.AbstractDnsMessage.java.AbstractDnsMessage,AbstractDnsMessage,0.290312629,6,1,6,1,8,1623,0.923076923,18,441,0.976190476,1,53,2,41,42,0.016666667,79
io.netty.handler.codec.dns.DatagramDnsQuery.java.DatagramDnsQuery,DatagramDnsQuery,0.150132547,6,1,5,3,2,320,1,16,168,0.947368421,16,20,0,18,33,0,29
io.netty.handler.codec.dns.DnsMessageUtil.java.DnsMessageUtil,DnsMessageUtil,0.185726039,5,1,5,0,0,64,0,14,159,0.888888889,13,8,0,8,17,0,23
