FullQualifiedName,name,Maintainability,CBO,CYC_Classes,DAC,DIT,ILCOM,LCOM,LD,LEN,LOC,LOD_Class,MPC,NAM,NOC,NOM,RFC,TCC,WMC
io.netty.handler.codec.http.websocketx.HttpObjectDecoder.java.HttpStatusClass.java.HttpContentEncoder.java.HttpClientUpgradeHandler.java.HttpPostBodyUtil.java.HttpPostRequestEncoder.java.HttpPostRequestDecoder.java.InterfaceHttpData.java.WebSocketVersion.java.WebSocketServerProtocolHandler.java.WebSocket08FrameDecoder.java.WebSocketClientProtocolHandler.java.WebSocketClientProtocolHandler,WebSocketClientProtocolHandler,0,10,2,10,1,2,0,1,30,167,0.5,3,5,0,3,4,1,6
io.netty.handler.codec.http.websocketx.extensions.compression.HttpObjectDecoder.java.HttpStatusClass.java.HttpContentEncoder.java.HttpClientUpgradeHandler.java.HttpPostBodyUtil.java.HttpPostRequestEncoder.java.HttpPostRequestDecoder.java.InterfaceHttpData.java.WebSocketVersion.java.WebSocketServerProtocolHandler.java.WebSocket08FrameDecoder.java.WebSocketClientProtocolHandler.java.SpdyHeaderBlockRawDecoder.java.SpdyVersion.java.SpdyOrHttpChooser.java.SpdyFrameDecoder.java.PerMessageDeflateClientExtensionHandshakerTest.java.PerMessageDeflateClientExtensionHandshakerTest,PerMessageDeflateClientExtensionHandshakerTest,0.254044975,7,1,5,0,0,16,0,46,93,1,20,4,0,4,11,0,4
io.netty.handler.codec.spdy.HttpObjectDecoder.java.HttpStatusClass.java.HttpContentEncoder.java.HttpClientUpgradeHandler.java.HttpPostBodyUtil.java.HttpPostRequestEncoder.java.HttpPostRequestDecoder.java.InterfaceHttpData.java.WebSocketVersion.java.WebSocketServerProtocolHandler.java.WebSocket08FrameDecoder.java.WebSocketClientProtocolHandler.java.SpdyHeaderBlockRawDecoder.java.SpdyStreamStatus.java.SpdyStreamStatus,SpdyStreamStatus,0.068318936,0,1,0,0,3,43,0.153846154,16,170,0.5,0,20,0,7,7,0,10
io.netty.handler.codec.http.HttpObjectDecoder.java.HttpStatusClass.java.HttpContentEncoder.java.DefaultFullHttpRequest.java.DefaultFullHttpRequest,DefaultFullHttpRequest,0.152831482,8,23,7,5,4,227,1,22,170,0.9,18,23,0,19,30,0.183006536,20
io.netty.handler.codec.http.websocketx.extensions.HttpObjectDecoder.java.HttpStatusClass.java.HttpContentEncoder.java.HttpClientUpgradeHandler.java.HttpPostBodyUtil.java.HttpPostRequestEncoder.java.HttpPostRequestDecoder.java.InterfaceHttpData.java.WebSocketVersion.java.WebSocketServerProtocolHandler.java.WebSocket08FrameDecoder.java.WebSocketClientProtocolHandler.java.SpdyHeaderBlockRawDecoder.java.SpdyVersion.java.SpdyOrHttpChooser.java.SpdyFrameDecoder.java.WebSocketExtensionTestUtil.java.WebSocketExtensionTestUtil.Dummy2Decoder,Dummy2Decoder,0.185726039,2,1,2,1,0,1,0,13,7,1,0,1,0,1,1,0,1
io.netty.handler.codec.http.websocketx.extensions.HttpObjectDecoder.java.HttpStatusClass.java.HttpContentEncoder.java.HttpClientUpgradeHandler.java.HttpPostBodyUtil.java.HttpPostRequestEncoder.java.HttpPostRequestDecoder.java.InterfaceHttpData.java.WebSocketVersion.java.WebSocketServerProtocolHandler.java.WebSocket08FrameDecoder.java.WebSocketClientProtocolHandler.java.SpdyHeaderBlockRawDecoder.java.SpdyVersion.java.SpdyOrHttpChooser.java.SpdyFrameDecoder.java.WebSocketExtensionTestUtil.java.WebSocketExtensionTestUtil.Dummy2Encoder,Dummy2Encoder,0.185726039,2,1,2,1,0,1,0,13,7,1,0,1,0,1,1,0,1
io.netty.handler.codec.http.websocketx.extensions.HttpObjectDecoder.java.HttpStatusClass.java.HttpContentEncoder.java.HttpClientUpgradeHandler.java.HttpPostBodyUtil.java.HttpPostRequestEncoder.java.HttpPostRequestDecoder.java.InterfaceHttpData.java.WebSocketVersion.java.WebSocketServerProtocolHandler.java.WebSocket08FrameDecoder.java.WebSocketClientProtocolHandler.java.SpdyHeaderBlockRawDecoder.java.SpdyVersion.java.SpdyOrHttpChooser.java.SpdyFrameDecoder.java.WebSocketExtensionTestUtil.java.WebSocketExtensionTestUtil.DummyDecoder,DummyDecoder,0.185726039,2,1,2,1,0,1,0,12,7,1,0,1,0,1,1,0,1
io.netty.handler.codec.http.websocketx.extensions.HttpObjectDecoder.java.HttpStatusClass.java.HttpContentEncoder.java.HttpClientUpgradeHandler.java.HttpPostBodyUtil.java.HttpPostRequestEncoder.java.HttpPostRequestDecoder.java.InterfaceHttpData.java.WebSocketVersion.java.WebSocketServerProtocolHandler.java.WebSocket08FrameDecoder.java.WebSocketClientProtocolHandler.java.SpdyHeaderBlockRawDecoder.java.SpdyVersion.java.SpdyOrHttpChooser.java.SpdyFrameDecoder.java.WebSocketExtensionTestUtil.java.WebSocketExtensionTestUtil.DummyEncoder,DummyEncoder,0.185726039,2,1,2,1,0,1,0,12,7,1,0,1,0,1,1,0,1
io.netty.handler.codec.http.websocketx.extensions.HttpObjectDecoder.java.HttpStatusClass.java.HttpContentEncoder.java.HttpClientUpgradeHandler.java.HttpPostBodyUtil.java.HttpPostRequestEncoder.java.HttpPostRequestDecoder.java.InterfaceHttpData.java.WebSocketVersion.java.WebSocketServerProtocolHandler.java.WebSocket08FrameDecoder.java.WebSocketClientProtocolHandler.java.SpdyHeaderBlockRawDecoder.java.SpdyVersion.java.SpdyOrHttpChooser.java.SpdyFrameDecoder.java.WebSocketExtensionTestUtil.java.WebSocketExtensionTestUtil.WebSocketExtensionDataMatcher,WebSocketExtensionDataMatcher,0.049088167,1,1,1,0,1,0,1,29,19,1,1,3,0,2,3,1,2
io.netty.handler.codec.http.websocketx.HttpObjectDecoder.java.HttpStatusClass.java.HttpContentEncoder.java.HttpClientUpgradeHandler.java.HttpPostBodyUtil.java.HttpPostRequestEncoder.java.HttpPostRequestDecoder.java.InterfaceHttpData.java.WebSocketVersion.java.WebSocketServerProtocolHandler.java.WebSocket08FrameDecoder.java.WebSocketClientHandshaker08.java.WebSocketClientHandshaker08,WebSocketClientHandshaker08,0.068318936,19,1,17,1,3,4,0.3,27,203,0.4,18,10,0,4,15,0,14
