FullQualifiedName,name,Maintainability,CBO,CYC_Classes,DAC,DIT,ILCOM,LCOM,LD,LEN,LOC,LOD_Class,MPC,NAM,NOC,NOM,RFC,TCC,WMC
io.netty.handler.codec.http2.Http2Headers.java.Http2Error.java.Http2Stream.java.Http2FrameLogger.java.DefaultHttp2ConnectionEncoder.java.DefaultHttp2ConnectionEncoder.FlowControlledBase,FlowControlledBase,0.068318936,5,4,3,1,1,2,0.75,18,39,0.666666667,2,7,2,2,4,0,4
io.netty.handler.codec.http2.Http2Headers.java.Http2Error.java.Http2Stream.java.Http2FrameLogger.java.Http2OrHttpChooser.java.HttpUtil.java.DefaultHttp2FrameReader.java.Http2TestUtil.java.Http2TestUtil.FrameAdapter,FrameAdapter,0.117407103,5,1,5,0,2,21,1,12,170,1,7,9,1,5,11,0,9
io.netty.handler.codec.http2.Http2Headers.java.Http2Error.java.Http2Stream.java.Http2FrameLogger.java.Http2OrHttpChooser.java.HttpUtil.java.DefaultHttp2FrameReader.java.Http2FrameRoundtripTest.java.Http2FrameRoundtripTest,Http2FrameRoundtripTest,0.049088167,9,1,9,0,1,11,1,23,337,0.95,35,27,0,19,40,0.705128205,21
io.netty.handler.codec.http2.Http2Headers.java.Http2Error.java.Http2Stream.java.Http2FrameLogger.java.DefaultHttp2ConnectionEncoder.java.DefaultHttp2ConnectionEncoder.FlowControlledHeaders,FlowControlledHeaders,0.068318936,6,4,3,2,1,7,0.9,21,39,0.75,5,7,0,3,7,0,3
io.netty.handler.codec.http2.Http2Headers.java.Http2Error.java.Http2Stream.java.Http2FrameLogger.java.Http2OrHttpChooser.java.HttpUtil.java.DefaultHttp2FrameReader.java.Http2TestUtil.java.Http2TestUtil.Http2Runnable,Http2Runnable,0.178150281,1,1,1,0,0,1,0,13,6,0.5,0,1,40,1,1,0,1
io.netty.handler.codec.http2.Http2Headers.java.Http2Error.java.Http2Stream.java.Http2FrameLogger.java.Http2OrHttpChooser.java.HttpUtil.java.DefaultHttp2FrameReader.java.Http2TestUtil.java.Http2TestUtil,Http2TestUtil,0.136637872,1,1,1,0,0,25,0,13,362,0,0,5,0,5,5,0,5
io.netty.handler.codec.http2.Http2Headers.java.Http2Error.java.DefaultHttp2Headers.java.DefaultHttp2Headers.Http2AsciiToLowerCaseConverter,Http2AsciiToLowerCaseConverter,0.049088167,0,1,0,0,1,0,1,30,19,1,0,4,0,2,2,1,2
io.netty.handler.codec.http2.Http2Headers.java.Http2Error.java.DefaultHttp2Headers.java.DefaultHttp2Headers,DefaultHttp2Headers,0.239453357,2,1,2,1,0,1936,0,19,333,1,10,46,0,44,45,0,44
io.netty.handler.codec.http2.Http2Headers.java.Http2Error.java.Http2Stream.java.Http2FrameLogger.java.DefaultHttp2ConnectionDecoder.java.DefaultHttp2ConnectionDecoder.PrefaceFrameListener,PrefaceFrameListener,0.185726039,9,8,7,1,0,196,0,20,102,0.933333333,16,14,0,14,29,0,16
io.netty.handler.codec.http2.Http2Headers.java.Http2Error.java.Http2Stream.java.Http2FrameLogger.java.DefaultHttp2ConnectionEncoder.java.DefaultHttp2ConnectionEncoder.FlowControlledData,FlowControlledData,0,8,4,2,2,1,0,0.875,18,78,0.75,9,5,0,3,10,1,7
