FullQualifiedName,name,Maintainability,CBO,CYC_Classes,DAC,DIT,ILCOM,LCOM,LD,LEN,LOC,LOD_Class,MPC,NAM,NOC,NOM,RFC,TCC,WMC
io.netty.handler.codec.memcache.binary.FullBinaryMemcacheResponse.java.FullBinaryMemcacheResponse,FullBinaryMemcacheResponse,0.185726039,2,1,2,4,0,36,0,26,23,0.857142857,0,6,1,6,6,0,6
io.netty.handler.codec.memcache.binary.AbstractBinaryMemcacheDecoder.java.DefaultFullBinaryMemcacheRequest.java.DefaultFullBinaryMemcacheRequest,DefaultFullBinaryMemcacheRequest,0.117696029,3,1,2,5,1,0,1,32,103,0.909090909,11,11,0,10,18,0.622222222,12
io.netty.handler.codec.memcache.binary.AbstractBinaryMemcacheEncoder.java.AbstractBinaryMemcacheEncoder,AbstractBinaryMemcacheEncoder,0.068318936,2,1,2,0,1,14,1,29,62,0.2,2,5,0,4,6,0,6
io.netty.handler.codec.memcache.binary.AbstractBinaryMemcacheDecoder.java.BinaryMemcacheObjectAggregatorTest.java.BinaryMemcacheObjectAggregatorTest,BinaryMemcacheObjectAggregatorTest,0.087838632,4,1,3,0,1,0,0.666666667,34,49,0.5,4,4,0,1,3,0,1
io.netty.handler.codec.memcache.AbstractMemcacheObjectEncoder.java.AbstractMemcacheObjectEncoder,AbstractMemcacheObjectEncoder,0.068318936,4,1,4,0,1,23,1,29,89,0.333333333,0,6,0,5,5,0,15
io.netty.handler.codec.memcache.binary.AbstractBinaryMemcacheDecoder.java.BinaryMemcacheServerCodec.java.BinaryMemcacheServerCodec,BinaryMemcacheServerCodec,0.136637872,3,1,3,0,0,0,0,25,18,0,1,0,0,0,0,0,0
io.netty.handler.codec.memcache.binary.BinaryMemcacheResponse.java.BinaryMemcacheResponse,BinaryMemcacheResponse,0.14639772,1,4,1,3,0,36,0,22,31,0.571428571,0,6,2,6,6,0,6
io.netty.handler.codec.memcache.binary.AbstractBinaryMemcacheDecoder.java.BinaryMemcacheRequestEncoder.java.BinaryMemcacheRequestEncoder,BinaryMemcacheRequestEncoder,0.136637872,3,1,2,0,0,1,0,28,20,0.5,9,1,1,1,10,0,1
io.netty.handler.codec.memcache.binary.AbstractBinaryMemcacheDecoder.java.AbstractBinaryMemcacheDecoder,AbstractBinaryMemcacheDecoder,0.075331531,9,1,9,1,1,15,0.4,29,235,0.125,10,12,0,7,12,0,20
io.netty.handler.codec.memcache.AbstractMemcacheObjectAggregator.java.AbstractMemcacheObjectAggregator,AbstractMemcacheObjectAggregator,0.205245735,8,2,8,0,0,36,0,32,57,0.857142857,0,6,0,6,6,0,6
