FullQualifiedName,name,Maintainability,CBO,CYC_Classes,DAC,DIT,ILCOM,LCOM,LD,LEN,LOC,LOD_Class,MPC,NAM,NOC,NOM,RFC,TCC,WMC
io.netty.handler.codec.mqtt.MqttDecoder.java.MqttUnsubAckMessage.java.MqttUnsubAckMessage,MqttUnsubAckMessage,0.142773893,3,1,3,1,0,1,0,19,14,0.5,2,1,0,1,2,0,1
io.netty.handler.codec.mqtt.MqttDecoder.java.MqttVersion.java.MqttConnectReturnCode.java.MqttQoS.java.MqttMessageType.java.MqttUnsubscribeMessage.java.MqttUnsubscribeMessage,MqttUnsubscribeMessage,0.142773893,4,2,4,1,0,4,0,22,23,0.666666667,3,2,0,2,4,0,2
io.netty.handler.codec.mqtt.MqttDecoder.java.MqttVersion.java.MqttConnectReturnCode.java.MqttConnectMessage.java.MqttConnectMessage,MqttConnectMessage,0.15131376,4,3,4,1,0,4,0,18,22,0.666666667,3,2,0,2,4,0,2
io.netty.handler.codec.mqtt.MqttDecoder.java.MqttVersion.java.MqttConnectReturnCode.java.MqttQoS.java.MqttMessageType.java.MqttEncoder.java.MqttEncoder,MqttEncoder,0.223617681,23,1,17,0,1,223,0.066666667,11,360,0.875,72,17,0,15,61,0,39
io.netty.handler.codec.mqtt.MqttDecoder.java.MqttSubAckPayload.java.MqttSubAckPayload,MqttSubAckPayload,0,1,2,1,0,1,0,1,17,46,0.666666667,0,3,0,2,2,1,2
io.netty.handler.codec.mqtt.MqttDecoder.java.MqttVersion.java.MqttConnectReturnCode.java.MqttPublishVariableHeader.java.MqttPublishVariableHeader,MqttPublishVariableHeader,0,1,2,1,0,1,0,1,25,31,0.75,0,5,0,3,3,0.666666667,3
io.netty.handler.codec.mqtt.MqttDecoder.java.MqttIdentifierRejectedException.java.MqttIdentifierRejectedException,MqttIdentifierRejectedException,0.136637872,0,1,0,0,0,0,0,31,34,0,0,1,0,0,0,0,0
io.netty.handler.codec.mqtt.MqttDecoder.java.MqttVersion.java.MqttConnectReturnCode.java.MqttQoS.java.MqttMessageType.java.MqttMessageFactory.java.MqttMessageFactory,MqttMessageFactory,0.136637872,19,1,18,0,0,4,0,18,68,0.666666667,12,2,0,2,3,0,3
io.netty.handler.codec.mqtt.MqttDecoder.java.MqttVersion.java.MqttConnectReturnCode.java.MqttConnectPayload.java.MqttConnectPayload,MqttConnectPayload,0.057628034,1,3,1,0,1,4,1,18,57,0.857142857,0,11,0,6,6,0.333333333,6
io.netty.handler.codec.mqtt.MqttDecoder.java.MqttFixedHeader.java.MqttFixedHeader,MqttFixedHeader,0.049088167,2,1,2,0,1,4,1,15,58,0.857142857,0,11,0,6,6,0.333333333,6
io.netty.handler.codec.mqtt.MqttDecoder.java.MqttVersion.java.MqttConnectReturnCode.java.MqttConnAckVariableHeader.java.MqttConnAckVariableHeader,MqttConnAckVariableHeader,0.008539867,2,3,2,0,1,0,1,25,24,0.666666667,0,3,0,2,2,1,2
io.netty.handler.codec.mqtt.MqttDecoder.java.MqttSubscribeMessage.java.MqttSubscribeMessage,MqttSubscribeMessage,0.15131376,4,3,4,1,0,4,0,20,23,0.666666667,3,2,0,2,4,0,2
