FullQualifiedName,name,Maintainability,CBO,CYC_Classes,DAC,DIT,ILCOM,LCOM,LD,LEN,LOC,LOD_Class,MPC,NAM,NOC,NOM,RFC,TCC,WMC
io.netty.handler.codec.socksx.v4.SocksVersion.java.Socks4ClientDecoder.java.Socks4CommandType.java.Socks4CommandType,Socks4CommandType,0.054542407,1,2,1,0,2,0,0.6,17,67,0.857142857,0,11,0,6,6,0.666666667,9
io.netty.handler.codec.socksx.v5.SocksVersion.java.Socks4ClientDecoder.java.Socks4ServerDecoder.java.Socks5InitialResponseDecoder.java.Socks5PasswordAuthResponseDecoder.java.Socks5InitialRequestDecoder.java.Socks5PasswordAuthRequestDecoder.java.Socks5PasswordAuthRequestDecoder,Socks5PasswordAuthRequestDecoder,0.136637872,4,1,4,0,0,4,0,32,69,0.666666667,2,2,0,2,2,0,6
io.netty.handler.codec.socksx.v4.SocksVersion.java.Socks4ClientDecoder.java.Socks4ServerDecoder.java.Socks5InitialResponseDecoder.java.Socks5PasswordAuthResponseDecoder.java.Socks5InitialRequestDecoder.java.Socks5PasswordAuthRequestDecoder.java.Socks5CommandResponseDecoder.java.Socks5CommandRequestDecoder.java.Socks4ServerDecoderTest.java.Socks4ServerDecoderTest,Socks4ServerDecoderTest,0.117407103,5,1,5,0,1,2,0.333333333,23,37,1,7,3,0,2,7,0,6
io.netty.handler.codec.socksx.v5.SocksVersion.java.Socks4ClientDecoder.java.Socks4ServerDecoder.java.DefaultSocks5PasswordAuthRequest.java.DefaultSocks5PasswordAuthRequest,DefaultSocks5PasswordAuthRequest,0.079227417,3,1,2,3,2,5,1,32,55,0.75,1,5,0,3,4,0,4
io.netty.handler.codec.socksx.v5.SocksVersion.java.Socks4ClientDecoder.java.Socks4ServerDecoder.java.DefaultSocks5CommandRequest.java.DefaultSocks5CommandRequest,DefaultSocks5CommandRequest,0.094409403,5,1,4,3,4,17,1,27,93,0.833333333,1,9,0,5,6,0,6
io.netty.handler.codec.socksx.v4.SocksVersion.java.Socks4ClientDecoder.java.Socks4ServerDecoder.java.DefaultSocks4CommandRequest.java.DefaultSocks4CommandRequest,DefaultSocks4CommandRequest,0.094409403,4,1,3,3,4,17,1,27,94,0.833333333,1,9,0,5,6,0,6
io.netty.handler.codec.socksx.v5.SocksVersion.java.Socks4ClientDecoder.java.Socks4ServerDecoder.java.Socks5InitialResponseDecoder.java.Socks5PasswordAuthResponseDecoder.java.Socks5InitialRequestDecoder.java.Socks5InitialRequest.java.Socks5InitialRequest,Socks5InitialRequest,0.136637872,2,1,2,2,0,1,0,20,10,0,0,1,1,1,1,0,1
io.netty.handler.codec.socksx.v4.SocksVersion.java.Socks4ClientDecoder.java.Socks4ServerDecoder.java.Socks4Message.java.Socks4Message,Socks4Message,0.136637872,1,1,1,1,0,0,0,13,6,0,0,0,3,0,0,0,0
io.netty.handler.codec.socksx.v4.SocksVersion.java.Socks4ClientDecoder.java.Socks4ClientEncoder.java.Socks4ClientEncoder,Socks4ClientEncoder,0.068318936,4,1,1,0,1,0,1,19,33,0.5,7,3,0,1,8,0,2
io.netty.handler.codec.socksx.v5.SocksVersion.java.Socks4ClientDecoder.java.Socks4ServerDecoder.java.Socks5InitialResponseDecoder.java.Socks5PasswordAuthResponseDecoder.java.Socks5InitialRequestDecoder.java.Socks5PasswordAuthRequestDecoder.java.Socks5CommandResponseDecoder.java.Socks5ServerEncoder.java.Socks5ServerEncoder,Socks5ServerEncoder,0.088955162,11,3,6,0,1,17,1,19,70,0.666666667,15,7,0,5,18,0,8
