FullQualifiedName,name,Maintainability,CBO,CYC_Classes,DAC,DIT,ILCOM,LCOM,LD,LEN,LOC,LOD_Class,MPC,NAM,NOC,NOM,RFC,TCC,WMC
io.netty.handler.codec.stomp.DefaultStompHeaders.java.DefaultStompHeaders,DefaultStompHeaders,0.26214178,1,1,1,1,0,1156,0,19,206,1,0,34,0,34,34,0,34
io.netty.handler.codec.stomp.StompSubframeDecoder.java.StompCommand.java.StompTestConstants.java.StompTestConstants,StompTestConstants,0.185726039,0,1,0,0,0,0,0,18,30,1,0,4,0,0,0,0,0
io.netty.handler.codec.stomp.StompSubframeDecoder.java.StompSubframeEncoder.java.StompSubframeEncoder,StompSubframeEncoder,0.136637872,6,1,6,0,0,9,0,20,50,0.75,2,3,0,3,5,0,7
io.netty.handler.codec.stomp.LastStompContentSubframe.java.LastStompContentSubframe,LastStompContentSubframe,0.224036748,1,10,1,2,0,36,0,24,89,0.857142857,0,7,3,6,6,0,6
io.netty.handler.codec.stomp.StompSubframeDecoder.java.StompCommand.java.StompSubframeAggregator.java.StompSubframeAggregator,StompSubframeAggregator,0.219885507,8,10,8,0,0,64,0,23,63,0.888888889,6,8,0,8,11,0,8
io.netty.handler.codec.stomp.StompSubframeDecoder.java.StompContentSubframe.java.StompContentSubframe,StompContentSubframe,0.219885507,5,10,5,1,0,36,0,20,26,0.857142857,0,6,2,6,6,0,6
io.netty.handler.codec.stomp.StompSubframeDecoder.java.StompCommand.java.StompHeaders.java.StompHeaders,StompHeaders,0.271959413,0,1,0,0,0,1156,0,12,128,0.971428571,0,53,1,34,34,0,34
io.netty.handler.codec.stomp.StompSubframeDecoder.java.StompCommand.java.StompSubframeAggregatorTest.java.StompSubframeAggregatorTest,StompSubframeAggregatorTest,0.124238996,6,1,5,0,1,0,0.125,27,86,1,9,8,0,7,8,0.476190476,7
io.netty.handler.codec.stomp.StompSubframeDecoder.java.DefaultLastStompContentSubframe.java.DefaultLastStompContentSubframe,DefaultLastStompContentSubframe,0.233549294,2,10,2,3,0,49,0,31,50,0.875,8,7,0,7,13,0,7
io.netty.handler.codec.stomp.DefaultStompFrame.java.DefaultStompFrame,DefaultStompFrame,0.097974085,3,10,3,4,1,0,1,17,82,0.916666667,1,12,0,11,11,1,11
io.netty.handler.codec.stomp.StompSubframeDecoder.java.StompHeadersSubframe.java.StompHeadersSubframe,StompHeadersSubframe,0.17079734,4,10,4,1,0,4,0,20,17,0,0,2,2,2,2,0,2
io.netty.handler.codec.stomp.StompSubframeDecoder.java.StompCommand.java.DefaultStompContentSubframe.java.DefaultStompContentSubframe,DefaultStompContentSubframe,0.158398464,1,10,1,2,2,133,1,27,85,0.928571429,0,15,1,13,13,0.076923077,13
io.netty.handler.codec.stomp.StompSubframeDecoder.java.StompConstants.java.StompConstants,StompConstants,0.185726039,0,1,0,0,0,0,0,14,9,1,0,4,0,0,0,0,0
io.netty.handler.codec.stomp.StompFrame.java.StompFrame,StompFrame,0.219885507,2,10,2,3,0,36,0,10,23,0.857142857,0,6,1,6,6,0,6
io.netty.handler.codec.stomp.StompSubframeDecoder.java.StompSubframe.java.StompSubframe,StompSubframe,0.136637872,0,1,0,0,0,0,0,13,4,0,0,0,2,0,0,0,0
io.netty.handler.codec.stomp.StompSubframeDecoder.java.StompSubframeDecoder,StompSubframeDecoder,0.198529412,10,10,10,0,1,40,0.3125,20,238,0.888888889,6,15,0,8,10,0,33
io.netty.handler.codec.stomp.StompSubframeDecoder.java.StompCommand.java.StompSubframeDecoderTest.java.StompSubframeDecoderTest,StompSubframeDecoderTest,0.117407103,6,1,6,0,1,0,0.111111111,24,131,1,7,8,0,7,8,0.714285714,7
io.netty.handler.codec.stomp.StompSubframeDecoder.java.StompCommand.java.StompSubframeEncoderTest.java.StompSubframeEncoderTest,StompSubframeEncoderTest,0.049088167,7,1,7,0,1,0,0.166666667,24,35,1,3,4,0,3,5,1,3
io.netty.handler.codec.stomp.DefaultStompHeadersSubframe.java.DefaultStompHeadersSubframe,DefaultStompHeadersSubframe,0.040991362,4,10,4,2,2,3,1,27,44,0.833333333,0,8,1,5,5,0.3,5
