FullQualifiedName,name,Maintainability,CBO,CYC_Classes,DAC,DIT,ILCOM,LCOM,LD,LEN,LOC,LOD_Class,MPC,NAM,NOC,NOM,RFC,TCC,WMC
io.netty.handler.codec.xml.XmlDecoderTest.java.XmlDecoderTest,XmlDecoderTest,0.061325929,14,1,10,0,1,0,1,14,271,0.428571429,39,11,0,6,27,1,6
io.netty.handler.codec.xml.XmlContent.java.XmlContent,XmlContent,0.018221084,0,1,0,0,1,0,1,10,39,0.8,0,5,4,4,4,1,7
io.netty.handler.codec.xml.XmlCharacters.java.XmlCharacters,XmlCharacters,0.141100433,1,1,1,1,0,0,0,13,10,0,1,0,0,0,0,0,0
io.netty.handler.codec.xml.XmlDocumentStart.java.XmlDocumentStart,XmlDocumentStart,0.015135934,0,1,0,0,1,0,1,16,73,0.375,0,11,0,7,7,0.714285714,13
io.netty.handler.codec.xml.XmlElementEnd.java.XmlElementEnd,XmlElementEnd,0.153522057,1,4,1,1,0,1,0,13,17,0.5,2,1,0,1,2,0,1
io.netty.handler.codec.xml.XmlProcessingInstruction.java.XmlProcessingInstruction,XmlProcessingInstruction,0.016884185,0,1,0,0,1,0,1,24,50,0.833333333,0,7,0,5,5,0.9,9
io.netty.handler.codec.xml.XmlDocumentEnd.java.XmlDocumentEnd,XmlDocumentEnd,0.136637872,0,1,0,0,0,0,0,14,11,0,0,1,0,0,0,0,0
io.netty.handler.codec.xml.XmlDecoder.java.XmlDecoder,XmlDecoder,0.111794622,14,1,13,0,1,0,0.8,10,87,0.5,15,5,0,1,3,0,6
io.netty.handler.codec.xml.XmlNamespace.java.XmlNamespace,XmlNamespace,0.010673373,0,1,0,0,1,0,1,12,50,0.833333333,0,7,0,5,5,0.9,9
io.netty.handler.codec.xml.XmlDTD.java.XmlDTD,XmlDTD,0.010673373,0,1,0,0,1,0,1,6,40,0.8,0,5,0,4,4,1,7
io.netty.handler.codec.xml.XmlCdata.java.XmlCdata,XmlCdata,0.141100433,1,1,1,1,0,0,0,8,10,0,1,0,0,0,0,0,0
io.netty.handler.codec.xml.XmlSpace.java.XmlSpace,XmlSpace,0.141100433,1,1,1,1,0,0,0,8,10,0,1,0,0,0,0,0,0
io.netty.handler.codec.xml.XmlComment.java.XmlComment,XmlComment,0.141100433,1,1,1,1,0,0,0,10,10,0,1,0,0,0,0,0,0
io.netty.handler.codec.xml.XmlElement.java.XmlElement,XmlElement,0.070434913,3,4,3,0,1,0,1,10,67,0.875,0,11,2,7,7,0.714285714,13
io.netty.handler.codec.xml.XmlElementStart.java.XmlElementStart,XmlElementStart,0.021346746,2,4,2,1,1,0,1,15,44,0.8,4,5,0,4,7,1,8
io.netty.handler.codec.xml.XmlEntityReference.java.XmlEntityReference,XmlEntityReference,0.010673373,0,1,0,0,1,0,1,18,49,0.833333333,0,7,0,5,5,0.9,9
io.netty.handler.codec.xml.XmlAttribute.java.XmlAttribute,XmlAttribute,0.074897473,1,4,1,0,1,0,1,12,76,0.888888889,0,13,0,8,8,0.642857143,15
