FullQualifiedName,name,Maintainability,CBO,CYC_Classes,DAC,DIT,ILCOM,LCOM,LD,LEN,LOC,LOD_Class,MPC,NAM,NOC,NOM,RFC,TCC,WMC
io.netty.handler.codec.compression.AsciiHeadersEncoder.java.AsciiHeadersEncoder.Base64Dialect.java.FastLzFrameDecoder.java.Snappy.java.JdkZlibDecoder.java.Bzip2Encoder.java.Lz4FrameDecoder.java.ZlibWrapper.java.SnappyFrameDecoder.java.LzfDecoder.java.Bzip2BlockDecompressor.java.Bzip2BlockDecompressor,Bzip2BlockDecompressor,0,7,8,6,0,1,0,0.88,22,323,0.142857143,11,29,0,6,13,1,25
io.netty.handler.codec.string.AsciiHeadersEncoder.java.AsciiHeadersEncoder.Base64Dialect.java.FastLzFrameDecoder.java.Snappy.java.JdkZlibDecoder.java.Bzip2Encoder.java.Lz4FrameDecoder.java.ZlibWrapper.java.SnappyFrameDecoder.java.LzfDecoder.java.Bzip2Decoder.java.StringDecoder.java.StringDecoder,StringDecoder,0.068318936,5,2,5,0,1,0,1,13,52,0.5,0,2,0,1,1,0,1
io.netty.handler.codec.AsciiHeadersEncoder.java.AsciiHeadersEncoder.MessageToMessageDecoder.java.MessageToMessageDecoder,MessageToMessageDecoder,0.068318936,1,1,1,0,1,7,1,23,91,0.25,1,4,0,3,3,0,5
io.netty.handler.codec.xml.AsciiHeadersEncoder.java.AsciiHeadersEncoder.Base64Dialect.java.FastLzFrameDecoder.java.Snappy.java.JdkZlibDecoder.java.Bzip2Encoder.java.Lz4FrameDecoder.java.ZlibWrapper.java.SnappyFrameDecoder.java.LzfDecoder.java.Bzip2Decoder.java.DefaultTextHeadersTest.java.XmlFrameDecoderTest.java.XmlFrameDecoderTest,XmlFrameDecoderTest,0.117407103,3,1,3,0,1,223,1,19,142,1,6,16,0,15,15,0,20
io.netty.handler.codec.string.AsciiHeadersEncoder.java.AsciiHeadersEncoder.Base64Dialect.java.FastLzFrameDecoder.java.Snappy.java.JdkZlibDecoder.java.Bzip2Encoder.java.Lz4FrameDecoder.java.ZlibWrapper.java.SnappyFrameDecoder.java.LzfDecoder.java.Bzip2Decoder.java.StringEncoder.java.StringEncoder,StringEncoder,0.068318936,3,2,3,0,1,0,1,13,53,0.5,0,2,0,1,1,0,2
io.netty.handler.codec.compression.AsciiHeadersEncoder.java.AsciiHeadersEncoder.Base64Dialect.java.FastLzFrameDecoder.java.Snappy.java.JdkZlibDecoder.java.Bzip2Encoder.java.Lz4FrameDecoder.java.Bzip2DivSufSort.java.Bzip2DivSufSort.PartitionResult,PartitionResult,0.185726039,0,1,0,0,0,0,0,15,9,1,0,2,0,0,0,0,0
io.netty.handler.codec.string.AsciiHeadersEncoder.java.AsciiHeadersEncoder.Base64Dialect.java.FastLzFrameDecoder.java.Snappy.java.JdkZlibDecoder.java.Bzip2Encoder.java.Lz4FrameDecoder.java.ZlibWrapper.java.SnappyFrameDecoder.java.LzfDecoder.java.Bzip2Decoder.java.DefaultTextHeadersTest.java.StringEncoderTest.java.StringEncoderTest,StringEncoderTest,0.185726039,1,1,1,0,0,1,0,17,16,1,1,1,0,1,1,0,1
io.netty.handler.codec.AsciiHeadersEncoder.java.AsciiHeadersEncoder.DecoderResult.java.DecoderResult,DecoderResult,0.049088167,0,1,0,0,1,4,1,13,62,1,0,11,0,6,6,0.4,10
io.netty.handler.codec.compression.AsciiHeadersEncoder.java.AsciiHeadersEncoder.Base64Dialect.java.FastLzFrameDecoder.java.Snappy.java.JdkZlibDecoder.java.Bzip2HuffmanStageDecoder.java.Bzip2HuffmanStageDecoder,Bzip2HuffmanStageDecoder,0.068318936,4,8,3,0,1,0,0.846153846,24,182,0,3,20,0,2,3,0,14
io.netty.handler.codec.serialization.AsciiHeadersEncoder.java.AsciiHeadersEncoder.Base64Dialect.java.FastLzFrameDecoder.java.Snappy.java.JdkZlibDecoder.java.Bzip2Encoder.java.Lz4FrameDecoder.java.ZlibWrapper.java.SnappyFrameDecoder.java.LzfDecoder.java.Bzip2Decoder.java.DefaultTextHeadersTest.java.CompactObjectSerializationTest.java.CompactObjectSerializationTest,CompactObjectSerializationTest,0.185726039,3,1,3,0,0,1,0,30,12,1,3,1,0,1,2,0,1
