FullQualifiedName,name,Maintainability,CBO,CYC_Classes,DAC,DIT,ILCOM,LCOM,LD,LEN,LOC,LOD_Class,MPC,NAM,NOC,NOM,RFC,TCC,WMC
io.netty.util.internal.chmv8.ResourceLeakDetector.java.ForkJoinTask.java.ForkJoinTask.AdaptedRunnable,AdaptedRunnable,0.068318936,1,107,1,0,2,6,1,15,20,0.8,0,7,0,4,4,0.166666667,4
io.netty.util.internal.chmv8.ResourceLeakDetector.java.ConcurrentHashMapV8.java.ConcurrentHashMapV8.MapReduceKeysTask,MapReduceKeysTask,0.117407103,5,107,5,0,1,0,0.5,17,52,1,0,7,0,2,2,1,9
io.netty.util.collection.ResourceLeakDetector.java.PrimitiveCollections.java.PrimitiveCollections.UnmodifiableIntObjectMap.IteratorImpl,IteratorImpl,0.136637872,1,1,1,0,0,9,0,12,28,0.75,0,3,0,3,3,0,4
io.netty.util.concurrent.ResourceLeakDetector.java.PromiseAggregator.java.PromiseAggregator,PromiseAggregator,0,3,1,3,0,1,0,1,17,91,0.333333333,0,5,0,2,2,1,13
io.netty.util.internal.chmv8.ResourceLeakDetector.java.ForkJoinPool.java.ForkJoinPool.Submitter,Submitter,0.136637872,0,1,0,0,0,0,0,9,19,0,0,1,0,0,0,0,0
io.netty.util.internal.logging.ResourceLeakDetector.java.InternalLogLevel.java.Log4JLogger.java.Log4JLogger,Log4JLogger,0.068318936,3,107,3,2,1,0,1,11,553,0.03125,46,35,0,31,36,1,47
io.netty.util.internal.chmv8.ResourceLeakDetector.java.ConcurrentHashMapV8.java.ConcurrentHashMapV8,ConcurrentHashMapV8,0.384946753,60,107,60,0,5,1178,0.76744186,19,6158,0.08045977,4,124,0,86,90,0.491071429,386
io.netty.util.internal.ResourceLeakDetector.java.ThreadLocalRandom.java.ThreadLocalRandom,ThreadLocalRandom,0.136637872,5,107,5,0,2,99,1.375,17,335,0.333333333,8,32,0,11,17,0.027777778,31
io.netty.util.collection.ResourceLeakDetector.java.PrimitiveCollections.java.PrimitiveCollections.UnmodifiableIntObjectMap,UnmodifiableIntObjectMap,0.185726039,1,1,1,0,0,196,0,24,138,0.933333333,0,14,0,14,14,0,14
io.netty.util.ResourceLeakDetector.java.DomainNameMapping.java.DomainNameMapping,DomainNameMapping,0,2,1,2,0,2,16,1,17,118,0.428571429,1,9,0,6,7,1,15
io.netty.util.internal.ResourceLeakDetector.java.ObjectUtil.java.ObjectUtil,ObjectUtil,0.136637872,0,1,0,0,0,1,0,10,19,0,0,1,0,1,1,0,2
io.netty.util.internal.ResourceLeakDetector.java.MpscArrayQueue.java.MpscArrayQueueConsumerField,MpscArrayQueueConsumerField,0.185726039,2,107,2,0,2,0,0.666666667,27,24,1,0,4,0,2,2,0,2
io.netty.util.internal.chmv8.ResourceLeakDetector.java.ConcurrentHashMapV8.java.ConcurrentHashMapV8.ReduceEntriesTask,ReduceEntriesTask,0.117407103,4,107,4,0,1,0,0.5,17,44,1,0,6,0,2,2,1,8
io.netty.util.internal.ResourceLeakDetector.java.MpscArrayQueue.java.MpscArrayQueueL2Pad,MpscArrayQueueL2Pad,0.254044975,1,107,1,0,0,0,0,19,8,1,0,15,0,0,0,0,0
io.netty.util.internal.ResourceLeakDetector.java.MathUtil.java.MathUtil,MathUtil,0.136637872,0,1,0,0,0,1,0,8,22,0,0,1,0,1,1,0,1
io.netty.util.collection.ResourceLeakDetector.java.PrimitiveCollections.java.PrimitiveCollections.EmptyIntObjectMap,EmptyIntObjectMap,0.185726039,1,1,1,0,0,169,0,17,70,0.928571429,0,13,0,13,13,0,13
io.netty.util.internal.ResourceLeakDetector.java.MpscArrayQueue.java.MpscArrayQueueHeadCacheField,MpscArrayQueueHeadCacheField,0.185726039,1,107,1,0,1,0,1,28,15,1,0,3,0,2,2,0,2
io.netty.util.internal.ResourceLeakDetector.java.MpscArrayQueue.java.MpscArrayQueueMidPad,MpscArrayQueueMidPad,0.254044975,1,107,1,0,0,0,0,20,8,1,0,15,0,0,0,0,0
io.netty.util.collection.ResourceLeakDetector.java.PrimitiveCollections.java.PrimitiveCollections,PrimitiveCollections,0.136637872,2,1,2,0,0,4,0,20,235,0,0,2,0,2,2,0,2
io.netty.util.internal.ResourceLeakDetector.java.MpscArrayQueue.java.MpscArrayQueueTailField,MpscArrayQueueTailField,0.185726039,2,107,2,0,2,0,0.666666667,23,25,1,0,4,0,2,2,0,2
io.netty.util.ResourceLeakDetector.java.ResourceLeak.java.ResourceLeak,ResourceLeak,0.136637872,1,3,1,0,0,9,0,12,20,0.25,0,3,1,3,3,0,3
io.netty.util.internal.ResourceLeakDetector.java.EmptyArrays.java.EmptyArrays,EmptyArrays,0.185726039,0,1,0,0,0,0,0,11,22,1,0,16,0,0,0,0,0
io.netty.util.internal.ResourceLeakDetector.java.InternalLogLevel.java.StringUtilTest.java.StringUtilTest,StringUtilTest,0.185726039,3,1,3,0,0,1681,0,14,279,1,12,41,0,41,48,0,43
io.netty.util.internal.ResourceLeakDetector.java.MpscArrayQueue.java.MpscArrayQueueL1Pad,MpscArrayQueueL1Pad,0.254044975,1,107,1,0,0,0,0,19,8,1,0,15,0,0,0,0,0
io.netty.util.ResourceLeakDetector.java.TimerTask.java.TimerTask,TimerTask,0.136637872,2,3,2,0,0,1,0,9,14,0,0,1,8,1,1,0,1
