FullQualifiedName,name,Maintainability,CBO,CYC_Classes,DAC,DIT,ILCOM,LCOM,LD,LEN,LOC,LOD_Class,MPC,NAM,NOC,NOM,RFC,TCC,WMC
io.netty.example.proxy.HexDumpProxy.java.HexDumpProxy,HexDumpProxy,0.117407103,1,1,1,0,1,0,1,12,26,1,1,4,0,1,1,0,1
io.netty.example.worldclock.SpdyFrameLogger.java.StompClientHandler.java.WorldClockProtocol.java.WorldClockProtocol.WorldClockClientInitializer.java.WorldClockClientInitializer,WorldClockClientInitializer,0.122662405,4,3,4,0,1,0,0.333333333,27,24,1,2,2,0,1,2,0,2
io.netty.example.worldclock.SpdyFrameLogger.java.StompClientHandler.java.WorldClockProtocol.java.WorldClockProtocol.Location.Builder,Builder,0.003776013,4,2,4,1,1,302,0.333333333,7,249,0.56,10,27,0,24,31,0.295238095,40
io.netty.example.udt.echo.message.SpdyFrameLogger.java.StompClientHandler.java.MsgEchoClientHandler.java.MsgEchoClientHandler,MsgEchoClientHandler,0.068318936,1,1,1,0,1,14,1,20,40,0.8,0,5,0,4,4,0,4
io.netty.example.http.websocketx.server.WebSocketServerHandler.java.WebSocketServerHandler,WebSocketServerHandler,0.117407103,2,3,2,0,2,39,2,22,118,0.875,1,9,0,7,8,0,20
io.netty.example.proxy.HexDumpProxyBackendHandler.java.HexDumpProxyBackendHandler,HexDumpProxyBackendHandler,0.049088167,1,2,1,0,1,8,1,26,39,1,2,5,0,4,5,0.166666667,4
io.netty.example.http.file.HttpStaticFileServerHandler.java.HttpStaticFileServerHandler,HttpStaticFileServerHandler,0.073574239,0,1,0,0,3,78,0.666666667,27,333,0.545454545,0,15,0,10,10,0,28
io.netty.example.http2.tiles.HttpServer.java.HttpServer,HttpServer,0.068318936,0,1,0,0,1,0,0.5,10,35,0.5,0,4,0,1,1,0,1
io.netty.example.worldclock.SpdyFrameLogger.java.StompClientHandler.java.WorldClockProtocol.java.WorldClockProtocol.WorldClockServerInitializer.java.WorldClockServerInitializer,WorldClockServerInitializer,0.122662405,3,1,3,0,1,0,1,27,24,1,1,2,0,1,2,0,2
io.netty.example.udt.echo.message.SpdyFrameLogger.java.StompClientHandler.java.MsgEchoServerHandler.java.MsgEchoServerHandler,MsgEchoServerHandler,0.136637872,0,1,0,0,0,16,0,20,27,0.8,0,4,0,4,4,0,4
io.netty.example.socksproxy.SocksServerConnectHandler.java.SocksServerConnectHandler,SocksServerConnectHandler,0.117407103,2,1,2,0,1,2,1,25,115,1,2,3,0,2,3,0,4
io.netty.example.udt.echo.bytes.SpdyFrameLogger.java.StompClientHandler.java.ByteEchoServerHandler.java.ByteEchoServerHandler,ByteEchoServerHandler,0.136637872,0,1,0,0,0,16,0,21,27,0.8,0,4,0,4,4,0,4
io.netty.example.http2.tiles.Http2OrHttpHandler.java.Http2OrHttpHandler,Http2OrHttpHandler,0.136637872,2,2,2,0,0,16,0,18,47,0.8,0,4,0,4,4,0,5
io.netty.example.http.file.HttpStaticFileServerInitializer.java.HttpStaticFileServerInitializer,HttpStaticFileServerInitializer,0.122662405,1,1,1,0,1,0,1,31,20,1,0,2,0,1,1,0,2
io.netty.example.udt.echo.bytes.SpdyFrameLogger.java.StompClientHandler.java.ByteEchoClient.java.ByteEchoClient,ByteEchoClient,0.068318936,0,1,0,0,1,0,1,14,43,0.5,0,4,0,1,1,0,1
