FullQualifiedName,name,Maintainability,CBO,CYC_Classes,DAC,DIT,ILCOM,LCOM,LD,LEN,LOC,LOD_Class,MPC,NAM,NOC,NOM,RFC,TCC,WMC
io.netty.handler.proxy.HttpProxyHandler.java.HttpProxyHandler,HttpProxyHandler,0.134343434,2,1,2,1,6,47,0.875,16,123,1,4,16,0,9,10,0,17
io.netty.handler.proxy.TestMode.java.ProxyHandlerTest.java.ProxyHandlerTest.TimeoutTestItem,TimeoutTestItem,0.20266237,5,18,4,1,0,1,0,15,45,1,3,1,0,1,3,0,3
io.netty.handler.proxy.Socks4ProxyServer.java.Socks4ProxyServer.Socks4TerminalHandler,Socks4TerminalHandler,0.20266237,3,18,1,1,0,1,0,21,30,1,1,1,0,1,2,0,4
io.netty.handler.proxy.Socks4ProxyServer.java.Socks4ProxyServer.Socks4IntermediaryHandler,Socks4IntermediaryHandler,0.13889803,2,18,1,1,1,0,1,25,29,1,1,3,0,2,3,0,3
io.netty.handler.proxy.TestMode.java.HttpProxyServer.java.HttpProxyServer,HttpProxyServer,0.134343434,5,18,5,1,0,4,0.428571429,15,124,1,2,2,0,2,2,0,6
io.netty.handler.proxy.TestMode.java.ProxyHandlerTest.java.ProxyHandlerTest.FailureTestItem,FailureTestItem,0.193553179,4,18,3,1,1,0,0.166666667,15,41,1,2,2,0,1,2,0,1
io.netty.handler.proxy.TestMode.java.ProxyServer.java.ProxyServer.TerminalHandler,TerminalHandler,0.133838384,1,18,0,0,1,14,1,15,40,1,1,5,3,4,5,0,9
io.netty.handler.proxy.Socks4ProxyServer.java.Socks4ProxyServer,Socks4ProxyServer,0.134343434,5,18,5,1,0,4,0.333333333,17,107,1,2,2,0,2,2,0,5
io.netty.handler.proxy.TestMode.java.ProxyServer.java.ProxyServer.IntermediaryHandler.BackendHandler,BackendHandler,0.062751954,1,18,0,0,1,0,1,14,29,1,1,5,0,4,5,0.5,4
io.netty.handler.proxy.TestMode.java.ProxyHandlerTest.java.ProxyHandlerTest.SuccessTestItem,SuccessTestItem,0.20266237,4,18,3,1,1,0,0.142857143,15,53,1,2,2,0,1,2,0,3
io.netty.handler.proxy.Socks5ProxyServer.java.Socks5ProxyServer.Socks5TerminalHandler,Socks5TerminalHandler,0.193553179,3,18,1,1,1,0,0.25,21,38,1,1,2,0,1,2,0,4
io.netty.handler.proxy.TestMode.java.ProxyServer.java.ProxyServer.IntermediaryHandler,IntermediaryHandler,0.133838384,2,18,1,0,1,50,1,19,112,1,2,11,3,8,9,0,15
io.netty.handler.proxy.TestMode.java.ProxyHandlerTest.java.ProxyHandlerTest,ProxyHandlerTest,0.079688286,12,18,12,0,2,0,0.892857143,16,577,1,30,33,0,5,10,0.6,9
io.netty.handler.proxy.TestMode.java.ProxyHandlerTest.java.ProxyHandlerTest.TestItem,TestItem,0.133838384,2,18,1,0,2,5,0.666666667,8,51,1,2,6,3,3,4,0,11
io.netty.handler.proxy.Socks5ProxyServer.java.Socks5ProxyServer.Socks5IntermediaryHandler,Socks5IntermediaryHandler,0.13889803,2,18,1,1,1,0,0.5,25,32,1,1,4,0,2,3,0,3
io.netty.handler.proxy.ProxyHandler.java.ProxyHandler,ProxyHandler,0.084176608,3,2,3,0,2,736,1,12,409,0.515151515,4,46,3,32,32,0.110294118,58
io.netty.handler.proxy.Socks5ProxyHandler.java.Socks5ProxyHandler,Socks5ProxyHandler,0.120679647,2,1,2,1,4,51,0.888888889,18,162,1,7,19,0,11,13,0,23
io.netty.handler.proxy.Socks4ProxyHandler.java.Socks4ProxyHandler,Socks4ProxyHandler,0.052360711,2,1,2,1,3,30,0.833333333,18,86,1,3,13,0,8,9,0.333333333,10
io.netty.handler.proxy.TestMode.java.ProxyHandlerTest.java.ProxyHandlerTest.FailureTestHandler,FailureTestHandler,0.117407103,1,1,1,0,2,21,1,18,51,1,0,7,0,5,5,0,6
io.netty.handler.proxy.Socks5ProxyServer.java.Socks5ProxyServer,Socks5ProxyServer,0.134343434,5,18,5,1,1,0,0.555555556,17,131,1,2,4,0,2,2,0,6
io.netty.handler.proxy.ProxyConnectException.java.ProxyConnectException,ProxyConnectException,0.185726039,0,1,0,0,0,0,0,21,18,1,0,1,0,0,0,0,0
io.netty.handler.proxy.TestMode.java.ProxyServer.java.ProxyServer,ProxyServer,0.016431281,2,18,2,0,2,10,1,11,257,0.714285714,0,13,3,6,6,0.333333333,9
io.netty.handler.proxy.ProxyHandler.java.ProxyHandler.LazyChannelPromise,LazyChannelPromise,0.185726039,1,2,0,0,0,1,0,18,9,1,0,1,0,1,1,0,2
io.netty.handler.proxy.TestMode.java.ProxyHandlerTest.java.ProxyHandlerTest.SuccessTestHandler,SuccessTestHandler,0.117407103,1,1,1,0,3,10,1,18,39,1,0,7,0,4,4,0,7
io.netty.handler.proxy.TestMode.java.HttpProxyServer.java.HttpProxyServer.HttpTerminalHandler,HttpTerminalHandler,0.20266237,3,18,1,1,0,1,0,19,29,1,1,1,0,1,2,0,4
io.netty.handler.proxy.ProxyConnectionEvent.java.ProxyConnectionEvent,ProxyConnectionEvent,0,0,1,0,0,1,0,1,20,83,0.333333333,0,10,0,5,5,0.4,6
io.netty.handler.proxy.UnresponsiveHandler.java.UnresponsiveHandler,UnresponsiveHandler,0.185726039,0,1,0,0,0,1,0,19,12,1,0,2,0,1,1,0,1
io.netty.handler.proxy.TestMode.java.HttpProxyServer.java.HttpProxyServer.HttpIntermediaryHandler,HttpIntermediaryHandler,0.13889803,2,18,1,1,1,0,1,23,30,1,1,3,0,2,3,0,3
