FullQualifiedName,name,Maintainability,CBO,CYC_Classes,DAC,DIT,ILCOM,LCOM,LD,LEN,LOC,LOD_Class,MPC,NAM,NOC,NOM,RFC,TCC,WMC
io.netty.handler.ssl.IpFilterRuleType.java.LogLevel.java.ApplicationProtocolConfig.java.ApplicationProtocolConfig.SelectedListenerFailureBehavior.SslProvider.java.OpenSslEngine.java.OpenSslServerSessionContext.java.OpenSslServerSessionContext,OpenSslServerSessionContext,0.136637872,1,1,1,1,0,49,0,27,58,0.75,1,7,0,7,7,0,9
io.netty.handler.timeout.IpFilterRuleType.java.LogLevel.java.ApplicationProtocolConfig.java.ApplicationProtocolConfig.SelectedListenerFailureBehavior.SslProvider.java.OpenSslEngine.java.IdleState.java.WriteTimeoutException.java.WriteTimeoutException,WriteTimeoutException,0.136637872,2,10,2,1,0,0,0,21,12,0,0,2,0,0,0,0,0
io.netty.handler.logging.IpFilterRuleType.java.LogLevel.java.ApplicationProtocolConfig.java.ApplicationProtocolConfig.SelectedListenerFailureBehavior.SslProvider.java.OpenSslEngine.java.IdleState.java.LoggingHandlerTest.java.LoggingHandlerTest.RegexLogMatcher,RegexLogMatcher,0,0,1,0,0,1,0,1,15,32,0.666666667,0,4,0,2,2,1,3
io.netty.handler.ssl.IpFilterRuleType.java.LogLevel.java.ApplicationProtocolConfig.java.ApplicationProtocolConfig.SelectedListenerFailureBehavior.JdkBaseApplicationProtocolNegotiator.java.JdkBaseApplicationProtocolNegotiator.NoFailProtocolSelector,NoFailProtocolSelector,0.049088167,3,1,2,1,1,0,1,22,30,1,6,5,1,3,5,1,5
io.netty.handler.ssl.util.IpFilterRuleType.java.LogLevel.java.ApplicationProtocolConfig.java.ApplicationProtocolConfig.SelectedListenerFailureBehavior.SslProvider.java.OpenSslEngine.java.FingerprintTrustManagerFactory.java.FingerprintTrustManagerFactory,FingerprintTrustManagerFactory,0.068318936,1,1,1,1,2,12,1,30,171,0.8,0,11,0,4,4,0,10
io.netty.handler.timeout.IpFilterRuleType.java.LogLevel.java.ApplicationProtocolConfig.java.ApplicationProtocolConfig.SelectedListenerFailureBehavior.SslProvider.java.OpenSslEngine.java.IdleStateHandler.java.IdleStateHandler.AllIdleTimeoutTask,AllIdleTimeoutTask,0.185726039,2,10,1,0,1,0,0.1,18,42,1,1,2,0,1,2,0,5
io.netty.handler.traffic.IpFilterRuleType.java.LogLevel.java.ApplicationProtocolConfig.java.ApplicationProtocolConfig.SelectedListenerFailureBehavior.SslProvider.java.OpenSslEngine.java.IdleState.java.GlobalChannelTrafficShapingHandler.java.GlobalChannelTrafficShapingHandler.PerChannel,PerChannel,0.185726039,2,10,2,0,0,0,0,10,7,1,0,5,0,0,0,0,0
io.netty.handler.timeout.IpFilterRuleType.java.LogLevel.java.ApplicationProtocolConfig.java.ApplicationProtocolConfig.SelectedListenerFailureBehavior.SslProvider.java.OpenSslEngine.java.IdleStateHandler.java.IdleStateHandler.WriterIdleTimeoutTask,WriterIdleTimeoutTask,0.185726039,2,10,2,0,1,0,0.125,21,38,1,1,2,0,1,2,0,4
io.netty.handler.ssl.util.IpFilterRuleType.java.LogLevel.java.ApplicationProtocolConfig.java.ApplicationProtocolConfig.SelectedListenerFailureBehavior.SslProvider.java.OpenSslEngine.java.SimpleTrustManagerFactory.java.SimpleTrustManagerFactory.SimpleTrustManagerFactorySpi,SimpleTrustManagerFactorySpi,0.117407103,1,2,1,0,1,0,1,28,36,1,3,5,0,4,7,0,4
io.netty.handler.ssl.IpFilterRuleType.java.LogLevel.java.ApplicationProtocolConfig.java.ApplicationProtocolConfig.SelectedListenerFailureBehavior.SslProvider.java.OpenSslEngine.java.IdleState.java.SniHandlerTest.java.SniHandlerTest,SniHandlerTest,0.185726039,3,1,3,0,0,9,0,14,87,1,7,3,0,3,5,0,3
