FullQualifiedName,name,Maintainability,CBO,CYC_Classes,DAC,DIT,ILCOM,LCOM,LD,LEN,LOC,LOD_Class,MPC,NAM,NOC,NOM,RFC,TCC,WMC
io.netty.microbench.util.Http2FrameWriterBenchmark.java.Http2FrameWriterBenchmark.AbstractSharedExecutorMicrobenchmark.java.AbstractSharedExecutorMicrobenchmark,AbstractSharedExecutorMicrobenchmark,0.068318936,2,2,2,1,1,7,1,36,127,0.5,1,5,1,3,4,0,3
io.netty.microbench.http.HttpRequestDecoderBenchmark.java.HttpRequestDecoderBenchmark,HttpRequestDecoderBenchmark,0.074454957,1,1,1,2,2,0,0.666666667,27,82,0.75,0,6,0,3,3,0,7
io.netty.microbenchmark.common.Http2FrameWriterBenchmark.java.Http2FrameWriterBenchmark.IntObjectHashMapBenchmark.java.IntObjectHashMapBenchmark,IntObjectHashMapBenchmark,0.059494121,5,4,3,2,1,0,1,25,161,1,5,9,0,4,7,1,5
io.netty.microbench.http2.Http2FrameWriterBenchmark.java.Http2FrameWriterBenchmark.BenchmarkTestPayload,BenchmarkTestPayload,0.049088167,0,1,0,0,2,0,1,20,21,1,0,5,0,3,3,0.333333333,3
io.netty.microbench.http2.Http2FrameWriterBenchmark.java.Http2FrameWriterBenchmark.NoopHttp2LocalFlowController.java.NoopHttp2LocalFlowController,NoopHttp2LocalFlowController,0.185726039,0,1,0,0,0,64,0,28,44,1,0,9,0,8,8,0,8
io.netty.microbench.buffer.SwappedByteBufBenchmark.java.SwappedByteBufBenchmark,SwappedByteBufBenchmark,0.055224188,1,1,1,2,1,0,0.666666667,23,49,1,0,10,0,7,7,1,8
io.netty.microbench.concurrent.FastThreadLocalBenchmark.java.FastThreadLocalBenchmark,FastThreadLocalBenchmark,0.006136021,1,1,1,2,1,0,1,24,52,0.666666667,0,5,0,2,2,1,4
io.netty.microbench.util.Http2FrameWriterBenchmark.java.Http2FrameWriterBenchmark.AbstractMicrobenchmarkBase.java.AbstractMicrobenchmarkBase,AbstractMicrobenchmarkBase,0.179590018,0,1,0,0,0,49,0,26,73,0.875,0,10,2,7,7,0,11
io.netty.microbench.http2.Http2FrameWriterBenchmark.java.Http2FrameWriterBenchmark.EmbeddedEnvironment,EmbeddedEnvironment,0.049088167,2,1,2,1,2,9,1,19,34,1,1,8,0,5,6,0.2,5
io.netty.microbench.internal.Http2FrameWriterBenchmark.java.Http2FrameWriterBenchmark.PlatformDependentBenchmark.java.PlatformDependentBenchmark,PlatformDependentBenchmark,0.055224188,1,1,1,2,1,0,1,26,30,1,0,6,0,3,3,1,4
io.netty.microbench.http2.Http2FrameWriterBenchmark.java.Http2FrameWriterBenchmark.TransportEnvironment,TransportEnvironment,0.049088167,1,1,1,1,3,31,1,20,78,1,0,15,0,9,9,0.222222222,15
io.netty.microbench.http2.Http2FrameWriterBenchmark.java.Http2FrameWriterBenchmark,Http2FrameWriterBenchmark,0.139420934,12,2,12,2,1,49,0.285714286,25,486,1,35,20,0,9,30,1,14
io.netty.microbench.http2.Http2FrameWriterBenchmark.java.Http2FrameWriterBenchmark.OioEnvironmentParametersBase,OioEnvironmentParametersBase,0.19186206,1,1,1,2,0,1,0,28,10,1,1,1,0,1,1,0,1
io.netty.microbench.http2.Http2FrameWriterBenchmark.java.Http2FrameWriterBenchmark.EpollEnvironmentParametersBase,EpollEnvironmentParametersBase,0.19186206,1,1,1,2,0,1,0,30,11,1,1,1,0,1,1,0,1
