FullQualifiedName,name,Maintainability,CBO,CYC_Classes,DAC,DIT,ILCOM,LCOM,LD,LEN,LOC,LOD_Class,MPC,NAM,NOC,NOM,RFC,TCC,WMC
io.netty.resolver.dns.DnsCacheEntry.java.DnsNameResolver.java.DnsNameResolver,DnsNameResolver,0.187384783,5,5,5,0,9,1195,1,15,819,0.315789474,15,57,0,37,43,0.07,72
io.netty.resolver.dns.DnsCacheEntry.java.DnsServerAddressesTest.java.DnsServerAddressesTest,DnsServerAddressesTest,0.049088167,1,1,1,0,1,4,1,22,99,1,5,9,0,6,11,0.6,8
io.netty.resolver.dns.DnsCacheEntry.java.DnsNameResolverGroup.java.DnsNameResolverGroup,DnsNameResolverGroup,0.068318936,2,1,2,0,1,0,1,20,70,0.5,2,4,0,1,1,0,2
io.netty.resolver.dns.DnsCacheEntry.java.DnsServerAddresses.java.DnsServerAddresses,DnsServerAddresses,0.079705425,2,5,2,0,2,159,1,18,360,0.357142857,1,16,0,13,13,0,27
io.netty.resolver.dns.DnsCacheEntry.java.DnsNameResolver.java.DnsNameResolver.DnsResponseHandler,DnsResponseHandler,0.197112528,2,5,2,0,0,9,0,18,85,1,8,3,0,3,11,0,14
io.netty.resolver.dns.DnsCacheEntry.java.DnsServerAddresses.java.DnsServerAddresses.RotationalAddresses,RotationalAddresses,0.117407103,1,1,1,0,1,0,1,19,37,1,1,4,0,1,1,0,4
io.netty.resolver.dns.DnsCacheEntry.java.DnsNameResolverContext.java.DnsNameResolverContext,DnsNameResolverContext,0.139702074,1,5,1,0,1,102,0.933333333,22,457,0.941176471,3,30,0,16,17,0,74
io.netty.resolver.dns.DnsCacheEntry.java.DnsServerAddresses.java.DnsServerAddresses.ShuffledAddressIterator,ShuffledAddressIterator,0.117407103,0,1,0,0,1,8,1,23,46,1,0,6,0,4,4,0,6
io.netty.resolver.dns.DnsCacheEntry.java.DnsNameResolverTest.java.DnsNameResolverTest,DnsNameResolverTest,0.05667916,3,1,3,0,2,0,1,19,377,1,14,18,0,10,20,0.428571429,24
io.netty.resolver.dns.DnsCacheEntry.java.DnsServerAddresses.java.DnsServerAddresses.SequentialAddressIterator,SequentialAddressIterator,0.124998096,0,1,0,0,1,7,1,25,32,1,0,5,0,3,3,0,4
io.netty.resolver.dns.DnsCacheEntry.java.DnsCacheEntry,DnsCacheEntry,0.117407103,0,1,0,0,2,0,1,13,58,1,0,8,0,4,4,0,7
io.netty.resolver.dns.DnsCacheEntry.java.DnsQueryContext.java.DnsQueryContext,DnsQueryContext,0.128793592,1,5,1,0,1,0,0.8,15,180,1,6,22,0,10,13,0,23
