FullQualifiedName,name,Maintainability,CBO,CYC_Classes,DAC,DIT,ILCOM,LCOM,LD,LEN,LOC,LOD_Class,MPC,NAM,NOC,NOM,RFC,TCC,WMC
io.netty.test.udt.bench.BenchXfer.java.BenchXfer,BenchXfer,0.136637872,3,1,3,1,0,9,0,9,26,0,4,3,2,3,5,0,4
io.netty.channel.udt.nio.NioUdtByteConnectorChannel.java.NioUdtByteConnectorChannel,NioUdtByteConnectorChannel,0.193924311,4,15,4,1,2,252,1,26,152,0.941176471,1,19,1,16,16,0,19
io.netty.channel.udt.nio.NioUdtByteAcceptorChannel.java.NioUdtByteAcceptorChannel,NioUdtByteAcceptorChannel,0.152690251,3,15,3,3,0,1,0,25,14,0.5,2,1,0,1,1,0,1
io.netty.channel.udt.nio.NioUdtByteRendezvousChannel.java.NioUdtByteRendezvousChannel,NioUdtByteRendezvousChannel,0.144836144,2,15,2,2,0,0,0,27,10,0,1,0,0,0,0,0,0
io.netty.channel.udt.UdtServerChannelConfig.java.UdtServerChannelConfig,UdtServerChannelConfig,0.193924311,2,15,2,1,0,361,0,22,73,0.85,0,19,1,19,19,0,19
io.netty.test.udt.util.CaliperBench.java.CaliperBench,CaliperBench,0.136637872,1,1,1,0,1,7,1,12,77,0,2,7,1,5,7,0,7
io.netty.test.udt.nio.NioUdtProviderTest.java.NioUdtProviderTest,NioUdtProviderTest,0.153034417,9,1,9,1,0,1,0,18,43,0.5,0,1,0,1,1,0,1
io.netty.channel.udt.UdtMessage.java.UdtMessage,UdtMessage,0.193924311,1,15,1,0,0,36,0,10,45,0.857142857,0,6,0,6,6,0,6
io.netty.test.udt.util.CustomReporter.java.CustomReporter,CustomReporter,0.068318936,0,1,0,0,1,9,1,14,208,0.7,0,15,0,9,9,0.535714286,13
io.netty.channel.udt.UdtChannelOption.java.UdtChannelOption,UdtChannelOption,0.136637872,0,1,0,0,0,0,0,16,30,0,0,5,0,0,0,0,0
io.netty.test.udt.nio.NioUdtMessageAcceptorChannelTest.java.NioUdtMessageAcceptorChannelTest,NioUdtMessageAcceptorChannelTest,0.161232689,3,1,2,1,0,1,0,32,10,0.5,2,1,0,1,2,0,1
io.netty.channel.udt.UdtChannel.java.UdtChannel,UdtChannel,0.144836144,2,15,2,0,0,9,0,10,19,0.5,0,3,3,3,3,0,3
io.netty.test.udt.util.EchoMessageHandler.java.EchoMessageHandler,EchoMessageHandler,0.068318936,2,1,2,0,2,0,1,18,49,0.8,1,7,0,4,4,0.333333333,5
io.netty.test.udt.nio.NioUdtByteConnectorChannelTest.java.NioUdtByteConnectorChannelTest,NioUdtByteConnectorChannelTest,0.136637872,2,1,2,1,0,1,0,30,10,0.5,2,1,0,1,2,0,1
io.netty.test.udt.bench.xfer.UdtNative.java.UdtNative,UdtNative,0.138601399,5,1,3,2,2,39,1,9,234,0.75,13,12,0,7,17,0,7
io.netty.test.udt.nio.AbstractUdtTest.java.AbstractUdtTest,AbstractUdtTest,0.143279857,1,1,1,0,0,1,0,15,14,0,1,1,7,1,2,0,1
io.netty.channel.udt.nio.NioUdtAcceptorChannel.java.NioUdtAcceptorChannel,NioUdtAcceptorChannel,0.193924311,5,15,5,2,2,279,1,21,121,0.944444444,2,20,2,17,18,0,18
io.netty.test.udt.nio.NioUdtByteAcceptorChannelTest.java.NioUdtByteAcceptorChannelTest,NioUdtByteAcceptorChannelTest,0.136637872,3,1,2,1,0,1,0,29,10,0.5,2,1,0,1,2,0,1
io.netty.test.udt.util.TrafficControl.java.TrafficControl,TrafficControl,0.136637872,1,1,1,0,2,0,1,14,58,0,4,5,0,2,4,0,4
io.netty.test.udt.util.EchoByteHandler.java.EchoByteHandler,EchoByteHandler,0.068318936,1,1,1,0,2,0,1,15,54,0.8,0,7,0,4,4,0.333333333,5
io.netty.channel.udt.nio.NioUdtProvider.java.NioUdtProvider,NioUdtProvider,0.087448238,9,15,8,0,1,50,1,14,210,0,9,18,0,8,11,0.2,19
io.netty.test.udt.bench.xfer.TcpNative.java.TcpNative,TcpNative,0.138601399,4,1,3,2,1,23,1,9,40,0.833333333,5,8,0,5,10,0,5
io.netty.channel.udt.UdtChannelConfig.java.UdtChannelConfig,UdtChannelConfig,0.158924997,2,15,2,0,0,625,0,16,155,0.346153846,0,25,2,25,25,0,25
io.netty.channel.udt.UdtServerChannel.java.UdtServerChannel,UdtServerChannel,0.144836144,2,15,2,1,0,0,0,16,8,0,0,0,1,0,0,0,0
io.netty.channel.udt.nio.NioUdtMessageAcceptorChannel.java.NioUdtMessageAcceptorChannel,NioUdtMessageAcceptorChannel,0.152690251,3,15,3,3,0,1,0,28,14,0.5,2,1,0,1,1,0,1
io.netty.test.udt.util.UnitHelp.java.UnitHelp,UnitHelp,0.070282463,0,1,0,0,2,231,1,8,241,0.3,0,21,0,19,19,0.16374269,39
io.netty.channel.udt.nio.NioUdtMessageRendezvousChannel.java.NioUdtMessageRendezvousChannel,NioUdtMessageRendezvousChannel,0.144836144,3,15,3,2,0,0,0,30,11,0,1,0,0,0,0,0,0
io.netty.test.udt.nio.NioUdtMessageRendezvousChannelTest.java.NioUdtMessageRendezvousChannelTest,NioUdtMessageRendezvousChannelTest,0.161232689,7,1,6,1,1,2,0.333333333,34,82,0.333333333,7,3,0,2,5,0,3
io.netty.test.udt.nio.NioUdtMessageConnectorChannelTest.java.NioUdtMessageConnectorChannelTest,NioUdtMessageConnectorChannelTest,0.161232689,2,1,2,1,0,1,0,33,10,0.5,2,1,0,1,2,0,1
io.netty.test.udt.bench.xfer.UdtNetty.java.UdtNetty,UdtNetty,0.136637872,5,1,5,0,1,0,0.666666667,8,97,0.5,6,7,0,1,4,0,1
io.netty.test.udt.util.CaliperRunner.java.CaliperRunner,CaliperRunner,0.136637872,3,1,2,0,1,119,1,13,192,0,10,12,0,11,19,0,21
io.netty.channel.udt.nio.NioUdtMessageConnectorChannel.java.NioUdtMessageConnectorChannel,NioUdtMessageConnectorChannel,0.193924311,5,15,5,1,2,215,1,29,194,0.9375,3,18,1,15,16,0,23
io.netty.channel.udt.DefaultUdtChannelConfig.java.DefaultUdtChannelConfig,DefaultUdtChannelConfig,0.085119978,3,15,2,1,3,537,9,23,258,0.966666667,0,39,1,29,29,0.17989418,46
io.netty.channel.udt.DefaultUdtServerChannelConfig.java.DefaultUdtServerChannelConfig,DefaultUdtServerChannelConfig,0.202547648,3,15,3,2,1,521,0,29,164,0.958333333,19,24,0,23,41,0.004329004,25
io.netty.test.udt.util.CaliperMeasure.java.CaliperMeasure.SizeGuage,SizeGuage,0.068318936,0,1,0,0,1,0,1,9,16,0.666666667,0,3,0,2,2,1,2
io.netty.test.udt.nio.NioUdtByteRendezvousChannelTest.java.NioUdtByteRendezvousChannelTest,NioUdtByteRendezvousChannelTest,0.147568902,8,1,7,1,1,2,0.333333333,31,84,0.333333333,7,3,0,2,5,0,3
io.netty.test.udt.util.CaliperMeasure.java.CaliperMeasure,CaliperMeasure,0.068318936,1,1,1,0,2,35,1,14,183,0.1,1,20,0,9,10,0.380952381,11
