FullQualifiedName,name,Maintainability,CBO,CYC_Classes,DAC,DIT,ILCOM,LCOM,LD,LEN,LOC,LOD_Class,MPC,NAM,NOC,NOM,RFC,TCC,WMC
io.netty.channel.EmbeddedChannel.java.LocalChannel.java.FixedChannelPool.java.InternetProtocolFamily.java.FailedChannelFutureTest.java.FailedChannelFutureTest,FailedChannelFutureTest,0.185726039,2,1,2,0,0,4,0,23,16,1,4,2,0,2,4,0,2
io.netty.channel.ChannelFactory.java.ChannelFactory,ChannelFactory,0.165917416,2,84,2,0,0,1,0,14,11,0,0,1,0,1,1,0,1
io.netty.channel.ChannelInboundHandlerAdapter.java.ChannelInboundHandlerAdapter,ChannelInboundHandlerAdapter,0.136637872,1,1,1,2,0,0,0,28,5,0,0,0,1,0,0,0,0
io.netty.channel.EmbeddedChannel.java.LocalChannel.java.FixedChannelPool.java.InternetProtocolFamily.java.ThreadPerChannelEventLoopGroupTest.java.ThreadPerChannelEventLoopGroupTest.TestEventExecutor,TestEventExecutor,0.185726039,0,1,0,0,0,1,0,17,20,1,0,1,0,1,1,0,3
io.netty.channel.ChannelHandlerInvokerUtil.java.ChannelHandlerInvokerUtil,ChannelHandlerInvokerUtil,0.215005583,9,84,7,0,0,441,0,25,227,0.954545455,36,21,0,21,41,0,39
io.netty.channel.embedded.EmbeddedChannel.java.EmbeddedChannelId.java.EmbeddedChannelId,EmbeddedChannelId,0.117407103,1,1,1,1,1,34,1,17,45,0.857142857,1,8,0,6,7,0,7
io.netty.channel.socket.EmbeddedChannel.java.LocalChannel.java.FixedChannelPool.java.InternetProtocolFamily.java.ServerSocketChannelConfig.java.ServerSocketChannelConfig,ServerSocketChannelConfig,0.165917416,4,84,4,1,0,196,0,25,82,0.466666667,0,14,2,14,14,0,14
io.netty.channel.embedded.EmbeddedChannel.java.EmbeddedChannel.LastInboundHandler,LastInboundHandler,0.185726039,3,2,2,2,0,4,0,18,11,1,1,2,0,2,3,0,2
io.netty.channel.EmbeddedChannel.java.LocalChannel.java.FixedChannelPool.java.InternetProtocolFamily.java.SingleThreadEventLoopTest.java.ChannelDeregistrationTest.java.ChannelDeregistrationTest.ReregisterHandler,ReregisterHandler,0.049088167,9,1,5,2,1,0,0.666666667,17,47,1,11,5,0,2,10,1,2
io.netty.channel.embedded.EmbeddedChannel.java.EmbeddedChannel.DefaultUnsafe,DefaultUnsafe,0.185726039,2,1,2,2,0,1,0,13,6,1,1,1,0,1,2,0,1
io.netty.channel.FailedChannelFuture.java.FailedChannelFuture,FailedChannelFuture,0.029279544,3,84,3,2,1,0,1,19,45,0.8,1,5,0,4,4,0.5,4
io.netty.channel.ChannelOutboundHandlerAdapter.java.ChannelOutboundHandlerAdapter,ChannelOutboundHandlerAdapter,0.136637872,1,1,1,2,0,0,0,29,5,0,0,0,0,0,0,0,0
io.netty.channel.CompleteChannelFuture.java.CompleteChannelFuture,CompleteChannelFuture,0.146686647,2,84,2,1,1,142,1,21,90,0.923076923,1,13,3,12,13,0,13
io.netty.channel.EmbeddedChannel.java.LocalChannel.java.FixedChannelPool.java.InternetProtocolFamily.java.ThreadPerChannelEventLoopGroupTest.java.ThreadPerChannelEventLoopGroupTest,ThreadPerChannelEventLoopGroupTest,0.133673516,10,1,9,0,1,7,1,34,79,1,11,4,0,3,8,0,6
io.netty.channel.EmbeddedChannel.java.LocalChannel.java.FixedChannelPool.java.InternetProtocolFamily.java.SingleThreadEventLoopTest.java.ChannelDeregistrationTest.java.ChannelDeregistrationTest.ExpectDeregisteredHandler,ExpectDeregisteredHandler,0.049088167,6,1,4,2,1,0,0.5,25,39,1,10,4,0,2,8,1,2
io.netty.channel.FileRegion.java.FileRegion,FileRegion,0.165917416,1,84,1,0,0,64,0,10,72,0.444444444,0,8,1,8,8,0,8
io.netty.channel.DefaultEventLoopGroup.java.DefaultEventLoopGroup,DefaultEventLoopGroup,0.136637872,3,1,3,2,0,1,0,21,59,0.5,3,1,2,1,1,0,1
io.netty.channel.EmbeddedChannel.java.LocalChannel.java.FixedChannelPool.java.InternetProtocolFamily.java.SucceededChannelFutureTest.java.SucceededChannelFutureTest,SucceededChannelFutureTest,0.185726039,2,1,2,0,0,1,0,26,10,1,3,1,0,1,3,0,1
io.netty.channel.pool.EmbeddedChannel.java.LocalChannel.java.FixedChannelPool.java.InternetProtocolFamily.java.SingleThreadEventLoopTest.java.LoggingHandler.java.LocalTransportThreadModelTest3.java.FixedChannelPoolTest.java.FixedChannelPoolTest,FixedChannelPoolTest,0.117407103,17,1,16,0,1,0,0.25,20,197,1,76,6,0,5,16,1,5
io.netty.channel.nio.EmbeddedChannel.java.LocalChannel.java.AbstractNioChannel.java.AbstractNioChannel.AbstractNioUnsafe,AbstractNioUnsafe,0.215005583,9,84,4,2,0,81,0,17,153,1,25,9,2,9,27,0,21
io.netty.channel.AbstractEventLoopGroup.java.AbstractEventLoopGroup,AbstractEventLoopGroup,0.136637872,2,1,2,1,0,1,0,22,7,0.5,0,1,0,1,1,0,1
io.netty.channel.PendingWriteQueue.java.PendingWriteQueue,PendingWriteQueue,0,12,1,10,0,2,0,0.636363636,17,272,0.230769231,24,19,0,12,20,1,29
io.netty.channel.nio.EmbeddedChannel.java.LocalChannel.java.AbstractNioChannel.java.AbstractNioChannel.NioUnsafe,NioUnsafe,0.165917416,1,84,1,1,0,16,0,9,21,0.2,0,4,1,4,4,0,4
io.netty.channel.EmbeddedChannel.java.LocalChannel.java.FixedChannelPool.java.InternetProtocolFamily.java.SingleThreadEventLoopTest.java.ChannelDeregistrationTest.java.ChannelDeregistrationTest.DeregisterHandler,DeregisterHandler,0.117407103,8,1,5,2,2,0,0.666666667,17,47,1,10,5,0,2,9,0,2
io.netty.bootstrap.EmbeddedChannel.java.LocalChannel.java.FixedChannelPool.java.InternetProtocolFamily.java.BootstrapTest.java.BootstrapTest.TestNameResolverGroup,TestNameResolverGroup,0.185726039,0,1,0,0,0,1,0,21,34,1,0,2,0,1,1,0,1
io.netty.bootstrap.EmbeddedChannel.java.LocalChannel.java.FixedChannelPool.java.InternetProtocolFamily.java.BootstrapTest.java.BootstrapTest.DummyHandler,DummyHandler,0.185726039,2,1,2,2,0,0,0,12,2,1,0,0,0,0,0,0,0
io.netty.channel.pool.EmbeddedChannel.java.LocalChannel.java.FixedChannelPool.java.InternetProtocolFamily.java.SingleThreadEventLoopTest.java.LoggingHandler.java.LocalTransportThreadModelTest3.java.AbstractChannelPoolMapTest.java.AbstractChannelPoolMapTest.TestChannelPoolHandler,TestChannelPoolHandler,0.185726039,2,1,2,2,0,1,0,22,6,1,0,1,0,1,1,0,1
io.netty.channel.EmbeddedChannel.java.LocalChannel.java.FixedChannelPool.java.InternetProtocolFamily.java.SingleThreadEventLoopTest.java.ChannelDeregistrationTest.java.ChannelDeregistrationTest.TestChannelHandler4,TestChannelHandler4,0.117407103,5,1,2,2,1,0,1,19,23,1,8,2,0,1,9,0,1
io.netty.bootstrap.EmbeddedChannel.java.LocalChannel.java.FixedChannelPool.java.InternetProtocolFamily.java.BootstrapTest.java.BootstrapTest.TestEventLoopGroup,TestEventLoopGroup,0.117407103,5,1,4,3,1,2,1,18,20,1,4,3,0,2,5,0,2
io.netty.channel.DefaultMessageSizeEstimator.java.DefaultMessageSizeEstimator.HandleImpl,HandleImpl,0.146686647,2,84,2,1,1,0,1,10,21,1,0,2,0,1,1,0,4
io.netty.channel.DefaultMessageSizeEstimator.java.DefaultMessageSizeEstimator,DefaultMessageSizeEstimator,0.09759848,4,84,4,1,1,0,1,27,52,0.5,1,3,0,1,1,0,1
io.netty.channel.EmbeddedChannel.java.LocalChannel.java.FixedChannelPool.java.InternetProtocolFamily.java.SingleThreadEventLoopTest.java.ChannelDeregistrationTest.java.ChannelDeregistrationTest.TestChannelHandler3,TestChannelHandler3,0.117407103,5,1,2,2,1,0,1,19,20,1,8,2,0,1,9,0,1
io.netty.channel.EmbeddedChannel.java.LocalChannel.java.FixedChannelPool.java.InternetProtocolFamily.java.SingleThreadEventLoopTest.java.ChannelDeregistrationTest.java.ChannelDeregistrationTest.TestChannelHandler2,TestChannelHandler2,0.185726039,2,1,2,2,0,1,0,19,4,1,0,1,0,1,1,0,1
io.netty.channel.nio.EmbeddedChannel.java.LocalChannel.java.AbstractNioChannel.java.AbstractNioChannel,AbstractNioChannel,0.09759848,7,84,7,2,3,229,0.888888889,18,422,0.555555556,11,27,2,17,23,0,31
io.netty.channel.EmbeddedChannel.java.LocalChannel.java.FixedChannelPool.java.InternetProtocolFamily.java.SingleThreadEventLoopTest.java.ChannelDeregistrationTest.java.ChannelDeregistrationTest.TestChannelHandler1,TestChannelHandler1,0.185726039,1,1,1,2,0,0,0,19,1,1,0,0,0,0,0,0,0
io.netty.channel.pool.EmbeddedChannel.java.LocalChannel.java.FixedChannelPool.java.InternetProtocolFamily.java.SingleThreadEventLoopTest.java.LoggingHandler.java.LocalTransportThreadModelTest3.java.AbstractChannelPoolMapTest.java.AbstractChannelPoolMapTest,AbstractChannelPoolMapTest,0.117407103,9,1,9,0,1,0,1,26,46,1,6,2,0,1,4,0,1
io.netty.channel.DefaultChannelPromise.java.DefaultChannelPromise,DefaultChannelPromise,0.146686647,3,84,3,2,2,390,1,21,147,0.952380952,2,22,2,20,22,0.006535948,22
io.netty.channel.ChannelPromiseAggregator.java.ChannelPromiseAggregator,ChannelPromiseAggregator,0.136637872,3,1,3,1,0,0,0,24,14,0,0,0,0,0,0,0,0
io.netty.channel.FixedRecvByteBufAllocator.java.FixedRecvByteBufAllocator.HandleImpl,HandleImpl,0.049088167,1,1,1,1,1,1,1,10,21,1,0,4,0,3,3,0.333333333,3
io.netty.channel.FixedRecvByteBufAllocator.java.FixedRecvByteBufAllocator,FixedRecvByteBufAllocator,0.068318936,3,1,3,1,1,0,1,25,48,0.5,1,2,0,1,1,0,1
io.netty.channel.embedded.EmbeddedChannel.java.EmbeddedChannel,EmbeddedChannel,0.068318936,17,2,17,2,7,640,0.833333333,15,343,0.517241379,19,39,0,28,40,0.133333333,40
io.netty.channel.ChannelOption.java.ChannelOption,ChannelOption,0.029279544,3,84,3,0,1,0,1,13,100,0,0,31,0,5,5,0.6,6
io.netty.channel.DefaultChannelPipeline.java.DefaultChannelPipeline.HeadContext,HeadContext,0.146686647,9,84,7,2,1,302,1,11,131,1,24,23,0,20,39,0.110526316,20
io.netty.channel.EventLoopException.java.EventLoopException,EventLoopException,0.165917416,3,84,3,1,0,0,0,18,24,0,3,1,0,0,0,0,0
io.netty.channel.pool.EmbeddedChannel.java.LocalChannel.java.FixedChannelPool.java.InternetProtocolFamily.java.SingleThreadEventLoopTest.java.LoggingHandler.java.LocalTransportThreadModelTest3.java.SimpleChannelPoolTest.java.SimpleChannelPoolTest,SimpleChannelPoolTest,0.049088167,14,1,13,0,1,0,0.5,21,111,1,36,3,0,2,14,1,2
io.netty.channel.socket.EmbeddedChannel.java.LocalChannel.java.FixedChannelPool.java.InternetProtocolFamily.java.DefaultDatagramChannelConfig.java.DefaultDatagramChannelConfig,DefaultDatagramChannelConfig,0.049088167,9,1,8,2,2,305,1,28,378,0.96875,32,35,1,31,43,0.351724138,61
io.netty.channel.nio.EmbeddedChannel.java.LocalChannel.java.NioEventLoopGroup.java.NioEventLoopGroup,NioEventLoopGroup,0.165917416,4,84,4,2,0,9,0,17,123,0.25,5,3,0,3,5,0,5
io.netty.channel.ChannelOutboundBuffer.java.ChannelOutboundBuffer.Entry,Entry,0.146686647,1,84,1,0,1,0,1,5,72,1,0,16,0,4,4,0,5
io.netty.channel.ChannelOutboundBuffer.java.ChannelOutboundBuffer.MessageProcessor,MessageProcessor,0.136637872,0,1,0,0,0,1,0,16,7,0.5,0,1,0,1,1,0,1
io.netty.channel.ChannelFuture.java.ChannelFuture,ChannelFuture,0.165917416,6,84,6,0,0,100,0,13,187,0.727272727,0,10,3,10,10,0,10
io.netty.bootstrap.EmbeddedChannel.java.LocalChannel.java.FixedChannelPool.java.InternetProtocolFamily.java.BootstrapTest.java.BootstrapTest,BootstrapTest,0.049088167,17,1,15,0,1,0,0.6,13,265,1,45,10,0,7,18,0.476190476,11
io.netty.channel.DefaultChannelPipeline.java.DefaultChannelPipeline.TailContext,TailContext,0.215005583,6,84,6,2,0,400,0,11,119,1,11,22,0,20,28,0,20
io.netty.channel.pool.EmbeddedChannel.java.LocalChannel.java.FixedChannelPool.java.InternetProtocolFamily.java.SingleThreadEventLoopTest.java.LoggingHandler.java.LocalTransportThreadModelTest3.java.CountingChannelPoolHandler.java.CountingChannelPoolHandler,CountingChannelPoolHandler,0.049088167,2,1,2,1,3,12,1,26,32,1,0,9,0,6,6,0.2,6
io.netty.channel.ReflectiveChannelFactory.java.ReflectiveChannelFactory,ReflectiveChannelFactory,0.029279544,3,84,3,0,1,0,1,24,28,0.666666667,1,3,0,2,2,1,2
io.netty.channel.socket.EmbeddedChannel.java.LocalChannel.java.FixedChannelPool.java.DatagramPacket.java.DatagramPacket,DatagramPacket,0.215005583,2,84,2,0,0,36,0,14,55,0.857142857,0,6,0,6,6,0,6
io.netty.channel.EmbeddedChannel.java.LocalChannel.java.FixedChannelPool.java.InternetProtocolFamily.java.SingleThreadEventLoopTest.java.ChannelDeregistrationTest.java.ChannelDeregistrationTest,ChannelDeregistrationTest,0.19519696,24,1,24,0,0,16,0,25,374,0,52,6,0,4,16,0,6
io.netty.channel.nio.EmbeddedChannel.java.LocalChannel.java.AbstractNioMessageChannel.java.AbstractNioMessageChannel.NioMessageUnsafe,NioMessageUnsafe,0.117407103,9,2,5,3,1,0,1,16,79,1,15,2,0,1,16,0,13
io.netty.channel.EmbeddedChannel.java.LocalChannel.java.FixedChannelPool.java.InternetProtocolFamily.java.SingleThreadEventLoopTest.java.CompleteChannelFutureTest.java.CompleteChannelFutureTest.CompleteChannelFutureImpl,CompleteChannelFutureImpl,0.185726039,3,1,3,2,0,16,0,25,26,1,1,4,0,4,4,0,4
io.netty.channel.nio.EmbeddedChannel.java.LocalChannel.java.AbstractNioMessageChannel.java.AbstractNioMessageChannel,AbstractNioMessageChannel,0.136637872,6,2,5,3,0,25,0,25,158,0.333333333,7,5,2,5,11,0,13
io.netty.channel.oio.EmbeddedChannel.java.LocalChannel.java.FixedChannelPool.java.InternetProtocolFamily.java.SingleThreadEventLoopTest.java.LoggingHandler.java.LocalTransportThreadModelTest3.java.OioEventLoopTest.java.OioEventLoopTest,OioEventLoopTest,0.185726039,11,1,10,0,0,9,0,16,78,1,25,3,0,3,11,0,3
io.netty.channel.ChannelHandler.java.ChannelHandler,ChannelHandler,0.165917416,9,84,9,0,0,361,0,14,351,0,0,19,4,19,19,0,19
io.netty.channel.EmbeddedChannel.java.LocalChannel.java.FixedChannelPool.java.InternetProtocolFamily.java.SingleThreadEventLoopTest.java.CompleteChannelFutureTest.java.CompleteChannelFutureTest,CompleteChannelFutureTest,0.049088167,4,1,4,0,1,0,1,25,63,1,6,6,0,4,8,0.5,4
io.netty.channel.socket.EmbeddedChannel.java.LocalChannel.java.FixedChannelPool.java.SocketChannelConfig.java.SocketChannelConfig,SocketChannelConfig,0.165917416,8,84,8,1,0,576,0,19,152,0.28,0,24,2,24,24,0,24
io.netty.channel.ChannelException.java.ChannelException,ChannelException,0.136637872,0,1,0,0,0,0,0,16,34,0,0,1,3,0,0,0,0
io.netty.channel.AbstractServerChannel.java.AbstractServerChannel.DefaultServerUnsafe,DefaultServerUnsafe,0.185726039,2,1,2,2,0,1,0,19,6,1,1,1,0,1,2,0,1
io.netty.channel.socket.EmbeddedChannel.java.LocalChannel.java.FixedChannelPool.java.ChannelInputShutdownEvent.java.ChannelInputShutdownEvent,ChannelInputShutdownEvent,0.165917416,4,84,4,0,0,0,0,25,16,0,0,1,0,0,0,0,0
io.netty.channel.AbstractServerChannel.java.AbstractServerChannel,AbstractServerChannel,0.117407103,8,1,8,2,1,47,1,21,64,0.875,2,8,1,7,7,0,7
io.netty.channel.ChannelHandlerAdapter.java.ChannelHandlerAdapter,ChannelHandlerAdapter,0.207429825,6,84,6,1,0,400,0,21,255,0,17,21,47,20,37,0,21
io.netty.channel.ThreadLocalPooledDirectByteBuf.java.ThreadLocalPooledDirectByteBuf.ThreadLocalDirectByteBuf,ThreadLocalDirectByteBuf,0.117407103,1,3,0,0,1,0,0.666666667,24,32,1,0,4,0,2,2,0,3
io.netty.channel.nio.EmbeddedChannel.java.LocalChannel.java.FixedChannelPool.java.InternetProtocolFamily.java.SingleThreadEventLoopTest.java.LoggingHandler.java.LocalTransportThreadModelTest3.java.NioSocketChannelTest.java.NioSocketChannelTest,NioSocketChannelTest,0.136637872,7,1,6,0,0,4,0,20,101,0.333333333,14,2,0,2,7,0,4
io.netty.channel.ThreadLocalPooledDirectByteBuf.java.ThreadLocalPooledDirectByteBuf.ThreadLocalUnsafeDirectByteBuf,ThreadLocalUnsafeDirectByteBuf,0.117407103,1,3,0,0,1,0,0.666666667,30,33,1,0,4,0,2,2,0,3
io.netty.channel.MultithreadEventLoopGroup.java.MultithreadEventLoopGroup,MultithreadEventLoopGroup,0.165917416,5,84,5,1,0,16,0,25,53,0.8,2,6,2,4,6,0,4
io.netty.channel.ThreadLocalPooledDirectByteBuf.java.ThreadLocalPooledDirectByteBuf,ThreadLocalPooledDirectByteBuf,0.185726039,2,3,2,0,0,1,0,30,89,1,2,3,0,1,3,0,2
io.netty.channel.ServerChannel.java.ServerChannel,ServerChannel,0.165917416,2,84,2,1,0,0,0,13,6,0,0,0,2,0,0,0,0
io.netty.channel.EmbeddedChannel.java.LocalChannel.java.FixedChannelPool.java.InternetProtocolFamily.java.SingleThreadEventLoopTest.java.ChannelOutboundBufferTest.java.ChannelOutboundBufferTest.TestChannel.TestUnsafe,TestUnsafe,0.185726039,2,1,2,2,0,1,0,10,6,1,0,1,0,1,1,0,1
io.netty.channel.ChannelProgressiveFuture.java.ChannelProgressiveFuture,ChannelProgressiveFuture,0.215005583,2,84,2,1,0,64,0,24,28,0.888888889,0,8,1,8,8,0,8
io.netty.channel.nio.EmbeddedChannel.java.LocalChannel.java.FixedChannelPool.java.InternetProtocolFamily.java.SingleThreadEventLoopTest.java.LoggingHandler.java.LocalTransportThreadModelTest3.java.NioDatagramChannelTest.java.NioDatagramChannelTest,NioDatagramChannelTest,0.136637872,9,1,7,0,0,1,0,22,32,0.5,9,1,0,1,7,0,2
io.netty.channel.EmbeddedChannel.java.LocalChannel.java.FixedChannelPool.java.InternetProtocolFamily.java.SingleThreadEventLoopTest.java.ChannelOutboundBufferTest.java.ChannelOutboundBufferTest.TestChannel,TestChannel,0.117407103,8,1,8,2,1,167,1,11,79,1,2,14,0,13,13,0,13
