FullQualifiedName,name,Maintainability,CBO,CYC_Classes,DAC,DIT,ILCOM,LCOM,LD,LEN,LOC,LOD_Class,MPC,NAM,NOC,NOM,RFC,TCC,WMC
org.springframework.boot.actuate.autoconfigure.CrshAutoConfigurationTests.java.CrshAutoConfigurationTests.SecurityConfiguration,SecurityConfiguration,0.185726039,0,1,0,0,0,4,0,21,40,1,0,4,0,2,2,0,2
org.springframework.boot.actuate.autoconfigure.EndpointMBeanExportAutoConfiguration.java.EndpointMBeanExportAutoConfiguration,EndpointMBeanExportAutoConfiguration,0.068318936,4,1,4,0,1,2,1,36,39,0.666666667,7,4,0,2,8,0,3
org.springframework.boot.actuate.metrics.writer.EndpointWebMvcAutoConfiguration.java.Delta.java.Delta,Delta,0.136637872,1,1,1,0,0,0,0,5,17,0,0,0,0,0,0,0,0
org.springframework.boot.actuate.endpoint.mvc.EndpointWebMvcAutoConfiguration.java.MvcEndpoints.java.MvcEndpoints,MvcEndpoints,0,3,1,3,0,1,5,1,12,59,0.833333333,2,8,0,5,6,0.666666667,9
org.springframework.boot.actuate.metrics.writer.EndpointWebMvcAutoConfiguration.java.MessageChannelMetricWriter.java.MessageChannelMetricWriter,MessageChannelMetricWriter,0,3,1,3,1,1,0,1,26,38,0.75,0,6,0,3,3,1,3
org.springframework.boot.actuate.endpoint.SanitizerTests.java.SanitizerTests,SanitizerTests,0,1,1,1,0,1,0,1,14,27,0.666666667,4,3,0,2,4,1,2
org.springframework.boot.actuate.endpoint.mvc.JolokiaMvcEndpointContextPathTests.java.JolokiaMvcEndpointContextPathTests.ContextPathListener,ContextPathListener,0.185726039,0,1,0,0,0,1,0,19,8,1,0,1,0,1,1,0,1
org.springframework.boot.actuate.endpoint.mvc.EndpointWebMvcAutoConfiguration.java.MvcEndpoint.java.MvcEndpoint,MvcEndpoint,0.136637872,2,2,2,0,0,9,0,11,37,0,0,4,6,3,3,0,3
org.springframework.boot.actuate.endpoint.mvc.JolokiaMvcEndpointContextPathTests.java.JolokiaMvcEndpointContextPathTests.Config,Config,0.185726039,3,1,3,0,0,0,0,6,7,1,0,0,0,0,0,0,0
org.springframework.boot.actuate.autoconfigure.ManagementServerProperties.java.ManagementServerProperties.Security,Security,0.049088167,0,1,0,0,3,12,1,8,45,0.857142857,0,9,0,6,6,0.2,6
