FullQualifiedName,name,Maintainability,CBO,CYC_Classes,DAC,DIT,ILCOM,LCOM,LD,LEN,LOC,LOD_Class,MPC,NAM,NOC,NOM,RFC,TCC,WMC
org.springframework.boot.autoconfigure.condition.CacheType.java.ConditionalOnJava.java.ConditionalOnJava.OnClassCondition.java.OnExpressionCondition.java.OnExpressionCondition,OnExpressionCondition,0.136637872,3,2,3,1,0,1,0,21,41,0.5,1,1,0,1,1,0,4
org.springframework.boot.autoconfigure.web.CacheType.java.ConditionalOnJava.java.ConditionalOnJava.OnClassCondition.java.SearchStrategy.java.EmbeddedDatabaseConnection.java.DatabaseDriver.java.JerseyProperties.java.ArtemisMode.java.HornetQMode.java.SecurityAuthorizeMode.java.SecurityProperties.java.ResourceProperties.java.ResourceProperties.Strategy,Strategy,0.136637872,2,1,2,0,2,0,0,8,18,0.666666667,0,4,0,2,2,0,2
org.springframework.boot.autoconfigure.data.empty.EmptyDataPackage.java.EmptyDataPackage,EmptyDataPackage,0.136637872,0,1,0,0,0,0,0,16,8,0,0,0,0,0,0,0,0
org.springframework.boot.autoconfigure.jms.hornetq.CacheType.java.ConditionalOnJava.java.ConditionalOnJava.OnClassCondition.java.SearchStrategy.java.EmbeddedDatabaseConnection.java.DatabaseDriver.java.JerseyProperties.java.ArtemisMode.java.HornetQMode.java.HornetQNoOpBindingRegistry.java.HornetQNoOpBindingRegistry,HornetQNoOpBindingRegistry,0.185726039,0,1,0,0,0,36,0,26,44,0.857142857,0,6,0,6,6,0,6
org.springframework.boot.autoconfigure.data.elasticsearch.city.CityRepository.java.CityRepository,CityRepository,0.185726039,1,1,1,0,0,9,0,14,10,1,0,3,0,3,3,0,3
org.springframework.boot.autoconfigure.web.CacheType.java.ConditionalOnJava.java.ConditionalOnJava.OnClassCondition.java.SearchStrategy.java.EmbeddedDatabaseConnection.java.DatabaseDriver.java.JerseyProperties.java.ArtemisMode.java.HornetQMode.java.SecurityAuthorizeMode.java.SecurityProperties.java.ResourceProperties.java.ResourceProperties.Chain,Chain,0.117407103,1,1,1,0,4,23,1,5,52,0.875,0,11,0,7,7,0.142857143,7
org.springframework.boot.autoconfigure.web.EmbeddedServletContainerAutoConfigurationTests.java.EmbeddedServletContainerAutoConfigurationTests.CallbackEmbeddedContainerCustomizer,CallbackEmbeddedContainerCustomizer,0.185726039,0,1,0,0,0,1,0,35,8,1,0,1,0,1,1,0,1
org.springframework.boot.autoconfigure.data.elasticsearch.city.City.java.City,City,0.185726039,0,1,0,0,4,17,0,4,46,1,0,11,0,5,5,0,5
org.springframework.boot.autoconfigure.web.EmbeddedServletContainerAutoConfigurationTests.java.EmbeddedServletContainerAutoConfigurationTests.EnsureContainerHasNoServletContext,EnsureContainerHasNoServletContext,0.185726039,0,1,0,0,0,4,0,34,19,1,0,2,0,2,2,0,3
org.springframework.boot.autoconfigure.web.EmbeddedServletContainerAutoConfigurationTests.java.EmbeddedServletContainerAutoConfigurationTests.DispatcherServletWithRegistrationConfiguration,DispatcherServletWithRegistrationConfiguration,0.185726039,1,1,1,0,0,4,0,46,14,1,0,2,0,2,2,0,2
org.springframework.boot.autoconfigure.data.elasticsearch.ElasticsearchRepositoriesAutoConfigurationTests.java.ElasticsearchRepositoriesAutoConfigurationTests.CustomizedConfiguration,CustomizedConfiguration,0.185726039,3,2,3,0,0,0,0,23,6,1,0,0,0,0,0,0,0
org.springframework.boot.autoconfigure.security.oauth2.client.CacheType.java.ConditionalOnJava.java.ConditionalOnJava.OnClassCondition.java.SearchStrategy.java.EmbeddedDatabaseConnection.java.DatabaseDriver.java.JerseyProperties.java.ArtemisMode.java.HornetQMode.java.SecurityAuthorizeMode.java.SecurityProperties.java.OAuth2SsoCustomConfiguration.java.OAuth2SsoCustomConfiguration.WebSecurityEnhancerCondition,WebSecurityEnhancerCondition,0.185726039,3,3,3,1,0,1,0,28,19,1,2,1,0,1,3,0,3
org.springframework.boot.autoconfigure.web.EmbeddedServletContainerAutoConfigurationTests.java.EmbeddedServletContainerAutoConfigurationTests.NonServletConfiguration,NonServletConfiguration,0.185726039,0,1,0,0,0,1,0,23,9,1,0,1,0,1,1,0,1
org.springframework.boot.autoconfigure.data.elasticsearch.ElasticsearchRepositoriesAutoConfigurationTests.java.ElasticsearchRepositoriesAutoConfigurationTests.EmptyConfiguration,EmptyConfiguration,0.185726039,2,1,2,0,0,0,0,18,5,1,0,0,0,0,0,0,0
org.springframework.boot.autoconfigure.jms.artemis.ArtemisAutoConfigurationTests.java.ArtemisAutoConfigurationTests,ArtemisAutoConfigurationTests,0.117407103,11,1,10,0,1,0,0.333333333,29,359,0.95,17,21,0,19,24,1,20
org.springframework.boot.autoconfigure.data.elasticsearch.ElasticsearchRepositoriesAutoConfigurationTests.java.ElasticsearchRepositoriesAutoConfigurationTests.TestConfiguration,TestConfiguration,0.185726039,2,1,2,0,0,0,0,17,5,1,0,0,0,0,0,0,0
org.springframework.boot.autoconfigure.web.EmbeddedServletContainerAutoConfigurationTests.java.EmbeddedServletContainerAutoConfigurationTests.NonSpringServletConfiguration,NonSpringServletConfiguration,0.185726039,0,1,0,0,0,1,0,29,14,1,0,1,0,1,1,0,1
org.springframework.boot.autoconfigure.web.CacheType.java.ConditionalOnJava.java.ConditionalOnJava.OnClassCondition.java.SearchStrategy.java.EmbeddedDatabaseConnection.java.DatabaseDriver.java.JerseyProperties.java.ArtemisMode.java.HornetQMode.java.SecurityAuthorizeMode.java.SecurityProperties.java.ResourceProperties.java.ResourceProperties,ResourceProperties,0.117407103,1,1,1,0,5,67,1,18,280,0.916666667,0,20,0,11,11,0.133333333,17
org.springframework.boot.autoconfigure.web.EmbeddedServletContainerAutoConfigurationTests.java.EmbeddedServletContainerAutoConfigurationTests.SpringServletConfiguration,SpringServletConfiguration,0.185726039,0,1,0,0,0,1,0,26,9,1,0,1,0,1,1,0,1
org.springframework.boot.autoconfigure.web.EmbeddedServletContainerAutoConfigurationTests.java.EmbeddedServletContainerAutoConfigurationTests.DispatcherServletConfiguration,DispatcherServletConfiguration,0.185726039,0,1,0,0,0,1,0,30,9,1,0,1,0,1,1,0,1
org.springframework.boot.autoconfigure.web.EmbeddedServletContainerAutoConfigurationTests.java.EmbeddedServletContainerAutoConfigurationTests.EmbeddedContainerConfiguration,EmbeddedContainerConfiguration,0.185726039,1,1,1,0,0,1,0,30,10,1,0,1,0,1,1,0,1
org.springframework.boot.autoconfigure.security.oauth2.client.CacheType.java.ConditionalOnJava.java.ConditionalOnJava.OnClassCondition.java.SearchStrategy.java.EmbeddedDatabaseConnection.java.DatabaseDriver.java.JerseyProperties.java.ArtemisMode.java.HornetQMode.java.SecurityAuthorizeMode.java.SecurityProperties.java.OAuth2SsoCustomConfiguration.java.OAuth2SsoCustomConfiguration.SsoSecurityAdapter,SsoSecurityAdapter,0.117407103,1,1,1,0,1,0,1,18,22,1,2,2,0,1,2,0,2
org.springframework.boot.autoconfigure.web.EmbeddedServletContainerAutoConfigurationTests.java.EmbeddedServletContainerAutoConfigurationTests.BaseConfiguration,BaseConfiguration,0.185726039,4,1,4,0,0,0,0,17,8,1,0,0,0,0,0,0,0
org.springframework.boot.autoconfigure.jms.artemis.CacheType.java.ConditionalOnJava.java.ConditionalOnJava.OnClassCondition.java.SearchStrategy.java.EmbeddedDatabaseConnection.java.DatabaseDriver.java.JerseyProperties.java.ArtemisMode.java.ArtemisEmbeddedServerConfiguration.java.ArtemisEmbeddedServerConfiguration,ArtemisEmbeddedServerConfiguration,0.049088167,9,1,8,0,2,29,1,34,92,0.875,8,11,0,7,13,0.333333333,12
org.springframework.boot.autoconfigure.web.CacheType.java.ConditionalOnJava.java.ConditionalOnJava.OnClassCondition.java.SearchStrategy.java.EmbeddedDatabaseConnection.java.DatabaseDriver.java.JerseyProperties.java.ArtemisMode.java.HornetQMode.java.SecurityAuthorizeMode.java.SecurityProperties.java.HttpEncodingAutoConfiguration.java.HttpEncodingAutoConfiguration,HttpEncodingAutoConfiguration,0.068318936,5,1,5,0,1,0,1,29,26,0.5,2,2,0,1,3,0,1
org.springframework.boot.autoconfigure.data.elasticsearch.ElasticsearchRepositoriesAutoConfigurationTests.java.ElasticsearchRepositoriesAutoConfigurationTests,ElasticsearchRepositoriesAutoConfigurationTests,0,9,2,9,0,1,0,1,47,79,0.833333333,0,6,0,5,5,1,5
org.springframework.boot.autoconfigure.security.oauth2.client.CacheType.java.ConditionalOnJava.java.ConditionalOnJava.OnClassCondition.java.SearchStrategy.java.EmbeddedDatabaseConnection.java.DatabaseDriver.java.JerseyProperties.java.ArtemisMode.java.HornetQMode.java.SecurityAuthorizeMode.java.SecurityProperties.java.OAuth2SsoCustomConfiguration.java.OAuth2SsoCustomConfiguration,OAuth2SsoCustomConfiguration,0,2,3,2,0,1,2,1,28,92,0.8,1,6,0,4,4,0.333333333,5
org.springframework.boot.autoconfigure.condition.CacheType.java.ConditionalOnJava.java.ConditionalOnJava.OnClassCondition.java.BeanTypeRegistry.java.BeanTypeRegistry.OptimizedBeanTypeRegistry,OptimizedBeanTypeRegistry,0.068318936,1,9,1,1,2,1,0.75,25,116,0.75,1,11,0,7,8,0.333333333,18
org.springframework.boot.autoconfigure.web.CacheType.java.ConditionalOnJava.java.ConditionalOnJava.OnClassCondition.java.SearchStrategy.java.EmbeddedDatabaseConnection.java.DatabaseDriver.java.JerseyProperties.java.ArtemisMode.java.HornetQMode.java.SecurityAuthorizeMode.java.SecurityProperties.java.HttpMessageConvertersAutoConfiguration.java.HttpMessageConvertersAutoConfiguration.StringHttpMessageConverterConfiguration,StringHttpMessageConverterConfiguration,0.117407103,3,1,3,0,1,0,1,39,18,1,1,2,0,1,2,0,1
org.springframework.boot.autoconfigure.data.alt.solr.CitySolrRepository.java.CitySolrRepository,CitySolrRepository,0.185726039,1,1,1,0,0,0,0,18,3,1,0,0,0,0,0,0,0
org.springframework.boot.autoconfigure.condition.CacheType.java.ConditionalOnJava.java.ConditionalOnJava.OnClassCondition.java.BeanTypeRegistry.java.BeanTypeRegistry.DefaultBeanTypeRegistry,DefaultBeanTypeRegistry,0.136637872,1,9,1,1,1,2,0,23,39,0.666666667,1,3,0,2,3,0,5
