FullQualifiedName,name,Maintainability,CBO,CYC_Classes,DAC,DIT,ILCOM,LCOM,LD,LEN,LOC,LOD_Class,MPC,NAM,NOC,NOM,RFC,TCC,WMC
org.springframework.boot.cli.compiler.CommandRunnerTests.java.CommandException.java.GroovyCompilerScope.java.SmartImportCustomizer.java.SmartImportCustomizer,SmartImportCustomizer,0,0,1,0,0,1,0,1,21,37,0.666666667,0,3,0,2,2,1,5
org.springframework.boot.cli.command.shell.CommandRunnerTests.java.EscapeAwareWhiteSpaceArgumentDelimiterTests.java.EscapeAwareWhiteSpaceArgumentDelimiterTests,EscapeAwareWhiteSpaceArgumentDelimiterTests,0.049088167,1,1,1,0,1,0,1,43,76,0.875,7,8,0,7,8,1,7
org.springframework.boot.cli.command.run.CommandRunnerTests.java.CommandException.java.RunCommand.java.RunCommand.RunOptionHandler.SpringApplicationRunnerConfigurationAdapter,SpringApplicationRunnerConfigurationAdapter,0.136637872,6,2,6,2,0,9,0,43,35,0.75,3,3,0,3,4,0,5
org.springframework.boot.cli.command.install.CommandRunnerTests.java.CommandException.java.UninstallCommand.java.UninstallCommand.UninstallOptionHandler,UninstallOptionHandler,0.185726039,5,5,4,2,1,0,0.5,22,35,1,5,3,0,2,6,0,5
org.springframework.boot.cli.command.init.CommandRunnerTests.java.InitializrServiceMetadataTests.java.InitializrServiceMetadataTests,InitializrServiceMetadataTests,0.136637872,3,1,2,0,0,25,0,30,72,0.833333333,8,5,0,5,12,0,5
org.springframework.boot.cli.command.jar.CommandRunnerTests.java.ResourceMatcherTests.java.ResourceMatcherTests.FooJarMatcher,FooJarMatcher,0.117407103,1,1,1,0,1,1,1,13,26,1,1,4,0,3,4,0,4
org.springframework.boot.cli.command.install.CommandRunnerTests.java.CommandException.java.UninstallCommand.java.UninstallCommand,UninstallCommand,0.190533731,3,5,3,3,0,1,0,16,56,0.5,1,1,0,1,1,0,1
org.springframework.boot.cli.compiler.CommandRunnerTests.java.CommandException.java.GroovyCompilerScope.java.GroovyCompilerConfiguration.java.GroovyCompilerConfiguration,GroovyCompilerConfiguration,0.153717606,3,5,3,0,0,36,0,27,52,0,0,7,4,6,6,0,6
org.springframework.boot.cli.compiler.grape.CommandRunnerTests.java.GrapeRootRepositorySystemSessionAutoConfigurationTests.java.GrapeRootRepositorySystemSessionAutoConfigurationTests,GrapeRootRepositorySystemSessionAutoConfigurationTests,0.068318936,2,2,2,0,1,0,1,54,80,0.666666667,2,4,0,2,3,1,2
org.springframework.boot.cli.jar.CommandRunnerTests.java.CommandException.java.GroovyCompilerScope.java.PackagedSpringApplicationLauncher.java.PackagedSpringApplicationLauncher,PackagedSpringApplicationLauncher,0.136637872,1,1,1,0,2,21,0,33,52,0.833333333,2,7,0,5,6,0,8
