FullQualifiedName,name,Maintainability,CBO,CYC_Classes,DAC,DIT,ILCOM,LCOM,LD,LEN,LOC,LOD_Class,MPC,NAM,NOC,NOM,RFC,TCC,WMC
org.springframework.boot.configurationsample.method.EmptyTypeMethodConfig.java.EmptyTypeMethodConfig.Foo,Foo,0.185726039,0,1,0,0,0,0,0,3,3,1,0,0,0,0,0,0,0
org.springframework.boot.configurationprocessor.ConfigurationMetadataMatchers.java.ConfigurationMetadataMatchers.ContainsItemMatcher,ContainsItemMatcher,0.049088167,3,1,3,0,1,0,1,19,136,1,8,17,0,10,18,1,24
org.springframework.boot.configurationprocessor.InnerClassProperties.java.TypeUtils.java.TypeUtils,TypeUtils,0.068318936,0,1,0,0,2,15,1,9,88,0.833333333,0,9,0,5,5,0.1,12
org.springframework.boot.configurationsample.method.EmptyTypeMethodConfig.java.EmptyTypeMethodConfig,EmptyTypeMethodConfig,0.068318936,2,1,2,0,1,1,0,21,28,0.75,0,4,0,3,3,0.333333333,3
org.springframework.boot.configurationprocessor.metadata.InnerClassProperties.java.ItemHint.java.ItemHint,ItemHint,0.068607863,4,3,4,0,1,29,1,8,121,0.875,1,10,0,7,8,0.2,8
org.springframework.boot.configurationprocessor.TestCompiler.java.TestCompiler.TestCompilationTask,TestCompilationTask,0.068318936,0,1,0,0,1,0,1,19,19,0.5,0,2,0,1,1,0,2
org.springframework.boot.configurationsample.method.SimpleMethodConfig.java.SimpleMethodConfig.Foo,Foo,0.049088167,0,1,0,0,2,0,1,3,22,1,0,6,0,4,4,0.333333333,4
org.springframework.boot.configurationsample.method.SimpleMethodConfig.java.SimpleMethodConfig,SimpleMethodConfig,0.136637872,2,1,2,0,0,1,0,18,36,0.5,0,1,0,1,1,0,1
org.springframework.boot.configurationprocessor.ConfigurationMetadataMatchers.java.ConfigurationMetadataMatchers,ConfigurationMetadataMatchers,0.185726039,4,1,4,0,0,49,0,29,363,0.875,11,7,0,7,9,0,7
org.springframework.boot.configurationsample.lombok.LombokSimpleDataProperties.java.LombokSimpleDataProperties,LombokSimpleDataProperties,0.136637872,1,1,1,0,0,0,0,26,28,0,0,7,0,0,0,0,0
org.springframework.boot.configurationprocessor.ConfigurationMetadataAnnotationProcessorTests.java.ConfigurationMetadataAnnotationProcessorTests.AdditionalMetadata,AdditionalMetadata,0.185726039,0,1,0,0,0,0,0,18,3,1,0,0,0,0,0,0,0
org.springframework.boot.configurationprocessor.InnerClassProperties.java.MetadataStore.java.MetadataStore,MetadataStore,0.117407103,2,1,2,0,1,31,2.5,13,91,0.875,3,12,0,7,10,0,10
org.springframework.boot.configurationsample.lombok.LombokSimpleProperties.java.LombokSimpleProperties,LombokSimpleProperties,0.136637872,1,1,1,0,0,0,0,22,29,0,0,7,0,0,0,0,0
org.springframework.boot.configurationprocessor.TestCompiler.java.TestCompiler,TestCompiler,0.185726039,1,1,1,0,3,42,0,12,92,0.888888889,1,12,1,8,8,0,9
org.springframework.boot.configurationsample.lombok.LombokExplicitProperties.java.LombokExplicitProperties,LombokExplicitProperties,0.136637872,1,1,1,0,0,0,0,24,39,0,0,7,0,0,0,0,0
org.springframework.boot.configurationprocessor.metadata.InnerClassProperties.java.ConfigurationMetadata.java.ConfigurationMetadata,ConfigurationMetadata,0.019519696,2,3,2,0,2,28,1,21,93,0.444444444,0,11,0,8,8,0.4,10
org.springframework.boot.configurationprocessor.InnerClassProperties.java.TypeExcludeFilter.java.TypeExcludeFilter,TypeExcludeFilter,0.068318936,0,1,0,0,1,0,1,17,44,0.666666667,0,3,0,2,2,0,4
org.springframework.boot.configurationsample.incremental.FooProperties.java.FooProperties,FooProperties,0.117407103,1,1,1,0,3,12,0,13,37,1,0,9,0,6,6,0.2,6
org.springframework.boot.configurationprocessor.InnerClassProperties.java.TypeElementMembers.java.TypeElementMembers,TypeElementMembers,0.117407103,0,1,0,0,3,70,1,18,98,0.909090909,0,15,0,10,10,0,17
org.springframework.boot.configurationsample.specific.InnerClassProperties.java.BuilderPojo.java.BuilderPojo,BuilderPojo,0.068318936,1,1,1,0,1,0,0,11,19,0.666666667,0,3,0,2,2,1,2
org.springframework.boot.configurationprocessor.metadata.InnerClassProperties.java.ItemMetadata.java.JsonMarshaller.java.JsonMarshaller.JSONOrderedObject,JSONOrderedObject,0,0,1,0,0,1,0,1,17,20,0.666666667,0,3,0,2,2,1,2
org.springframework.boot.configurationsample.specific.InnerClassProperties.java.InnerClassProperties.Foo.Bar,Bar,0.117407103,0,1,0,0,1,0,0,3,12,1,0,3,0,2,2,1,2
org.springframework.boot.configurationprocessor.fieldvalues.javac.InnerClassProperties.java.ExpressionTree.java.ExpressionTree,ExpressionTree,0.136637872,1,1,1,1,2,5,0,14,48,0.75,10,7,0,3,5,0,7
