FullQualifiedName,name,Maintainability,CBO,CYC_Classes,DAC,DIT,ILCOM,LCOM,LD,LEN,LOC,LOD_Class,MPC,NAM,NOC,NOM,RFC,TCC,WMC
org.springframework.boot.devtools.tunnel.server.HttpTunnelServerTests.java.HttpTunnelServerTests,HttpTunnelServerTests,0.143013849,6,3,6,0,1,0,0.909090909,21,423,0.956521739,89,33,0,22,40,0.652380952,22
org.springframework.boot.devtools.livereload.ChangedFile.java.Frame.java.Base64Encoder.java.Base64Encoder,Base64Encoder,0,0,1,0,0,1,0,1,13,40,0.75,0,7,0,3,3,1,5
org.springframework.boot.devtools.restart.RestartScopeInitializerTests.java.RestartScopeInitializerTests,RestartScopeInitializerTests,0.068318936,2,3,2,0,1,2,1,28,55,0.666666667,0,4,0,2,2,0,2
org.springframework.boot.devtools.restart.classloader.ChangedFile.java.Frame.java.FailureHandler.java.ClassLoaderFile.java.ClassLoaderFiles.java.ClassLoaderFiles.SourceFolder,SourceFolder,0,1,1,1,0,2,0,1,12,49,0.571428571,0,9,0,6,6,0.333333333,6
org.springframework.boot.devtools.autoconfigure.LocalDevToolsAutoConfiguration.java.LocalDevToolsAutoConfiguration.LiveReloadConfiguration,LiveReloadConfiguration,0.068318936,7,1,6,0,2,12,1,23,38,0.8,9,6,0,4,10,0,5
org.springframework.boot.devtools.autoconfigure.LocalDevToolsAutoConfiguration.java.LocalDevToolsAutoConfiguration,LocalDevToolsAutoConfiguration,0.136637872,4,1,4,0,0,4,0,30,124,0.666666667,0,3,0,2,2,0,2
org.springframework.boot.devtools.livereload.LiveReloadServerTests.java.LiveReloadServerTests.MonitoredLiveReloadServer.MonitoredConnection,MonitoredConnection,0.185726039,3,2,3,1,0,1,0,19,19,1,2,1,0,1,2,0,1
org.springframework.boot.devtools.restart.OnInitializedRestarterConditionTests.java.OnInitializedRestarterConditionTests.Config,Config,0.185726039,1,1,1,0,0,1,0,6,10,1,0,1,0,1,1,0,1
org.springframework.boot.devtools.livereload.LiveReloadServerTests.java.LiveReloadServerTests.MonitoredLiveReloadServer,MonitoredLiveReloadServer,0.136637872,4,2,4,1,1,2,0,25,42,0.666666667,2,3,0,2,2,0,2
org.springframework.boot.devtools.restart.OnInitializedRestarterConditionTests.java.OnInitializedRestarterConditionTests.TestInitialized,TestInitialized,0.185726039,4,1,3,0,0,1,0,15,16,1,2,1,0,1,3,0,1
org.springframework.boot.devtools.restart.ChangedFile.java.Frame.java.ChangeableUrls.java.ChangeableUrls,ChangeableUrls,0.049088167,0,1,0,0,2,69,1,14,84,0.916666667,0,14,0,11,11,0.357142857,14
org.springframework.boot.devtools.restart.ChangedFile.java.Frame.java.SilentExitExceptionHandler.java.SilentExitExceptionHandler.SilentExitException,SilentExitException,0.185726039,0,1,0,0,0,0,0,19,3,1,0,0,0,0,0,0,0
org.springframework.boot.devtools.filewatch.FolderSnapshotTests.java.FolderSnapshotTests,FolderSnapshotTests,0.117407103,4,1,4,0,1,0,0.5,19,124,0.928571429,18,17,0,13,18,0.745454545,15
org.springframework.boot.devtools.tunnel.server.ChangedFile.java.Frame.java.FailureHandler.java.ClassLoaderFile.java.HttpTunnelServer.java.HttpTunnelServer.ServerThread,ServerThread,0.068318936,4,5,4,0,1,3,0.5,12,151,0.8,14,15,0,9,19,1,19
org.springframework.boot.devtools.livereload.LiveReloadServerTests.java.LiveReloadServerTests.Socket,Socket,0.049088167,0,1,0,0,2,0,1,6,25,1,0,6,0,4,4,0.333333333,4
org.springframework.boot.devtools.restart.OnInitializedRestarterConditionTests.java.OnInitializedRestarterConditionTests,OnInitializedRestarterConditionTests,0.150301659,4,1,4,0,1,14,0.5,36,78,0.8,3,5,0,4,6,0,4
org.springframework.boot.devtools.livereload.LiveReloadServerTests.java.LiveReloadServerTests.Driver,Driver,0.049088167,0,1,0,0,1,0,1,6,19,1,0,3,0,2,2,1,2
org.springframework.boot.devtools.restart.ChangedFile.java.Frame.java.SilentExitExceptionHandler.java.SilentExitExceptionHandler,SilentExitExceptionHandler,0.068318936,1,1,1,0,1,7,1,26,40,0.75,0,4,0,3,3,0,6
org.springframework.boot.devtools.restart.classloader.ChangedFile.java.Frame.java.FailureHandler.java.ClassLoaderFile.java.ClassLoaderFiles.java.ClassLoaderFiles,ClassLoaderFiles,0,3,1,3,1,1,14,1,16,172,0.222222222,7,10,0,8,14,0.2,15
org.springframework.boot.devtools.autoconfigure.DevToolsPropertyDefaultsPostProcessor.java.DevToolsPropertyDefaultsPostProcessor,DevToolsPropertyDefaultsPostProcessor,0.013663787,0,1,0,0,2,0,1,37,41,0.75,0,5,0,3,3,1,4
org.springframework.boot.devtools.remote.server.ChangedFile.java.Frame.java.HttpHeaderAccessManager.java.HttpHeaderAccessManager,HttpHeaderAccessManager,0.068318936,1,1,1,1,1,0,1,23,27,0.5,0,3,0,1,1,0,1
org.springframework.boot.devtools.livereload.ChangedFile.java.Frame.java.Connection.java.Connection,Connection,0.136637872,7,3,7,0,1,7,0.727272727,10,131,0.5,15,16,1,7,13,0,16
org.springframework.boot.devtools.tunnel.payload.HttpTunnelPayloadForwarderTests.java.HttpTunnelPayloadForwarderTests,HttpTunnelPayloadForwarderTests,0.068318936,2,1,2,0,1,17,0,31,55,0.833333333,8,6,0,5,6,0.166666667,6
org.springframework.boot.devtools.restart.classloader.ClassLoaderFilesTests.java.ClassLoaderFilesTests,ClassLoaderFilesTests,0.117407103,4,1,4,0,1,0,0.25,21,146,0.928571429,44,15,0,13,22,0.871794872,13
org.springframework.boot.devtools.restart.classloader.ChangedFile.java.Frame.java.FailureHandler.java.ClassLoaderFile.java.RestartClassLoader.java.RestartClassLoader.CompoundEnumeration,CompoundEnumeration,0,0,1,0,0,1,0,1,19,30,0.666666667,0,4,0,2,2,1,3
org.springframework.boot.devtools.autoconfigure.DevToolsProperties.java.DevToolsProperties.Livereload,Livereload,0,0,1,0,0,2,0,1,10,32,0.8,0,6,0,4,4,0.333333333,4
org.springframework.boot.devtools.tunnel.server.ChangedFile.java.Frame.java.FailureHandler.java.ClassLoaderFile.java.HttpTunnelServer.java.HttpTunnelServer,HttpTunnelServer,0,4,5,4,0,1,12,5,16,447,0,6,15,1,6,10,0.333333333,7
org.springframework.boot.devtools.remote.server.ChangedFile.java.Frame.java.Dispatcher.java.Dispatcher,Dispatcher,0.068318936,3,2,3,0,2,0,1,10,52,0.333333333,3,4,0,2,5,0,5
