FullQualifiedName,name,Maintainability,CBO,CYC_Classes,DAC,DIT,ILCOM,LCOM,LD,LEN,LOC,LOD_Class,MPC,NAM,NOC,NOM,RFC,TCC,WMC
org.springframework.boot.loader.jar.RandomAccessData.java.Handler.java.Handler,Handler,0.083500922,2,6,2,0,6,46,2,7,161,0.666666667,3,16,0,8,9,0,18
org.springframework.boot.loader.archive.ExplodedArchive.java.ExplodedArchive.FileNotFoundURLConnection,FileNotFoundURLConnection,0.068318936,0,1,0,0,1,0,1,25,18,0.5,0,2,0,1,1,0,1
org.springframework.boot.loader.data.ByteArrayRandomAccessDataTests.java.ByteArrayRandomAccessDataTests,ByteArrayRandomAccessDataTests,0.136637872,3,1,3,0,0,4,0,30,26,0.666666667,7,2,0,2,5,0,2
org.springframework.boot.loader.AsciiBytesTests.java.AsciiBytesTests,AsciiBytesTests,0.185726039,1,1,1,0,1,113,0,15,117,0.916666667,37,12,0,11,20,0.018181818,11
org.springframework.boot.loader.jar.RandomAccessData.java.JarEntryFilter.java.JarEntryFilter,JarEntryFilter,0.136637872,2,6,2,0,0,1,0,14,18,0,0,1,3,1,1,0,1
org.springframework.boot.loader.archive.ExplodedArchive.java.ExplodedArchive.FilteredURLStreamHandler,FilteredURLStreamHandler,0.182183829,3,9,3,0,0,1,0,24,18,0.5,2,1,0,1,1,0,2
org.springframework.boot.loader.jar.RandomAccessData.java.CentralDirectoryEndRecord.java.CentralDirectoryEndRecord,CentralDirectoryEndRecord,0,2,1,2,0,1,0,1,25,102,0.333333333,14,14,0,5,9,1,6
org.springframework.boot.loader.archive.ExplodedArchive.java.ExplodedArchive.FileEntry,FileEntry,0.049088167,2,1,2,1,2,0,1,9,25,1,0,5,0,3,3,0.333333333,3
org.springframework.boot.loader.ExecutableArchiveLauncher.java.ExecutableArchiveLauncher,ExecutableArchiveLauncher,0.068318936,6,1,6,1,2,44,1,25,112,0.666666667,7,10,3,8,12,0,14
org.springframework.boot.loader.InputArgumentsJavaAgentDetectorTests.java.InputArgumentsJavaAgentDetectorTests,InputArgumentsJavaAgentDetectorTests,0.151819858,1,1,1,0,0,16,0,36,43,0.8,8,4,0,4,5,0,4
org.springframework.boot.loader.jar.RandomAccessData.java.Bytes.java.Bytes,Bytes,0.136637872,2,1,2,0,1,23,0,5,56,0.833333333,2,6,0,5,7,0,10
org.springframework.boot.loader.ExecutableArchiveLauncherTests.java.ExecutableArchiveLauncherTests.UnitTestExecutableArchiveLauncher,UnitTestExecutableArchiveLauncher,0.228179228,3,1,3,2,0,1,0,33,12,1,1,1,0,1,1,0,1
org.springframework.boot.loader.util.RandomAccessData.java.AsciiBytes.java.AsciiBytes,AsciiBytes,0.049088167,0,1,0,0,1,0,1,10,168,0.916666667,0,18,0,11,11,0.8,31
org.springframework.boot.loader.archive.JarFileArchiveTests.java.JarFileArchiveTests,JarFileArchiveTests,0.117407103,6,1,5,0,1,0,0,19,88,0.9,12,13,0,9,18,0.714285714,10
org.springframework.boot.loader.InputArgumentsJavaAgentDetector.java.InputArgumentsJavaAgentDetector,InputArgumentsJavaAgentDetector,0.068318936,1,1,1,1,2,12,1,31,71,0.8,0,6,0,4,4,0,8
org.springframework.boot.loader.ExecutableArchiveLauncherTests.java.ExecutableArchiveLauncherTests,ExecutableArchiveLauncherTests,0,3,1,3,0,1,17,1,30,84,0.833333333,2,7,0,5,6,0.333333333,5
org.springframework.boot.loader.archive.ExplodedArchive.java.ExplodedArchive,ExplodedArchive,0.094634124,8,9,8,1,1,7,1,15,196,0.875,12,13,0,7,11,0.4,18
org.springframework.boot.loader.jar.RandomAccessData.java.JarEntryData.java.JarEntryData,JarEntryData,0.015181986,7,6,7,0,6,207,2,12,185,0.777777778,26,28,0,17,25,0.244444444,21
org.springframework.boot.loader.archive.JarFileArchive.java.JarFileArchive.JarFileEntry,JarFileEntry,0.045545957,4,9,4,1,1,0,1,12,26,0.75,2,4,0,3,5,1,3
org.springframework.boot.loader.LaunchedURLClassLoaderTests.java.LaunchedURLClassLoaderTests,LaunchedURLClassLoaderTests,0.185726039,3,1,3,0,1,34,0,27,71,0.857142857,15,7,0,6,10,0,6
org.springframework.boot.loader.Launcher.java.Launcher,Launcher,0.113864893,5,9,5,0,1,62,1,8,124,0.111111111,5,10,2,8,10,0,11
org.springframework.boot.loader.jar.JarFileTests.java.JarFileTests,JarFileTests,0.140404802,6,1,5,0,1,0,0.5,12,375,0.967741935,80,34,0,30,53,0.795402299,34
org.springframework.boot.loader.PropertiesLauncherTests.java.PropertiesLauncherTests.TestLoader,TestLoader,0.185726039,0,1,0,0,0,1,0,10,11,1,0,1,0,1,1,0,1
org.springframework.boot.loader.jar.RandomAccessData.java.JarEntry.java.JarEntry,JarEntry,0.068318936,3,6,2,0,1,0,0,8,63,0.571428571,12,9,0,6,11,1,8
org.springframework.boot.loader.JarLauncher.java.JarLauncher,JarLauncher,0.09559014,5,1,5,2,1,7,1,11,25,0.75,6,4,0,3,8,0,3
org.springframework.boot.loader.util.RandomAccessData.java.SystemPropertyUtils.java.SystemPropertyUtils,SystemPropertyUtils,0.136637872,0,1,0,0,1,49,0.25,19,217,0.6,0,13,0,9,9,0.1,29
org.springframework.boot.loader.WarLauncher.java.WarLauncher,WarLauncher,0.09559014,5,1,5,2,1,2,1,11,43,0.666666667,11,6,0,2,7,0,3
org.springframework.boot.loader.archive.ExplodedArchiveTests.java.ExplodedArchiveTests,ExplodedArchiveTests,0.049088167,6,1,5,0,1,98,1,20,157,0.933333333,24,17,0,14,23,0.318181818,18
org.springframework.boot.loader.jar.RandomAccessData.java.ZipInflaterInputStream.java.ZipInflaterInputStream,ZipInflaterInputStream,0,0,1,0,0,2,6,1,22,58,0.8,0,6,0,4,4,1,7
org.springframework.boot.loader.data.RandomAccessData.java.RandomAccessDataFile.java.RandomAccessDataFile.FilePool,FilePool,0.037954964,1,3,1,0,1,0,0.75,8,56,0.75,0,6,0,3,3,1,4
org.springframework.boot.loader.archive.JarFileArchive.java.JarFileArchive,JarFileArchive,0.16295306,11,9,10,1,3,39,0.5,14,153,0.9,20,14,0,9,24,0.3,16
org.springframework.boot.loader.MainMethodRunner.java.MainMethodRunner,MainMethodRunner,0.068318936,1,1,1,0,1,0,1,16,41,0.5,0,3,0,1,1,0,2
org.springframework.boot.loader.PropertiesLauncher.java.PropertiesLauncher,PropertiesLauncher,0.332034523,9,1,9,1,6,831,0.8,18,622,0.96875,31,46,0,31,43,0,92
org.springframework.boot.loader.util.SystemPropertyUtilsTests.java.SystemPropertyUtilsTests,SystemPropertyUtilsTests,0.185726039,1,1,1,0,0,36,0,24,36,0.857142857,4,6,0,6,8,0,6
org.springframework.boot.loader.PropertiesLauncherTests.java.PropertiesLauncherTests,PropertiesLauncherTests,0.185726039,5,1,4,0,1,254,0,23,163,0.941176471,25,17,0,16,22,0,17
org.springframework.boot.loader.jar.RandomAccessData.java.JarURLConnection.java.JarURLConnection.JarEntryName,JarEntryName,0.049088167,1,1,1,0,2,29,1,12,74,0.875,4,9,0,7,9,0.5,13
