FullQualifiedName,name,Maintainability,CBO,CYC_Classes,DAC,DIT,ILCOM,LCOM,LD,LEN,LOC,LOD_Class,MPC,NAM,NOC,NOM,RFC,TCC,WMC
org.springframework.boot.gradle.repackage.RepackageTask.java.RepackageTask.LoggingRepackager,LoggingRepackager,0.162257473,1,3,0,0,0,1,0,17,27,0.5,0,1,0,1,1,0,2
org.springframework.boot.gradle.repackage.RepackageTask.java.RepackageTask,RepackageTask,0.24442959,2,3,2,0,5,66,0,13,216,0.909090909,2,16,0,10,12,0.111111111,13
org.springframework.boot.gradle.run.SourceSets.java.SourceSets,SourceSets,0.136637872,0,1,0,0,0,4,0,10,27,0.666666667,0,2,0,2,2,0,5
org.springframework.boot.gradle.repackage.ProjectLibraries.java.ProjectLibraries.ResolvedArtifactLibrary,ResolvedArtifactLibrary,0.074454957,2,2,2,1,1,0,1,23,24,0.5,1,2,0,1,1,0,2
org.springframework.boot.gradle.repackage.RepackageTask.java.RepackageTask.RepackageAction,RepackageAction,0.219885507,3,3,3,0,1,34,0.333333333,15,107,0.857142857,2,7,0,6,7,0,19
org.springframework.boot.gradle.repackage.ProjectLibraries.java.ProjectLibraries,ProjectLibraries,0.012272042,2,2,2,0,2,48,1.5,16,205,0.777777778,4,11,0,8,10,0.666666667,24
org.springframework.boot.gradle.agent.AgentTasksEnhancer.java.AgentTasksEnhancer,AgentTasksEnhancer,0.117407103,0,1,0,0,2,16,1.5,18,97,0.857142857,0,9,0,6,6,0,17
org.springframework.boot.gradle.repackage.RepackagePluginFeatures.java.RepackagePluginFeatures,RepackagePluginFeatures,0.142773893,2,1,2,1,1,23,0,23,124,0.666666667,0,6,0,5,5,0,5
org.springframework.boot.gradle.run.RunPluginFeatures.java.RunPluginFeatures,RunPluginFeatures,0.091534691,3,1,3,1,2,5,1,17,56,0.75,0,5,0,3,3,0,3
org.springframework.boot.gradle.repackage.ProjectLibraries.java.ProjectLibraries.GradleLibrary,GradleLibrary,0.177186172,0,1,0,0,1,17,0,13,42,1,0,7,1,5,5,0.1,7
org.springframework.boot.gradle.agent.AgentPluginFeatures.java.AgentPluginFeatures,AgentPluginFeatures,0.142773893,2,1,2,1,0,1,0,19,13,0.5,0,1,0,1,1,0,1
org.springframework.boot.gradle.run.BootRunTask.java.BootRunTask,BootRunTask,0,1,1,1,0,1,0,1,11,57,0.8,1,5,0,4,5,0.333333333,9
org.springframework.boot.gradle.PluginFeatures.java.PluginFeatures,PluginFeatures,0.141826923,0,1,0,0,0,1,0,14,15,0,0,1,3,1,1,0,1
org.springframework.boot.gradle.repackage.RepackagePluginFeatures.java.RepackagePluginFeatures.RegisterInputsOutputsAction,RegisterInputsOutputsAction,0.08539867,2,1,1,0,1,1,1,27,60,0.75,5,5,0,3,8,0,6
org.springframework.boot.gradle.run.FindMainClassTask.java.FindMainClassTask,FindMainClassTask,0.136637872,1,1,1,0,0,4,0,17,74,0.666666667,1,2,0,2,3,0,11
