FullQualifiedName,name,Maintainability,CBO,CYC_Classes,DAC,DIT,ILCOM,LCOM,LD,LEN,LOC,LOD_Class,MPC,NAM,NOC,NOM,RFC,TCC,WMC
org.springframework.boot.maven.RepackageMojo.java.RepackageMojo,RepackageMojo,0.068318936,3,1,3,1,2,0,1.714285714,13,230,0.75,4,16,0,3,6,0,10
org.springframework.boot.maven.DependencyFilterMojoTests.java.DependencyFilterMojoTests,DependencyFilterMojoTests,0.136637872,3,1,3,0,0,9,0,25,63,0.75,4,3,0,3,4,0,3
org.springframework.boot.maven.RepackageMojo.java.RunMojo.java.RunMojo,RunMojo,0.172922666,3,4,3,2,0,9,0,7,55,0.75,4,3,0,3,5,0,6
org.springframework.boot.maven.RepackageMojo.java.ArtifactsLibraries.java.ArtifactsLibraries,ArtifactsLibraries,0.068318936,0,1,0,0,2,5,1,18,72,0.75,0,7,0,3,3,0,11
org.springframework.boot.maven.Verify.java.Verify.AbstractArchiveVerification,AbstractArchiveVerification,0.142314548,1,1,1,0,1,23,1,27,56,1,2,6,4,5,6,0,8
org.springframework.boot.maven.sample.ClassWithMainMethod.java.ClassWithMainMethod,ClassWithMainMethod,0.136637872,0,1,0,0,0,1,0,19,11,0.5,0,1,0,1,1,0,1
org.springframework.boot.maven.RepackageMojo.java.AbstractDependencyFilterMojo.java.AbstractDependencyFilterMojo,AbstractDependencyFilterMojo,0.136637872,5,1,5,0,1,23,0,28,106,0.75,3,11,3,7,7,0,13
org.springframework.boot.maven.sample.ClassWithoutMainMethod.java.ClassWithoutMainMethod,ClassWithoutMainMethod,0.136637872,0,1,0,0,0,0,0,22,8,0,0,0,0,0,0,0,0
org.springframework.boot.maven.RepackageMojo.java.StopMojo.java.StopMojo,StopMojo,0.109310298,2,4,2,0,2,6,0.75,8,78,0.8,3,7,0,4,6,0,5
org.springframework.boot.maven.RunArgumentsTests.java.RunArgumentsTests,RunArgumentsTests,0.185726039,1,1,1,0,0,49,0,17,58,0.875,2,7,0,7,8,0,7
org.springframework.boot.maven.RepackageMojo.java.StartMojo.java.StartMojo.CreateJmxConnector,CreateJmxConnector,0.117407103,1,1,1,0,1,2,1,18,30,1,1,3,0,2,3,0,3
org.springframework.boot.maven.RepackageMojo.java.HelpMojo.java.HelpMojo,HelpMojo,0.078136569,0,1,0,0,2,209,1,8,429,0.5625,0,20,0,15,15,0,52
org.springframework.boot.maven.RepackageMojo.java.IncludeFilter.java.IncludeFilter,IncludeFilter,0.136637872,3,1,3,1,0,1,0,13,24,0.5,3,1,0,1,3,0,3
org.springframework.boot.maven.Verify.java.Verify.ArchiveVerifier,ArchiveVerifier,0.049088167,0,1,0,0,2,48,1,15,79,1,0,12,0,10,10,0.285714286,17
org.springframework.boot.maven.RepackageMojo.java.ExcludeFilter.java.ExcludeFilter,ExcludeFilter,0.136637872,3,1,3,1,0,1,0,13,24,0.5,3,1,0,1,3,0,3
org.springframework.boot.maven.RepackageMojo.java.Include.java.Include,Include,0.136637872,1,1,1,1,0,0,0,7,9,0,0,0,0,0,0,0,0
org.springframework.boot.maven.RepackageMojo.java.Exclude.java.Exclude,Exclude,0.136637872,1,1,1,1,0,0,0,7,9,0,0,0,0,0,0,0,0
org.springframework.boot.maven.Verify.java.Verify,Verify,0.185726039,5,1,4,0,1,34,0,6,273,0.857142857,10,7,0,6,8,0,6
org.springframework.boot.maven.RepackageMojo.java.SpringApplicationAdminClient.java.SpringApplicationAdminClient,SpringApplicationAdminClient,0,0,1,0,0,1,8,1,28,92,0.2,0,7,0,4,4,0.333333333,4
org.springframework.boot.maven.RepackageMojo.java.FilterableDependency.java.FilterableDependency,FilterableDependency,0.117407103,0,1,0,0,3,12,0,20,52,0.857142857,0,9,2,6,6,0.2,6
org.springframework.boot.maven.ArtifactsLibrariesTests.java.ArtifactsLibrariesTests,ArtifactsLibrariesTests,0,1,1,1,0,1,0,1,23,79,0.8,6,10,0,4,5,1,4
org.springframework.boot.maven.RepackageMojo.java.PropertiesMergingResourceTransformer.java.PropertiesMergingResourceTransformer,PropertiesMergingResourceTransformer,0.020495681,0,1,0,0,1,0,1,36,66,0.75,0,9,0,7,7,0.571428571,9
org.springframework.boot.maven.RepackageMojo.java.AbstractRunMojo.java.AbstractRunMojo,AbstractRunMojo,0.122113671,5,4,5,1,6,412,1.090909091,15,409,0.739130435,8,34,2,22,25,0,43
org.springframework.boot.maven.RepackageMojo.java.RunArguments.java.RunArguments,RunArguments,0,0,1,0,0,2,0,1,12,43,0.75,0,5,0,3,3,1,4
org.springframework.boot.maven.ExcludeFilterTests.java.ExcludeFilterTests,ExcludeFilterTests,0.192557932,4,1,2,0,0,121,0,18,109,0.916666667,17,11,0,11,15,0,12
org.springframework.boot.maven.RepackageMojo.java.AbstractRunMojo.java.AbstractRunMojo.LaunchRunner,LaunchRunner,0.068318936,0,1,0,0,1,0,1,12,37,0.5,0,3,0,1,1,0,2
org.springframework.boot.maven.Verify.java.Verify.ModuleArchiveVerification,ModuleArchiveVerification,0.185726039,2,1,2,1,0,4,0,25,23,1,5,2,0,2,6,0,2
org.springframework.boot.maven.PropertiesMergingResourceTransformerTests.java.PropertiesMergingResourceTransformerTests,PropertiesMergingResourceTransformerTests,0.040991362,1,1,1,0,1,0,1,41,41,0.75,7,4,0,3,8,1,3
org.springframework.boot.maven.RepackageMojo.java.AbstractRunMojo.java.AbstractRunMojo.IsolatedThreadGroup,IsolatedThreadGroup,0,0,1,0,0,1,0,1,19,29,0.666666667,0,3,0,2,2,1,4
org.springframework.boot.maven.RepackageMojo.java.MatchingGroupIdFilter.java.MatchingGroupIdFilter,MatchingGroupIdFilter,0.136637872,0,1,0,0,0,1,0,21,27,0.5,0,1,0,1,1,0,1
org.springframework.boot.maven.Verify.java.Verify.ZipArchiveVerification,ZipArchiveVerification,0.185726039,1,1,1,1,0,1,0,22,15,1,1,1,0,1,1,0,1
org.springframework.boot.maven.RepackageMojo.java.DependencyFilter.java.DependencyFilter,DependencyFilter,0.136637872,1,1,1,0,1,14,0,16,58,0.6,3,5,2,4,7,0,8
org.springframework.boot.maven.RepackageMojo.java.AbstractRunMojo.java.AbstractRunMojo.TestArtifactFilter,TestArtifactFilter,0.185726039,0,1,0,0,0,1,0,18,12,1,0,1,0,1,1,0,1
org.springframework.boot.maven.RepackageMojo.java.StartMojo.java.StartMojo,StartMojo,0.118267517,7,4,7,2,1,54,0.875,9,278,0.818181818,14,17,0,10,16,0,18
