FullQualifiedName,name,Maintainability,CBO,CYC_Classes,DAC,DIT,ILCOM,LCOM,LD,LEN,LOC,LOD_Class,MPC,NAM,NOC,NOM,RFC,TCC,WMC
org.springframework.boot.context.web.RelaxedDataBinderTests.java.ConfigurationPropertiesBindingPostProcessorTests.java.ErrorPageFilterTests.java.ErrorPageFilterTests,ErrorPageFilterTests,0.049088167,3,1,3,0,1,0,0.8,20,460,0.96,56,29,0,24,28,1,24
org.springframework.boot.yaml.RelaxedDataBinderTests.java.ConfigurationPropertiesBindingPostProcessorTests.java.AnsiBackground.java.AnsiColor.java.AnsiOutput.java.AnsiStyle.java.RelaxedNames.java.RelaxedNames.Ssl.java.AtomikosLoggingLevel.java.LogLevel.java.TestRestTemplate.java.SpringProfileDocumentMatcher.java.SpringProfileDocumentMatcher,SpringProfileDocumentMatcher,0,1,1,1,0,1,0,1,28,37,0.666666667,2,4,0,2,3,1,3
org.springframework.boot.context.embedded.RelaxedDataBinderTests.java.ConfigurationPropertiesBindingPostProcessorTests.java.AnsiBackground.java.AnsiColor.java.AnsiOutput.java.AnsiStyle.java.RelaxedNames.java.RelaxedNames.Ssl.java.MimeMappings.java.MimeMappings,MimeMappings,0,1,1,1,0,1,0,1,12,349,0.333333333,4,10,0,8,9,0.535714286,11
org.springframework.boot.logging.log4j2.RelaxedDataBinderTests.java.ConfigurationPropertiesBindingPostProcessorTests.java.AnsiBackground.java.AnsiColor.java.AnsiOutput.java.AnsiStyle.java.RelaxedNames.java.RelaxedNames.Ssl.java.AtomikosLoggingLevel.java.LogLevel.java.Log4J2LoggingSystem.java.Log4J2LoggingSystem,Log4J2LoggingSystem,0.049088167,6,1,5,3,2,159,1,19,152,0.928571429,6,15,1,13,18,0.333333333,18
org.springframework.boot.context.config.RelaxedDataBinderTests.java.ConfigurationPropertiesBindingPostProcessorTests.java.AnsiBackground.java.AnsiColor.java.AnsiOutput.java.AnsiStyle.java.RelaxedNames.java.RelaxedNames.DelegatingApplicationContextInitializer.java.DelegatingApplicationContextInitializer,DelegatingApplicationContextInitializer,0.117407103,0,1,0,0,2,54,0,39,92,0.888888889,0,10,0,8,8,0.333333333,13
org.springframework.boot.yaml.RelaxedDataBinderTests.java.ConfigurationPropertiesBindingPostProcessorTests.java.AnsiBackground.java.AnsiColor.java.AnsiOutput.java.AnsiStyle.java.RelaxedNames.java.RelaxedNames.Ssl.java.AtomikosLoggingLevel.java.LogLevel.java.TestRestTemplate.java.ArrayDocumentMatcher.java.ArrayDocumentMatcher,ArrayDocumentMatcher,0.068318936,0,1,0,0,1,0,1,20,37,0.5,0,3,0,1,1,0,5
org.springframework.boot.logging.java.RelaxedDataBinderTests.java.ConfigurationPropertiesBindingPostProcessorTests.java.JavaLoggerSystemTests.java.JavaLoggerSystemTests,JavaLoggerSystemTests,0.049088167,5,1,4,1,1,0,0.8,21,123,0.9,26,14,0,9,15,0.777777778,10
org.springframework.boot.yaml.RelaxedDataBinderTests.java.ConfigurationPropertiesBindingPostProcessorTests.java.AnsiBackground.java.AnsiColor.java.AnsiOutput.java.AnsiStyle.java.RelaxedNames.java.RelaxedNames.Ssl.java.AtomikosLoggingLevel.java.LogLevel.java.TestRestTemplate.java.DefaultProfileDocumentMatcher.java.DefaultProfileDocumentMatcher,DefaultProfileDocumentMatcher,0.136637872,0,1,0,0,0,1,0,29,17,0.5,0,1,0,1,1,0,2
org.springframework.boot.context.properties.RelaxedDataBinderTests.java.ConfigurationPropertiesBindingPostProcessorTests.java.ConfigurationPropertiesBindingPostProcessorTests.FactoryBeanTester,FactoryBeanTester,0.185726039,1,1,1,0,0,16,0,17,25,1,0,4,0,4,4,0,4
org.springframework.boot.context.properties.RelaxedDataBinderTests.java.ConfigurationPropertiesBindingPostProcessorTests.java.ConfigurationPropertiesBindingPostProcessorTests.ConfigurationPropertiesWithFactoryBean,ConfigurationPropertiesWithFactoryBean,0.185726039,1,1,1,0,0,0,0,38,7,1,0,1,0,0,0,0,0
